<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
Buy Sony Tilt Wall Mount for Pro Plasma Stands & Mounts - AV PLP-91/D today at PC Connection|||||||Intended for use with Sony's Plasma models PFM-32C1, 42B2, 42V1 and 50C1||||Wall mount, documentation||||||||||||||||||||||||Wall mount|||||Due to manufacturer restrictions, all sales on this item are final.|||||||N/A|N/A||
"Buy LG 41.9"" LS33A-5D Full HD LED-LCD Display, Black Monitors - Large-Format LED-LCD 42LS33A-5D today at PC Connection"||||||||||||||||42 in||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||20.100 lb(s)
"Buy Lenovo 15.6"" Widescreen Privacy Filter Stands & Mounts - AV 0A61771 today at PC Connection"|||||||"For 15.6"" widescreen notebooks."||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.||||Notebook|||Call for Warranty|Call for Warranty||
Buy Ergotron Neo-Flex Combo Lift Stand Stands & Mounts - AV 33-331-085 today at PC Connection|||||Black||"Weight Capacity: 12–28lbs. total; notebook: 6–12lbs.; monitor: 6–16lbs.
Monitor up/down tilt: +25°/-5°
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm, 75 x 75mm)
Tested in compliance to UL specification 1678 tip stability test"||||Stand, laptop platform, sliding monitor bracket, VESA kit, cable ties, velcro kit, clips, non-slip pad, documentation||||||||||||||||||||||||Stand|||||This product is subject to our return policy. Please see our complete return policy for details.||||['Flat panel display', 'Notebook']|||3 Years|3 Years||
"Buy 3M 13.3"" Notebook Privacy Filter Glare Filters & Privacy Screens PF13.3 today at PC Connection"|||||||||||"13.3"" notebook privacy filter"||||||||||||||||||||||||Display screen filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||"13.3"" standard laptop."||||Limited Lifetime|Limited Lifetime||
"Buy LG 18.5"" 19M35D-B LED-LCD Monitor Monitors - LED-LCD 19M35D-B today at PC Connection"|||||Black|||['DDC/CI', 'Plug and Play', 'CUL', 'TUV']|||||||Tilt|19 in|||0.3 mm|Yes|||||200 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Elite Manual Series Projection Screen, Matte White, 16:9, 84in Projector Screens M84UWH today at PC Connection|15.20 lb(s)||||Black||||||Screen, hardware, case, documentation|||||||||||||||||||||"52.3""h x 79.5""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy ELO Touch Solutions 0700L 7"" Display AccuTouch Five-wire Monitors - LCD E791658 today at PC Connection"|||||Black|||['CUL', 'NOM', 'IP54', 'FCC', 'C-Tick', 'IC', 'CB', 'RoHS', 'WEEE', 'VCCI']||||||||7 in|||0.192 mm||||||160 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Peerless Back to Back Flat Panel Ceiling Mount Stands & Mounts - AV PLB1 today at PC Connection|||||Black||"Supports 30"" to 50"" screens
Full unit swivels 360° with swivel stop feature
20° forward tilt for each screen"||||Ceiling mount, documentation||||||||||||||||||||||||Mounting kit|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||N/A|N/A||
"Buy Acer 19"" V196WL BD LED-LCD Monitor, Black Monitors - LED-LCD UM.CV6AA.002 today at PC Connection"||||250 cd/m2|Black||"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|EPEAT Gold|['DVI', 'Power', 'HDDB15']|['DVI', 'VGA', 'Power']|Monitor, VGA cable, DVI cable, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|19 in|['LCD', 'LED-backlit']|Widescreen||Yes|||||250 cd/m2|||1440 x 900|||||"(1) DVI
(1) HDDB15 VGA
(1) Power in"||||||5 ms|||||||170/160|3 Years|3 Years|limited|
"Buy 3M 19"" Standard LCD Privacy Computer Filter Glare Filters & Privacy Screens PF19.0 today at PC Connection"|0.00 lb(s)||||||Notebooks or LCD displays with a standard 19-inch screen||||Privacy filter, documentation|||||||||||||||||||||"11.9""h x 14.8""w"|||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Premier Mounts Universal Tilt Mount for 37""-61"" Flat Panels Stands & Mounts - AV CTM-MS2 today at PC Connection"|||||Dark gray||||||Unit, documentation||||||||||||||||||||||||Mounting kit|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||Lifetime|Lifetime||
"Buy ELO Touch Solutions 15"" 1529L 3000 Series Multifunction LCD Monitors - LCD E101984 today at PC Connection"|||||Dark gray|||['C-Tick', 'CUL', 'TUV GS', 'VESA DPMS', 'VCCI', 'RoHS', 'DDC/CI', 'FCC Class A certified']||['USB', 'Serial']|Monitor, stand, documentation|||||15 in|['Touch screen', 'LCD']||||||||322 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Tripp Lite DVI F F Extender Booster Equalizer, Single Link Video Video Extenders & Splitters B120-000-SL today at PC Connection|||||Black||"Extend DVI Single Link signals up to 150 ft. from the source.
Perfect for retail, classroom, or any application that requires longer DVI cables.
Supports a maximum resolution of 1920x1080 @ 60Hz."|['TAA', 'RoHS']|||Extender, AC adapter, screwdriver, documentation||||||||||||||||||||||"(2) DVI (F)
(1) Power"||Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Kensington Snap2 Blackout Privacy Filter for 22"" Flat Panels Glare Filters & Privacy Screens K55779WW today at PC Connection"|0.00 lb(s)||||||"Fits up to 22"" flat panel monitors.
Bracket secures screen to differently shaped flat panel screens without hassle, adhesive or cumbersome frames.
Privacy screen narrows viewing angle to shield confidential data from on-lookers.
Hard-coated film protects sensitive flat panel screen from smudges and damage.
Textured surface with light tint to reduce glare and improves contrast."||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Asus 22"" VK228H-CSM LED-LCD Full HD Monitor Monitors - LED-LCD VK228H-CSM today at PC Connection"||||250 cd/m2|Black|||['WHQL', 'VCCI', 'TCO Displays 5.2', 'BSMI', 'CB', 'EPEAT Gold', 'RoHS', 'GOST-R', 'WEEE', 'J-MOSS', 'CUL', 'CCC', 'ErP Ready', 'C-Tick', 'FCC']|||||||Tilt|21.5 in|||0.248 mm|Yes|||||250 cd/m2||||||||||||||||||||||Call for Warranty|Call for Warranty||
"Buy 3M 12.1"" Notebook Privacy Filter Glare Filters & Privacy Screens PF12.1 today at PC Connection"|||||||||||Privacy filter, documentation||||||||||||||||||||||||Display screen filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||"Notebook with standard 12.1"" screen."||||1 Year|1 Year||
"Buy Kensington Snap2 Blackout Privacy Filter for 19"" Widescreen Flat Glare Filters & Privacy Screens K55778WW today at PC Connection"|||||||"Top-mount bracket secures screen to monitor without hassle, adhesive or cumbersome frames.
Hard-coated surface protects sensitive flat panel screen from smudges and damage.
Fits all 19"" and most 20"" widescreen flat panel monitors and televisions.
Textured surface with light tint minimizes glare and improves contrast.
Frame-free construction clings to monitor and won't obstruct controls or speakers.
Widescreen proportions to fit the newer flat panel monitors and televisions.
Lightweight film won't fall off monitor."||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Limited Lifetime|Limited Lifetime||
"Buy ELO Touch Solutions 15"" Front Mount Bezel for 1537L Monitor & Display Accessories E323425 today at PC Connection"|||||Black||||||Unit, documentation||||||||||||||||||||||||Bezel|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Lenovo 13.3"" LT1423p LED-LCD Touchscreen Monitor, Black Monitors - LED-LCD 60A3UAR2US today at PC Connection"|1.90 lb(s)|Touch screen||200 nit(s)|Black||"Gorilla glass
10 point touch technology
Windows 8 certified
ThinkPad digitizer pen
Simple cover stand to support landscape & portrait usage
Built in typing stand
Mercury free / Arsenic free"|['RoHS', 'FCC Class B certified']|USB 3.0|USB 3.0|monitor, digitizer pen, documentation|500:1||||13.3 in|['LED-backlit', 'LCD']|Portable|0.184 badge(s)||||||200 cd/m2|||1600 x 900||||"8.9""h x 13.7""w x 0.3""-0.5""d"|(1) USB 3.0|Consumption: 7W (max); 6W (typ.);|||||35 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||150/150|3 Years|3 Years||
Buy Peerless Universal Speaker Mount For Speakers Up To 20 lbs. Stands & Mounts - AV SPK811 today at PC Connection|||||Black||||||Mount, hardware, documentation|||||||||||||||||||||"3.3""h x 2.0""w x 2.4""d"|||Mounting kit|||||This product is subject to our return policy. Please see our complete return policy for details.||||Speaker|||5 Years|5 Years||
Buy Elite Manual Pull-Down Projection Screen with Black Case, Matte Projector Screens M100UWV1 today at PC Connection|||||['Black', 'White']||||||Screen, hardware, case, documentation|||||||||||||||||||||"73""h x 88""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Ergotron LX Dual Stacking Arm Mount Stands & Mounts - AV 45-248-026 today at PC Connection|0.00 lb(s)||||Aluminum||"Max. load capacity: 7-20lbs. per monitor; 2.5-12lbs. for notebook; 40lbs. total
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm and 75 x 75mm)"||||(2) LCD arms and extensions, pole, desk clamp and grommet mount, notebook tray and fastening kit, documentation||||||||||||||||||||||||['Desk mount', 'Mounting arm']|||||This product is subject to our return policy. Please see our complete return policy for details.||||Dual flat panel|||5 Years|5 Years||
"Buy LG 22"" 22MB65P-B LED-LCD Monitor, Black Monitors - LED-LCD 22MB65P-B today at PC Connection"||||||||['DDC/CI', 'ISO 13406-2', 'TUV Ergo', 'TUV GS', 'CUL', 'TCO Displays 6.0', 'Plug and Play']|||||||['Pivot (rotation)', 'Height', 'Tilt', 'Swivel']|22 in|||0.282 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Acer 22"" V226WL BMD LED-LCD Monitor, Black Monitors - LED-LCD UM.EV6AA.001 today at PC Connection"|6.80 lb(s)|['Speakers Included', 'Dual speakers']||250 nit(s)|Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|['EPEAT Gold', 'TCO Displays 6.0']|['DVI', 'HDDB15', 'Power']|['Power', 'DVI', 'VGA']|Monitor, VGA cable, DVI cable, power cord, documentation|100,000,000:1||Digital Visual Interface (DVI)||22 in|['LED-backlit', 'LCD']|Widescreen||Yes|||||250 cd/m2|||1680 x 1050||||"16.5""h x 19.9""w x 8.2""d"|"(1) DVI
(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 24.2W (typ.); 0.5W (standby); 0.4W (off mode)"|||||5 ms|||||||170/160|3 Years|3 Years|limited|
Buy Elite Spectrum Electric Projection Screen with Black Case, Matte Projector Screens ELECTRIC125H today at PC Connection|||||Matte White||||||Screen, IR remote control, 12v trigger adapter, documentation|||||||||||||||||||||"73.5""h x 121""w"|||Projection screen (motorized)|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Elite Manual Projector Screen, Matte White, 1:1, 136in Projector Screens M136UWS1 today at PC Connection|||||['Black', 'White']||Wall mounting brackets sold separately.||||Screen, case, hardware, documentation|||||||||||||||||||||"95""h x 102.5""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Elite Economy Electric Projection Screen, White Case, 120in Projector Screens ELECTRIC120V today at PC Connection|||||Matte White||||||Screen, mounting hardware, documentation|||||||||||||||||||||"83.5""h x 98""w"|||Projection screen (motorized)|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy NEC Compact Carrying Case, for EX201W Carrying Cases - Projectors SC-EX20 today at PC Connection|||||||Works with EX201W-BK||||Case, documentation|||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy AOC 27"" I2769VM Full HD LCD Monitor, Black Monitors - LCD I2769VM today at PC Connection"||||||||['TUV Bauart', 'EuP', 'NRTL', 'TCO05', 'GOST', 'FCC', 'RoHS', 'ISO 9241-307']|||||||Tilt|27 in|||0.311 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy 3M Privacy Filter For 14"" Toughbook 53 Glare Filters & Privacy Screens PFNPNTB53 today at PC Connection"|||||Tinted clear||"Keeps your personal or confidential information safe from prying eyes.
You'll see the information on your display while people on either side only see a darkened screen.
Designed to fit widescreen laptops with a diagonally measured 14"" viewing screen and a 16:9 aspect ratio.
Customed designed to fit the Panasonic Toughbook 53."||||filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy LG 39"" LY340C Full HD LED-LCD Commercial TV Televisions - LED-LCD Commercial 39LY340C today at PC Connection"|||||||||||||39 in|||||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.||2 speakers|||||1 Year|1 Year||
Buy NEC Table Top Stand for X401S, X401S-AVT Stands & Mounts - AV ST-322 today at PC Connection|||||Black||Compatible with X401S, X401S-AVT.||||Stand, documentation||||||||||||||||||||||||Stand|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||1 Year|1 Year||
Buy Elite Manual Pull-Down Projection Screen with SRM, MaxWhite FG, Projector Screens M100VSR-PRO today at PC Connection||||||||||||||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Ergotron Neo-Flex All-In-One SC Lift Stand for LCD and CPU, Stands & Mounts - AV 33-338-085 today at PC Connection|0.00 lb(s)||||Black||"Weight Capacity: 6–16 lbs. for display; total stand capacity = 37 lbs. for combined weight of display, CPU, keyboard and mouse.
Motion may be restricted when using 22–24"" monitors in portrait mode.
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm & 75 x 75mm).
Five-inch height adjustment ergonomically accommodates average range of users.
Removal of lock screw allows portrait to landscape rotation (90°).
Compatible with most 15–24"" displays, and most small or ultra small form factor CPUs. Maximum CPU size = 15""W x 14""H x 4.5""D; minimum CPU size = 7""W x 7""H x 2""D. Provided rubber spacer must be used to accommodate CPU depths of less than 3"".
Mounting Option: Two M4 threaded screw inserts are located at the bottom of the base to allow for attachment of the stand to worksurface. Screws not supplied. Hole-spacing from center to center = 4.5""."||||Stand, CPU secure clamp, VESA mounting kit, cable ties, documentation||||||||||||||||||||||||['Display stand', 'Stand', 'Monitor stand']|||||This product is subject to our return policy. Please see our complete return policy for details.||||['CPU', 'Flat panel display']|||3 Years|3 Years||
"Buy AOC 23"" I2367FH Ful HD LED-LCD Monitor, Black Monitors - LED-LCD I2367FH today at PC Connection"||||250 cd/m2|['Silver', 'Black']|||['EuP', 'BSMI', 'VCCI', 'CB', 'KCC', 'C-Tick', 'ISO 9241-307', 'CEL', 'MPRII', 'E-Standby', 'EPA', 'FCC', 'J-MOSS', 'PSE Mark', 'GOST', 'CCC', 'TUV GS', 'KC', 'REACH', 'DDC-2B', 'DDC-2B/CI', 'TCO Displays 6.0', 'CTUVus']|||||||Tilt|23 in|||0.2652 mm||||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy HP Smart Buy 18.5"" V193 LED-LCD Monitor, Black Monitors - LED-LCD G9W86A6#ABA today at PC Connection"|6.00 lb(s)|||200 cd/m2|Black||"Business-class presentation features:
Enjoy crisp, clear views of your documents and e-mail with 1366 x 768 resolution, 5M:1 dynamic contrast ratio, and 5 ms response time on an 18.5-inch inch diagonal screen. Quickly and easily connect to your devices with a VGA input.
Affordable, stylish, and compact:
Make a good impression and leave plenty of room on the desk with a design that complements HP PCs and has a small footprint. The internal power supply also helps keep your workspace tidy.
Designed with the environment in mind:
Reduce power consumption and help lower your costs with an intelligent, energy-efficient design that is ENERGY STAR qualified and EPEAT Silver registered. The display also includes mercury-free display backlights and arsenic-free display glass.
Dimensions with stand: 13.3""h x 17.4""w x 7.4""d"|['KCC', 'KC', 'CB', 'FCC', 'CCC', 'VCCI']|['HDDB15', 'Power']|['Power', 'VGA']|monitor, power cord, VGA cable, documentation|['5,000,000:1', '600:1']|||Tilt|18.5 in|['LCD', 'LED-backlit']|Widescreen|0.3 mm|Yes|||||200 cd/m2|||1366 x 768||||"10.9""h x 17.4""w x 1.8""d"|"(1) HDDB15 VGA
(1) Power in"|"Supply: 100-240VAC
Consumption: 17W (max); 15W (typ.); 0.5W (standby)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||90/65|3 Years|3 Years||
"Buy Asus 20"" VS207D-P LED-LCD Monitor, Black Monitors - LED-LCD 90LM0010-B021B0 today at PC Connection"||||250 cd/m2|Black|||['EPEAT Gold', 'WHQL', 'CUL', 'WEEE', 'BSMI', 'GOST-R', 'CB', 'VCCI', 'RoHS', 'FCC', 'C-Tick', 'TCO Displays 6.0', 'ErP Ready']|||||||Tilt|19.5 in|||0.2768 mm|Yes|||||250 cd/m2||||||||||||||||||||||3 Years|3 Years||
Buy Draper AccuScreeen Fixed Projection Screen, 4:3, 84in Projector Screens 800015 today at PC Connection|||||||Four mounting brackets are included for wall attachment.||||Screen, mounting brackets, documentation|||||||||||||||||||||"50.5""h x 67.3""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy AOC 23.6"" I2421VWH Full HD LED-LCD Monitor, Black Monitors - LED-LCD I2421VWH today at PC Connection"|||||Black|||['FCC Part 15', 'DDC-2B', 'WEEE', 'CTUVus']|||||||Tilt|24 in|||0.2715 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy LG 19"" MB35PM-B LED-LCD Monitor Monitors - LED-LCD 19MB35PM-B today at PC Connection"|||||Anthracite|||['TUV GS', 'EN 61000-3-3', 'VCCI V-2', 'EN 55022 Class B', 'EN 55024', 'Plug and Play', 'TCO Displays 6.0', 'NEMKO', 'SEMKO', 'ISO 9241-307', 'EN 61000-3-2:2006', 'EN 60950-1:2006', 'DDC/CI', 'C-Tick', 'CSA']|||||||['Tilt', 'Height', 'Pivot (rotation)', 'Swivel']|19 in|||0.294 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy LG 24"" MB35PY-B Full HD LED-LCD Monitor, Black Monitors - LED-LCD 24MB35PY-B today at PC Connection"|||||Matte Black|||['Plug and Play', 'TCO Displays 6.0', 'ISO 9241-307', 'TUV Ergo', 'TUV GS', 'CUL', 'ISO 13406-2', 'DDC/CI']|||||||['Height', 'Tilt', 'Pivot (rotation)', 'Swivel']|24 in|||0.275 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||11.200 lb(s)
"Buy Peerless Smartmount Universal Flat Wall Mount for 37""-63"" Flat Stands & Mounts - AV SF660 today at PC Connection"|||||Black||||||Wall mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years|Limited|
"Buy Acer 23"" V236HL Cbmd Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.VV6AA.C02 today at PC Connection"||['Dual speakers', 'Speakers Included']||250 nit(s)|Black|16.7 million colors|"Dimensions with stand: 16.1""h x 21.4""w x 8.2""d"|TCO Displays 6.0|['DVI', 'HDDB15', 'Power']|['Power', 'VGA', 'DVI']|monitor, DVI cable, VGA cable, power cord, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|23 in|['LCD', 'LED-backlit']|Widescreen|||||||250 cd/m2|||1920 x 1080||||"12.8""h x 21.4""w x 2""d"|"(1) DVI
(1) HDDB15 VGA
(1) Power in"|Supply: 110-220VAC|||||5 ms|||||||170/160|3 Years|3 Years||
"Buy Asus 28"" VN289QL Full HD LED-LCD Monitor, Black Monitors - LED-LCD VN289QL today at PC Connection"|||||Black|||['CUL', 'CCC', 'RoHS', 'MEPS', 'WHQL', 'C-Tick', 'WEEE', 'BSMI', 'FCC', 'PSE Mark', 'TCO Displays 6.0', 'CB', 'VCCI']|||||||['Swivel', 'Height', 'Tilt', 'Pivot (rotation)']|28 in|||0.32 mm|Yes|||||300 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Refurb. V7 19"" D1912B-N6 LCD Monitor with Speakers, Black Monitors - LCD D1912B-N6-R today at PC Connection"||||||||['CUL', 'FCC', 'TCO03', 'TUV GS', 'NOM']|['Power', 'DVI-D', 'HDDB15']|['VGA', 'Power', 'DVI-D']||||||19 in||||Yes|||||250 cd/m2||||||||"(1) HDDB15 VGA
(1) DVI-D
(1) Power in"||||Refurb.|||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Kensington Blackout Privacy Filter for 15.4"" Notebooks Glare Filters & Privacy Screens K55783WW today at PC Connection"|||||Black||"Designed for 15.6-inch notebooks.
Limits viewing angle +/- 30° while also protecting the screen from scratches and damage.
Easy to attach and removable, yet thin enough to allow your notebook computer to close.
Screen cleaning cloth included."||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Limited Lifetime|Limited Lifetime||
"Buy Targus 15.4"" LCD Monitor Privacy Screen (16:9) Glare Filters & Privacy Screens ASF154W9USZ today at PC Connection"|0.50 lb(s)||||Tinted||"Designed to fit 15.4” widescreen LCD Monitors with 16:9 ratio screens.
Designed to fit a range of laptops with screens up to 15.4"" in size; including models with an extended battery."||||Privacy screen, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year|limited|
"Buy Peerless Fixed Extension Column, 24"", White Stands & Mounts - AV EXT102-AW today at PC Connection"|0.00 lb(s)||||White||Max load capacity: 1200 lbs.|['CUL', 'UL']|||Extension column, documentation|||||||||||||||||||||"24""l"|||Projector ceiling mount extension tube|||||This product is subject to our return policy. Please see our complete return policy for details.||||['Projector', 'Monitor']|||Call for Warranty|Call for Warranty||
Buy Da-Lite Tensioned Advantage Electrol Projection Screen, HDTV, Da Projector Screens 84402 today at PC Connection|||||White||Case is UL plenum rated.||||Screen with case, Decora wall switch, documentation|||||||||||||||||||||"65""h x 116""w"|||Projection screen (motorized)|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||N/A|N/A||
Buy Elite Portable Tripod Pull-Up Projection Screen, Matte White, Projector Screens T119UWS1 today at PC Connection|||||Black||||||Screen in black case, tripod stand, documentation|||||||||||||||||||||"149.5""h x 90""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy Peerless Universal Adapter Plate for 32""-60"" Flat Panel Screens Stands & Mounts - AV PLP-UNLP today at PC Connection"|||||Black||"Compatible with most 32""-60"" flat panel displays. Please see manufacturer's website for complete compatibility listing."||||Adapter plate, hardware, documentation||||||||||||||||||||||||Adapter plate kit|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||N/A|N/A||
"Buy NDS 21"" Dual-Head E3 Grayscale Monitors with Quadro 2000D Monitors - Medical 997-5713-00-2AN today at PC Connection"||||||||['VCCI', 'TUV GM', 'RoHS', 'FDA 510k', 'REACH', 'cCSAus', 'EN 60601-1', 'WEEE', 'FCC', 'CCC', 'KCC']|||||||['Pivot (rotation)', 'Swivel', 'Height', 'Tilt']|20.8 in|||0.206 mm||||||1000 cd/m2|||||||||||||||Due to manufacturer restrictions, all sales on this item are final.|||||||Call for Warranty|Call for Warranty||
