3d compatibility|<page title>|ac adapter included|ac power in|analog signal format system|aspect ratio|audio input|audio output|backlight type|bezel width side|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|card reader integrated|certification|colour of product|common interface ci|common interface plus ci|compatible memory cards|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|energy efficiency class|energy star certified|epeat compliance|ethernet lan|feet colour|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|headphone connectivity|headphone out|height|height adjustment|height with stand|horizontal scan range|input frequency|input voltage|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|microphone in|mobile highdefinition link mhl|nonoperating altitude|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|quantity|quick start guide|relative humidity|response time|rms rated power|rs232 ports|safety|screen format adjustments|screen saving functions|separate hv sync|source datasheet|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|svideo inputs quantity|swivel angle range|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|vertical scan range|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
|iiyama ProLite E2280HS-1 - MediaShopUK||||16:9||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']|||['Black', 'Black']||||||||5000000:1|1000:1||189.5 mm||||||LCD|250 cd/m²|"546.1 mm (21.5 "")"||16.77 M|1920 x 1080 pixels|||TN+Film|||Yes|1|||Unspecified|Yes|Silver||||Full HD|Yes||1|||365.5 mm|No||24 - 80 kHz|50/60 Hz|100 - 240 V||||||||||['2', '2']|['9', '9']||['Yes', 'Yes']||||||||||||||||0.248 x 0.248 mm||['Yes', 'Yes']||||0.5 W|21 W||||||['Yes', 'Yes']||5 ms|['2 W', '2 W']|||||Yes|['.', '.']||||||||||No||-5 - 21 °|No|||56 - 75 Hz|100 x 100 mm|1|||476.64 mm|268.11 mm|160 °|160 °||Yes|3.3 kg||509.5 mm|||
No|iiyama ProLite E2083HD-1 - MediaShopUK||||16:9|||||No|||['No', 'No']||['Kensington', 'Kensington']|['AC, VGA', 'AC, VGA']|||['Black', 'Black']||||||||5000000:1|1000:1||203 mm||30 - 80 kHz|55 - 75 Hz|||LED|250 cd/m²|"495.3 mm (19.5 "")"||16.77 M|1600 x 900 pixels|||TN+Film||||1|||Unspecified|Yes||No||||Yes|||||360 mm||||50/60 Hz|100 - 240 V||||['Yes', 'Yes']|||||||['10', '10']||['Yes', 'Yes']||||||||||||||||0.271 x 0.271 mm||||||1 W|15 W||||||['Yes', 'Yes']||5 ms||||||Yes|['.', '.']||||1600 x 900|||||||Yes|-5 - 22 °|||||100 x 100 mm|1|||433.9 mm|236.3 mm|170 °|160 °||Yes|2.6 kg||469.5 mm||No|
|Philips 233V5LSB - MediaShopUK||Yes||16:9|||W-LED|||||||['Kensington', 'Kensington']|||RoHS, Lead-free, Mercury Free|['Black', 'Black']||||||||10000000:1|1000:1||53 mm|219 mm|||||LED|250 cd/m²|"584.2 mm (23 "")"|58.4 cm|16.77 M|1920 x 1080 pixels|Yes||LCD/TFT|||Yes|1|||Unspecified|Yes|Silver||||Full HD||||||340 mm||416 mm|30 - 83 kHz|50/60 Hz|100 - 240 V|['Operation, Stand-by', 'Operation, Stand-by']|||||['30.000 h', '30.000 h']|||||||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']|['Yes', 'Yes']||20 - 80 %|0 - 40 °C||['4.93 kg', '4.93 kg']|['118 mm', '118 mm']|['415 mm', '415 mm']|['600 mm', '600 mm']||||||0.265 x 0.265 mm||['Yes', 'Yes']||0.5 W||0.5 W|20.11 W||||||||5 ms||||||Yes|['.', '.']|||-20 - 60 °C||||||Yes|||||||56 - 75 Hz|100 x 100 mm|1|||509.18 mm|286.42 mm|170 °|160 °||Yes|3.13 kg|3.5 kg|547 mm|547 mm||
No|Edge10 EF190a - MediaShopUK||Yes||16:10||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['VGA', 'VGA']|||['Black', 'Black']||||||||10000:1|1000:1||55 mm|180 mm|||||LED|300 cd/m²|"482.6 mm (19 "")"|48.4 cm|16.77 M|1440 x 900 pixels||||||Yes|1|||Unspecified||||||||||||302 mm|No|358 mm|31.5 - 80 kHz|50/60 Hz|100 - 240 V||||||||||['2', '2']|||['Yes', 'Yes']||||||||||||||||0.285 x 0.285 mm||||||1 W|21 W|['Yes', 'Yes']|||||||5 ms|['4 W', '4 W']||||||||||1440 x 900||||||No|Yes|-5 - 15 °|No|||60 - 75 Hz|100 x 100 mm|1|||410.4 mm|256.45 mm|170 °|160 °||Yes|3.35 kg|4.32 kg|440 mm|440 mm||
No|iiyama ProLite B2480HS - MediaShopUK||Yes||16:9|Yes||Edge-lit LED||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']|['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']|['No', 'No']|CE, CU, TUV-GS, TCO|['White', 'White']||||||||5000000:1|1000:1||244.5 mm||||||LED|300 cd/m²|"599.4 mm (23.6 "")"||16.77 M|1920 x 1080 pixels|||TN+Film||||1|||Unspecified|Yes||No|||Full HD|Yes||1|||557 mm|Yes||24 - 80 kHz|50/60 Hz|100 - 240 V||||['Yes', 'Yes']||||||['2', '2', '2']|['9', '9']||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS']|||10 - 80 %|41 - 95 °F|||||||||Yes|0 - 90 °|0.2715 x 0.2715 mm||['Yes', 'Yes']||||1 W|22 W||['Yes', 'Yes']||||['Yes', 'Yes']||2 ms||||||Yes|['.', '.']||5 - 85 %|-20 - 60 °C|1920 x 1080 (HD 1080)|1080p||-160 - 160 °|Yes||No|Yes|-5 - 22 °|['No', 'No']|||56 - 75 Hz|100 x 100 mm|1|||521.28 mm|293.22 mm|170 °|160 °||Yes|6.1 kg||571.5 mm|||
No|Edge10 C192 LED display - MediaShopUK||Yes||16:9||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|['VGA', 'VGA']|||['Black', 'Black']|||||||1||||55 mm|180 mm|||||LED|300 cd/m²|"469.9 mm (18.5 "")"|47 cm|16.2 M|1366 x 768 pixels|||LCD|||No||||Unspecified||||||HD-ready|No|||||354 mm|No|426 mm|31.5 - 80 kHz|50/60 Hz|100 - 240 V|||||||||||||['Yes', 'Yes']||||||||||||||||0.264 x 0.264 mm||||||1 W|21 W|['Yes', 'Yes']|||||||5 ms|||||||||||1366 ? 768||1||||No|||No|||50 - 75 Hz|100 x 100 mm|1|||||140 °|130 °||Yes|3.635 kg|4.665 kg|440 mm|440 mm||
No|iiyama ProLite XB2483HSU - MediaShopUK||||16:9|||||No|||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']|['Kensington', 'Kensington']|['AC, Audio (3.5mm), USB, VGA', 'AC, Audio (3.5mm), USB, VGA']|['No', 'No']||['Black', 'Black']||||||||5000000:1|3000:1|||230 mm|30 - 80 kHz|55 - 75 Hz|||LED|250 cd/m²|"609.6 mm (24 "")"||16.77 M|1920 x 1080 pixels|||A-MVA|||Yes|1|||Unspecified|Yes||No|||Full HD|Yes||1||1||Yes|516.5 mm|||||||['Yes', 'Yes']||||||['2', '2', '2']|['10', '10']||['Yes', 'Yes']||||||||||||||Yes|0 - 90 °|0.277 x 0.277 mm||||||0.5 W|27 W||||||['Yes', 'Yes']||4 ms|['4 W', '4 W', '4 W']|||||Yes|['.', '.']||||1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)|1080p||-45 - 45 °|Yes|||Yes|-5 - 22 °||2|||100 x 100 mm|1|||531.4 mm|298.9 mm|178 °|178 °||Yes||5 kg||565.5 mm|No|
|iiyama ProLite B1706S - MediaShopUK||||5:4||||||['No', 'No']||||['Kensington', 'Kensington']|||CE, TÜV-GS, VCCI-B, TCO '03|['Black', 'Black']|||||||||8000:1|||249.5 mm|||||LCD|250 cd/m²|"431.8 mm (17 "")"|||1280 x 1024 pixels||||['270.3 x 337.9 mm', '270.3 x 337.9 mm']|||1||||Yes||||||Yes||||||110 mm|495.5 mm|24 - 80 kHz|||||['Yes', 'Yes']||||||||||||||||||||||||||0.264 x 0.264 mm||['Yes', 'Yes']|||||20 W|||AC 100 - 240 V, 50 - 60 Hz|||||5 ms|['2 W', '2 W']|||||Yes|['.', '.']|||||||-170 - 170 °|||||0 - 20 °|No|||55 - 75 Hz|100 x 100 mm|1|||||170 °|155 °||||5.7 kg||371.5 mm||['Windows 95', 'Windows 95']
No|Fujitsu E line E20T-6 LED - MediaShopUK||||16:9|Yes|||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['Audio (3.5mm), VGA', 'Audio (3.5mm), VGA']||CE, TÜV GS, GOST, FCC, cUL, C-Tick, VCCI, KC, BSMI, CCC|['Black', 'Black']||||||||2000000:1|1000:1||61 mm|156 mm|||||LED|250 cd/m²|"508 mm (20 "")"|50.8 cm|16.77 M|1600 x 900 pixels||||||Yes||||Unspecified|Yes|Gold||||No|Yes|||||294 mm||316 mm|30 - 82 kHz|50/60 Hz|100 - 240 V||||||['70000 h', '70000 h']||||||||||||5 - 35 °C|||||||||||0.277 x 0.277 mm|||16 W||0.3 W|0.3 W|13.4 W||||||||5 ms|['3 W', '3 W']||||||['.', '.']||||1600 x 900, 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)||||||No|Yes|-5 - 15 °|No|||56 - 76 Hz|Yes|1|||||170 °|170 °||Yes|2.7 kg||475 mm|475 mm||
No|Philips 221P3LPEB - MediaShopUK||||16:9|||W-LED|||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|||RoHS, BSMI, CE, FCC B,GOST, SEMKO, TCO 5.1, TUV Ergo, TUV/GS, UL/cUL|['Black', 'Black']||||||||20000000:1|1000:1||59 mm|220 mm|30 - 83 kHz|56 - 75 Hz|||LCD|250 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels|Yes|||['476.6 x 268.1 mm', '476.6 x 268.1 mm']|||1||||Yes|Gold||||Full HD|Yes|||3.5 mm|1|323 mm|Yes|487 mm||50/60 Hz|100 - 240 V|['Yes', 'Yes']||['Yes', 'Yes']|||['30000 h', '30000 h']||||['2', '2']|||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS']||||0 - 40 °C||7.43 kg|262 mm|377 mm|565 mm|Yes|||Yes||0.248 x 0.248 mm||['Yes', 'Yes']|||13.5 W|0.1 W|17.8 W||['Yes', 'Yes']|||||20 - 80 %|5 ms|['3 W', '3 W']|||||Yes|['.', '.']|['Yes', 'Yes']||-20 - 60 °C|1920 x 1080 (HD 1080)|1080p||-65 - 65 °||Yes|No||-5 - 20 °|No|4|||100 x 100 mm|1|||||176 °|170 °||Yes|3.51 kg|5.64 kg|507 mm|507 mm||['Yes', 'Yes']
No|Wortmann AG Terra 2455W, Greenline Plus - MediaShopUK||Yes||16:9|Yes|||||['No', 'No']||['Yes', 'Yes']||['Yes', 'Yes']|['AC, Audio (3.5mm), DVI', 'AC, Audio (3.5mm), DVI']||TUV-GS, CE, ISO 9241-307, TCO Displays 6.0|['Black', 'Black']||||||||15000000:1|||58 mm|213 mm|30 - 82 kHz|55 - 76 Hz|||LED|250 cd/m²|"599.4 mm (23.6 "")"|59.9 cm|16.77 M|1920 x 1080 pixels|||TN+Film|||Yes||||Unspecified|Yes|||||Full HD|Yes||1||1|340 mm||396 mm||50/60 Hz|100 - 240 V||||['Yes', 'Yes']|||||||||['Yes', 'Yes']||||||||||||||||0.272 x 0.272 mm||['Yes', 'Yes']||||0.5 W|20 W||||||||5 ms|||||||||||1920 x 1080 (HD 1080)|1080i, 1080p, 480i, 480p, 576i, 576p, 720p|||||No|Yes|0 - 20 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes|4.4 kg||557 mm|557 mm||
|Wortmann AG Terra 2412W Greenline Plus - MediaShopUK||Yes||16:9|Yes|||||['No', 'No']||['Yes', 'Yes']|||['Audio (3.5mm), DVI', 'Audio (3.5mm), DVI']||CE, EN 60950|['Black', 'Black']||||||||20000000:1|||44 mm|230 mm|||||LCD|250 cd/m²|"609.6 mm (24 "")"|61 cm|16.77 M|1920 x 1080 pixels|||TN+Film|||Yes||||Unspecified|Yes|||||Full HD|Yes|||||345 mm|No|405 mm||50/60 Hz|100 - 240 V||||['Yes', 'Yes']|||||||||||||||||||||||No||0.277 x 0.277 mm||['Yes', 'Yes']||||0.5 W|19 W|['Yes', 'Yes']|['Yes', 'Yes']||||||5 ms||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080i, 1080p|||||No||0 - 20 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes|3.6 kg|3.8 kg|568 mm|568 mm||
|Benq XL2720T - MediaShopUK||||16:9||||||['No', 'No', 'No']||['No', 'No', 'No']||['Yes', 'Yes']||||['Black, Red', 'Black, Red']||||||||12000000:1|1000:1||273 mm||||||LCD|300 cd/m²|"685.8 mm (27 "")"||16.77 M|1920 x 1080 pixels|||TN+Film|||Yes|1|||||||||Full HD|Yes||1|||548 mm|Yes||||95 - 265 V|||||||||||['17', '17']||['Yes', 'Yes']||||||||||||||||0.311 x 0.311 mm|||||0.5 W||27 W||||||||1 ms|||||||||||1920 x 1080 (HD 1080)|||45 - 45 °|Yes|||Yes|-5 - 20 °|['No', 'No']||||100 x 100 mm|1|||||170 °|160 °||Yes|7.5 kg||642 mm|||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
No|Acer V 226WLbmd - MediaShopUK||||16:10||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['AC, VGA', 'AC, VGA']||TCO|['Black', 'Black']||||||||100000000:1|||207 mm||||||LED|250 cd/m²|"558.8 mm (22 "")"||16.77 M|1680 x 1050 pixels|||TN+Film|||Yes||||Unspecified||Gold||||No|Yes|||||419.1 mm|||||110 - 220 V||||||||||['2', '2', '2']|||||||||||||||||||||||3.5 W||4.5 W|24.2 W||['Yes', 'Yes']||||||5 ms|['4 W', '4 W', '4 W']||||||['.', '.']||||1680 x 1050 (WSXGA+)||||||No|||['No', 'No']|||||1|||||170 °|160 °|||3.09 kg|3.52 kg|505.7 mm|||
No|Samsung 230MXN - MediaShopUK||Yes||16:9||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['VGA', 'VGA']||FCC (USA) FCC Part 15, Subpart B class BCE (Europe) EN55022, EN55024VCCI (Japan) V-3 (CISPR22)KCC (Korea):KN22, KN24BSMI (Taiwan): CNS13438 (CISPR22)C-Tick (Australia): AS/NZS3548 (CISPR22) CCC(China):GB 9254-2008, GB 17625.1-2003|['Black', 'Black']||||||||5000:1|3000:1|||73.9 mm||||||300 cd/m²|"584.2 mm (23 "")"||16.77 M|1920 x 1080 pixels|||||||||||||Yes||['Yes', 'Yes']|Full HD||['Yes', 'Yes']|1||1|||339 mm|30 - 81 kHz|50/60 Hz|100 - 240 V||||['Yes', 'Yes']||||||['2', '2', '2']|||||||10 - 80 %|10 - 40 °C|640 x 192 x 418 mm|['8.6 kg', '8.6 kg']|['192 mm', '192 mm']|['418 mm', '418 mm']|['640 mm', '640 mm']||||Yes||0.2566 x 0.2566 mm||['Yes', 'Yes']||1 W|70 W|5 W|120 W||||||['Yes', 'Yes']||8 ms|['6 W', '6 W', '6 W']|1|UL (USA): UL 60950-1CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001PSB (Singapore): IEC60950-1GOST (Russia): IEC60950-1, EN55022SIQ (Slovenia): IEC60950-1, EN55022PCBC (Poland): IEC60590-1, EN55022NOM (Mexico): NOM-019-SCFI-1993IRAM (Argentina):IEC60950-1SASO (Saudi Arabia): IEC60950-1||||['.', '.']||||1920 x 1080 (HD 1080)|1080p|||||Yes|||['No', 'No']|1||56 - 85 Hz|100 x 100 mm|1|||509.76 mm|286.74 mm|178 °|178 °||Yes||7 kg||557.5 mm||['Yes', 'Yes']
No|Wortmann AG 1940HA - MediaShopUK||||5:4||||||['No', 'No']||['Yes', 'Yes']||['Yes', 'Yes']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||ISO 9241-307, TCO Displays 6.0|['Black, Silver', 'Black, Silver']||||||||30000000:1|||52 mm|214 mm|24 - 80 kHz|50 - 75 Hz|||LED|250 cd/m²|"482.6 mm (19 "")"|48.2 cm|16.77 M|1280 x 1024 pixels|||TN+Film|||Yes|1|||Unspecified|Yes||||||Yes|||||345 mm|Yes|||50/60 Hz|100 - 240 V||||['Yes', 'Yes']|||||||||['Yes', 'Yes']||||||||||||||||0.294 x 0.294 mm||['Yes', 'Yes']||||0.5 W|17 W||||||||5 ms|||||||||||1280 x 1024 (SXGA)||||||No|Yes|-5 - 15 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes||4.5 kg|415 mm|415 mm||
|Benq EW2740L - MediaShopUK|['Yes', 'Yes']|||16:9||||||['No', 'No', 'No']||['No', 'No', 'No']||['Yes', 'Yes']||||['Black', 'Black']||||||||20000000:1|||191.32 mm||||||LED|300 cd/m²|"685.8 mm (27 "")"||16.77 M|1920 x 1080 pixels|||LCD|||No|||||||||||Yes||2|||622.58 mm|No||||90 - 264 V||||['Yes', 'Yes']|||||||['17', '17']||['Yes', 'Yes']|||||||||||||||||||||||||||||||12 ms|||||||||||||||||No|Yes|-5 - 20 °|['No', 'No']|||||1|||||178 °|178 °||No|4.2 kg||450.57 mm|||['Windows 8', 'Windows 8']
No|iiyama ProLite B2780HSU - MediaShopUK||Yes||16:9|Yes||Edge-lit LED||No|['No', 'No', 'No']|['No', 'No', 'No']|['Yes', 'Yes', 'Yes']|['No', 'No', 'No']|['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, USB, VGA', 'AC, Audio (3.5mm), DVI, USB, VGA']|['No', 'No']|CE, TCO, TUV|['Black', 'Black']|No|No||||||5000000:1|1000:1||250 mm||||||LED|300 cd/m²|"685.8 mm (27 "")"||16.77 M|1920 x 1080 pixels|||TN+Film|||Yes|1||||Yes||No||['No', 'No']|Full HD|Yes||1|3.5 mm|1|548 mm|Yes||24 - 80 kHz|50/60 Hz|100 - 240 V|||['Yes', 'Yes']|||||||['2', '2', '2']|['9', '9']||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS']|['Yes', 'Yes']||10 - 80 %|41 - 95 °F|||||||||Yes|0 - 90 °|0.3113 x 0.3113 mm||['Yes', 'Yes']||||1 W|37 W||['Yes', 'Yes']||||['Yes', 'Yes']||2 ms|['4 W', '4 W', '4 W']|||||Yes|['.', '.']||5 - 85 %|-20 - 60 °C|1920 x 1080 (HD 1080)|||-170 - 170 °|||No||-4 - 22 °|['No', 'No']|4||56 - 75 Hz|100 x 100 mm|1|||597.6 mm|336.2 mm|170 °|160 °|['Digital', 'Digital']|Yes|8 kg||642 mm|||['Yes', 'Yes']
No|ASUS VS238N - MediaShopUK||Yes||16:9||||||['Yes', 'Yes']||['No', 'No']||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']||UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, RoHS, WEEE, Windows Vista and Windows 7 WHQL|['Black', 'Black']||||||||50000000:1||||200 mm|30 - 80 kHz|55 - 75 Hz|||LED|250 cd/m²|"584.2 mm (23 "")"|58.4 cm|16.77 M|1920 x 1080 pixels|||||||1||||Yes|||||Full HD|Yes|||||||400 mm||||||||['1920 x 1080 pixels', '1920 x 1080 pixels']|||||||['1 pcs', '1 pcs']|['Yes', 'Yes']||['Yes', 'Yes']|||||5.8 kg|130 mm|460 mm|608 mm||||||0.2655 x 0.2655 mm|['Horizontal', 'Horizontal']|||0.5 W|0.5 W||27 W||['Yes', 'Yes']||||['Yes', 'Yes']||5 ms||||['4:3, 16:9', '4:3, 16:9']|['Yes', 'Yes']||['.', '.']|['Yes', 'Yes']|||1920 x 1080 (HD 1080)||||||No||-5 - 20 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes||3.4 kg||552 mm||
No|Wortmann AG Terra LED/LCD 2310W - MediaShopUK|['Yes', 'Yes']|||16:9|||Edge-lit LED|||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||['No', 'No']|['Audio (3.5mm), DVI', 'Audio (3.5mm), DVI']||CE, EN 60950|['Black', 'Black']||||||||10000000:1||Yes|416 mm||||||LCD|250 cd/m²|"584.2 mm (23 "")"|58.4 cm||1920 x 1080 pixels|||TN+Film|||Yes||1||Unspecified||||||Full HD|Yes|||||182 mm||||50/60 Hz|100 - 240 V||||['Yes', 'Yes']||||||['2', '2', '2']|||||['Yes', 'Yes']|||||||||Yes|||||0.265 x 0.265 mm||['Yes', 'Yes']||0.5 W||0.5 W|23 W||['Yes', 'Yes']||||||5 ms|||||||||||1920 x 1080 (HD 1080)|1080i, 1080p, 480i, 480p, 576i, 576p, 720p|||||No||-15 - 15 °|['No', 'No']||||No|1|||||170 °|160 °||No|3.3 kg||561 mm|||
|Philips 234CL2SB - MediaShopUK||||16:9||Yes||||['No', 'No']||['No', 'No']|||||BSMI, CE Mark, FCC, Class B, GOST, UL/cUL|['Black', 'Black']||||||||20000000:1|||12.9 mm|175 mm|30 - 83 kHz|56 - 76 Hz||||250 cd/m²|"584.2 mm (23 "")"|||1920 x 1080 pixels|Yes||||||||||Yes|||||Full HD|No|['Yes', 'Yes']|1|||||408 mm|||||||||['30000 h', '30000 h']||||||||['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR']||||0 - 40 °C||4.78 kg|||||['SmartImage', 'SmartImage']||||0.265 x 0.265 mm||['Yes', 'Yes']||||0.3 W|24 W|||100-240 VAC, 50/60 Hz, External||||20 - 80 %|5 ms||||||Yes|['.', '.']|['Yes', 'Yes']||-20 - 60 °C||||||Yes|||-3 - 14 °||||||1|||||170 °|160 °||||2.89 kg||547 mm||
No|ASUS VB178TL - MediaShopUK|['Yes', 'Yes']|||5:4||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||BSMI, CB, CCC, CE, CEL, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL, NOM|['Black', 'Black']||||||||50000000:1|1000:1|||214 mm|30 - 83 kHz|55 - 75 Hz|||LCD|250 cd/m²|"431.8 mm (17 "")"|43.2 cm|16.77 M|1280 x 1024 pixels||||||Yes|1|||Unspecified|Yes||||||Yes|||3.5 mm|||Yes|377 mm|30 - 83 kHz|||['Yes', 'Yes']|||['Yes', 'Yes']||||||['2', '2']||||||||||7 kg|210 mm|382 mm|559 mm|Yes|||Yes||0.264 x 0.264 mm||||1 W|1 W||25 W||['Yes', 'Yes']||||['Yes', 'Yes']||5 ms|['2 W', '2 W']||||||['.', '.']|['Yes', 'Yes']|||1280 x 1024 (SXGA)||||Yes||No|Yes|-5 - 20 °|No|||55 - 75 Hz|100 x 100 mm|1|||||170 °|160 °||Yes||5.4 kg|462 mm|462 mm||
|Viewsonic LED LCD VX2270Smh-LED - MediaShopUK||Yes|||Yes|Yes|W-LED|||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['AC, HDMI, VGA', 'AC, HDMI, VGA']||CE,CB, BSMI, PSB, SASO, C-tick, UL/cUL, FCC-B (ICES003), TUV-S, NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, ENERGY STAR 5.2, WEEE, RoHS, SVHC list|['Black', 'Black']||||||||30000000:1|1000:1||179.5 mm|||||499.5 x 179.5 x 392 mm|LED|250 cd/m²|"546.1 mm (21.5 "")"|||1920 x 1080 pixels|Yes||IPS||||1|||Unspecified|Yes|Silver||||Full HD|Yes|['Yes', 'Yes']|1|||392 mm|||50 - 76 kHz|50/60 Hz|100 - 240 V||||['Yes', 'Yes']||['30000 h', '30000 h']||||['2', '2']|||['Yes', 'Yes']|||||32 - 104 °F|556 x 179 x 460 mm|5.7 kg|179 mm|460 mm|556 mm|||||||||||||26 W||||||['Yes', 'Yes']||7 ms|['3 W', '3 W']||||||['.', '.']||20 - 90 %|0 - 40 °C|1920 x 1080 (HD 1080)||||||||-5 - 20 °|No|||24 - 83 Hz|No|1|||||178 °|178 °||No|3.6 kg||499.5 mm|||['Yes', 'Yes']
No|Benq GL951AM - MediaShopUK||Yes||16:10||||||No||['Yes', 'Yes']|||||||||||||||1000:1||||||||LED|250 cd/m²|"482.6 mm (19 "")"||16.77 M|1440 x 900 pixels||||||||||||||||HD-Ready|No|||||||||||||||||||||||['Yes', 'Yes']|||||||||||||||||||||||||Yes||||||5 ms||||||||Yes|||1440 x 900 (WXGA+)||||||No|||||||100 x 100 mm|1|||||170 °|160 °||Yes||||||
