3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|PB238Q, 2529493, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Asus|250 cd/m²|['Speaker', 'USB Hub']||Black|16.7 Million Colours|||80,000,000:1||57.6 mm|201 mm||Yes|Yes||||['Security Lock', 'Splendid Video Intelligence Technology', 'Trace Free Technology']|||||Yes|Yes||323.7 mm|414 mm||178°||||ASUS Computer International|PB238Q||1920 x 1080|Wall Mountable||1|2|||||In-plane Switching (IPS) Technology|PC|||PB238Q|PB238Q Widescreen LCD Monitor|PB|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"||||Yes||500 mW|||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||5.50 kg||548.8 mm|548.80 mm
|LS19C20KBW/EN, SAMS19C200BW, Samsung, LCD Monitor, IML Direct Italy||Yes|||16:10|LED|Samsung|250 cd/m²||Eco Label Certifications:UL 60950-1CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM-019-SCFI-1993IRAM:IEC60950-1SASO : IEC60950-1EMC:FCC Part 15, Subpart B ClassACE EN55022, EN55024VCCI V-3 (CISPR22)KCC:KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC:GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||76.2 mm|170 mm|||Yes||||['MagicAngle', 'MultiScreen', 'MagicTune', 'Off Timer', 'MagicBright3', 'Eco Saving']|||['EPEAT Gold', 'ENERGY STAR', 'TCO Certified Displays']|Yes||||289.9 mm|373.60 mm||170°||['110 V AC', '220 V AC']||Samsung|LS19C20KBW/EN||1440 x 900|Wall Mountable||1|||19 W||||PC||SyncMaster|S19C200BW|SyncMaster S19C200BW Widescreen LCD Monitor|200|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||60 Hz|100 mW||||||||||160°|Yes|100 x 100|Yes||2.85 kg|3.10 kg|439.4 mm|439.40 mm
|9H.L9PLB.QWE, M352222, BenQ, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|BenQ|250 cd/m²|||White|16.7 Million Colours|||5,000:1||193 mm||||Yes||||['Security Lock', 'Senseye 3']|||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|429 mm|||178°||['110 V AC', '220 V AC']||BenQ Corporation|9H.L9PLB.QWE||1920 x 1080|Wall Mountable||1|||40 W|VW2430H Widescreen LCD MonitorPhone/Card Docking|||['PC', 'Mac']|||VW2430H|VW2430H Widescreen LCD Monitor|VW|LCD Monitor|||4 ms|Full HD|"61 cm (24"")"||||No||300 mW||||||||||178°|Yes|100 x 100|Yes||4.50 kg||568 mm|
|858-BBBR, Dell, LCD Monitor, IML Direct Italy|||||16:9|LED|Dell|250 cd/m²|USB Hub||Black|16.7 Million Colours|||2,000,000:1||46.5 mm|180 mm||Yes|Yes|||"Built to
comply with the latest environmental and regulatory standards, and
protected by a Premium Panel Guarantee and 3 years Advanced Exchange
Service."||"Fully
adjustable stand and a comprehensive set of analog and digital
connectivity ports and cables."|Click to view|['TCO Certified Displays', 'ENERGY STAR', 'EPEAT Gold', 'China Energy Label (CEL)']|Yes||||272.9 mm|467.90 mm|||||3 Year|Dell, Inc|858-BBBR||1600 x 900|||1|||36 W|20 Monitor - P2014H stand Cable cover Power cable Display Port cable VGA cable USB upstream cable Drivers and documentation media Quick setup guide Product and safety information guide||||25%||P2014H|20 Monitor - P2014H||LCD Monitor|||8 ms|HD+|"49.5 cm (19.5"")"|||||||||||||Yes||||Yes||Yes||2.48 kg|3.20 kg|470.5 mm|470.50 mm
|F8C55AT#ABU, 943ASGM, HP, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|HP|200 cd/m²|||Black||||3,000,000:1||46.9 mm|190 mm|||||||Security Lock|||['REACH', 'WEEE']|Yes||||288.7 mm|355.30 mm||90°||['220 V AC', '110 V AC']|1 Year|Hewlett-Packard|F8C55AT#ABU||1600 x 900|||1|||23 W|V201a 49,4 cm (19.45'') LED Backlit Monitor (F8C55AT) AC power cord VGA cable Audio cable Printed documentation Display Assistant (software)|||||Business|V201a|V201a 49,4 cm (19.45'') LED Backlit Monitor (F8C55AT)|Value|LCD Monitor|||5 ms|HD+|"49.4 cm (19.5"")"|Anti-glare|||||500 mW||||||-5°to15°||||50°|||Yes||2.80 kg||468 mm|468 mm
|60002795, 3967200, NEC Display Solutions, LCD Monitor, IML Direct Italy|Plug and Play||||5:4||NEC Display|250 cd/m²|||['Silver', 'Black']||||1,000:1||61 mm|230 mm|||Yes|||||||['TCO Displays 5.0', 'ENERGY STAR']|Yes||||320.5 mm|408.50 mm||170°||||NEC Display Solutions|60002795||1280 x 1024|||1|||||||PC||MultiSync|LCD175M|MultiSyncLCD175M LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||||||||||||||170°|||Yes||4 kg|6.50 kg|368 mm|368 mm
|860-10213, DELE2414H, Dell, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Dell|250 cd/m²|||Black|16.7 Million Colours|||1,000:1||46.5 mm|164.20 mm|||Yes||||Security Lock|||['EPEAT Gold', 'ENERGY STAR', 'China Energy Label (CEL)', 'TCO Certified Displays']|Yes|Yes|||337.5 mm|418.30 mm||170°||['220 V AC', '110 V AC']|3 Year|Dell, Inc|860-10213||1920 x 1080|['Arm-mountable', 'Wall Mountable']||1||500 mW|30 W|"E-series E2414H 61cm (24"") LED Monitor VGA,DVI-D (1920x1080) Black Stand Power Cable VGA Cable DVI Cable Cable Cover Drivers and Documentation Media Quick Setup Guide Product Information Guide"||Twisted Nematic Film (TN Film)||||E2414H|"E-series E2414H 61cm (24"") LED Monitor VGA,DVI-D (1920x1080) Black"|E|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare||||60 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||3 kg||570 mm|570 mm
|C9F26AA#ABG, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|||Black||||3,000,000:1||47.5 mm|151.10 mm|||Yes||||||Click to view|['TCO Certified Edge', 'ENERGY STAR']|Yes||||294.1 mm|359.20 mm|||||3 Year|Hewlett-Packard|C9F26AA#ABG||1600 x 900|||1|||22 W|ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD|||||ProDisplay|P201|ProDisplay P201 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|||||||||||||||||||Yes||3.50 kg||482 mm|482 mm
|E2411PU-BN, 4064349, LG Electronics, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|LG|250 cd/m²|['USB Hub', 'Speaker']|TÜV-GS|Matte Black|16.7 Million Colours|||5,000,000:1|||271 mm|||Yes|||||||['TCO Displays 5.0', 'ENERGY STAR']|Yes|Yes||||432.60 mm||170°||['110 V AC', '220 V AC']||LG Electronics|E2411PU-BN||1920 x 1080|||1|2|300 mW|30 W|||||||E2411PU-BN|E2411PU-BN Widescreen LCD Monitor|E11|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes||300 mW|||||||Yes|||160°|||Yes||3.67 kg|5.09 kg||569.10 mm
|C9V75AA#A2Q, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|242.40 mm||Yes|Yes||||||Click to view|['ENERGY STAR', 'TCO Certified Edge']|Yes||||329 mm|469.90 mm|||||3 Year|Hewlett-Packard|C9V75AA#A2Q||1920 x 1080|||1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E231|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||||||||||Yes||||||Yes||3.90 kg||544 mm|544 mm
|220B4LPCB/00, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||59 mm|227 mm|||Yes||||['Security Lock', 'SmartImage']|||['EPEAT Gold', 'WEEE', 'TCO Certified Edge', 'ENERGY STAR 5.0', 'RoHS']|Yes|Yes||Yes|349 mm|509 mm||170°||['220 V AC', '110 V AC']||Philips Electronics|220B4LPCB/00||1920 x 1080|||1|2||15.80 W||||['Mac', 'PC']|65%|Brilliance|220B4LPCB|Brilliance LCD Monitor, LED Backlight with PowerSensor|B|LCD Monitor|Yes|Plastic|5 ms||"55.9 cm (22"")"||||Yes|60 Hz|300 mW|||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||3.38 kg|5.20 kg|504 mm|504 mm
|60003490, NECPA242WB, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|NEC Display|350 cd/m²|USB Hub|CE TÜV Ergonomics TÜV GS C-tick FCC Class B PCT/Gost UL/C-UL CSA CCC ISO 9241-307 PCBC/B-mark PSB|Black|1.07 Billion Colors|||1,000:1||85 mm|227.60 mm|Landscape/Portrait|Yes|Yes||||['Picture by Picture', 'Picture in Picture', 'OmniColor', 'Security Lock', 'Cable Management']|||['MPR III', 'ErP', 'RoHS', 'MPR II']|Yes||Yes||362.4 mm|528 mm||178°||['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60003490||1920 x 1200|||1|||56 W|"LCD 24"" Professional Desktop Display Power Cable Sales Office List User Manual Mini DisplayPort cable DVI-D - DVI-D cable"||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC||MultiSync|PA242W-BK|"LCD 24"" Professional Desktop Display"|Professional|LCD Monitor|||6 ms|WUXGA|"61.2 cm (24.1"")"|||||60 Hz||||||||Yes|||178°|Yes|200 x 100|Yes||7.40 kg||556.8 mm|556.80 mm
|857-10595, DELP1913, Dell, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Dell|250 cd/m²|USB Hub||Black|16.7 Million Colours|||1,000:1||58.5 mm|183.30 mm|Landscape/Portrait|Yes|Yes||||['Security Lock', 'Cable Management']|||['EPEAT Gold', 'China Energy Label (CEL)', 'TCO Certified Displays', 'ENERGY STAR 6.0']|Yes|Yes|||290.8 mm|476.40 mm||170°||['110 V AC', '220 V AC']|3 Year|Dell, Inc|857-10595||1440 x 900|Wall Mountable||1|||42 W|Professional P1913 19'' (48cm) LED Monitor VGA,DVI-D,DP (1440x900) Black Power Cable USB Cable VGA Cable Drivers and Documentation Media Quick Setup Guide Safety Information DVI-D Cable|||PC||Professional|P1913|Professional P1913 19'' (48cm) LED Monitor VGA,DVI-D,DP (1440x900) Black||LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|Anti-glare||||60 Hz|300 mW|||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||2.52 kg||443.8 mm|443.80 mm
|VX2858SML, B921660, ViewSonic, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Viewsonic|300 cd/m²|Speaker||||||3,000:1||50.8 mm|241.30 mm|||||||Mobile High-Definition Link (MHL)||||||Yes|Yes|411.5 mm|510.54 mm||176°||||Viewsonic Corporation|VX2858SML||1920 x 1080|||1|2||46 W|||||||VX2858Sml|VX2858Sml Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"71.1 cm (28"")"|Anti-glare|||Yes||||||||5°to20°||||176°|Yes|100 x 100|Yes||3.95 kg|4.58 kg|660.4 mm|660.40 mm
|LMD1530W, 2234504, Sony, LCD Monitor, IML Direct Italy|||||16:10||Sony||Speaker|||16.7 Million Colours||Yes|||||||||||||||||Yes|||||176°||||Sony Corporation|LMD-1530W||1280 x 768|Wall Mountable||1||||||||||LMD-1530W|LMD-1530W Widescreen LCD Monitor|LMD|LCD Monitor||||WXGA|"38.1 cm (15"")"||||Yes||||Yes||||||||176°|||Yes|||||
|UM.EB6EE.005, 8654G74, Acer, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Acer|250 cd/m²|Speaker||Dark Grey|16.7 Million Colours|||100,000,000:1||221.2 mm||||Yes|||||||"['EPEAT Gold', ""TCO '06""]"|Yes|Yes|||505.7 mm|||170°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.EB6EE.005|150 mm|1680 x 1050|||1|2|450 mW|24.20 W|B226WL Widescreen LCD Monitor1 x VGA Cable1 x DVI Cable||Twisted Nematic Film (TN Film)||||B226WL|B226WL Widescreen LCD Monitor|B|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||Yes|60 Hz|17.20 W|||60°|||-5°to35°||||160°|Yes|100 x 100|Yes||3.09 kg|5.75 kg|534.2 mm|
|UM.HB6EE.001, 8654K89, Acer, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Acer|300 cd/m²|||Dark Grey|16.7 Million Colours|||100,000,000:1||62 mm|247 mm||Yes|Yes|||||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes||||381 mm|558 mm||178°||['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.HB6EE.001|150 mm|1920 x 1080|||1||350 mW|28.50 W|B276HL Widescreen LCD Monitor1 x DVI Cable1 x Displayport Cable1 x VGA CablePower Cord||Vertical Alignment (VA)||||B276HL|B276HL Widescreen LCD Monitor|B|LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||Yes|60 Hz|450 mW|||60°|||-5°to35°||||178°|Yes|100 x 100|Yes||4.90 kg|7.67 kg|640 mm|640 mm
|C9V73AA#A2K, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|228.90 mm||Yes|Yes||||||Click to view|['ENERGY STAR', 'TCO Certified Edge']|Yes||||289 mm|434.80 mm|||||3 Year|Hewlett-Packard|C9V73AA#A2K||1600 x 900|||1|||30 W|EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E201|EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|||||||||||||Yes||||||Yes||5.20 kg||472.8 mm|472.80 mm
|XB2783HSU-B1, IIYMON406, Iiyama, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|iiyama|300 cd/m²|['Speaker', 'USB Hub']|CE TÜV-GS VCCI-B PSE CU|Black|16.7 Million Colours|||3,000:1||56.5 mm|230 mm|Landscape/Portrait||Yes||||Security Lock|||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes|Yes|Yes||530.50 mm||178°||['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|XB2783HSU-B1||1920 x 1080|||1|2||34 W|ProLite XB2783HSU Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable USB Cable Stand Quick Start Guide Safety Guide||AMVA+|['Mac', 'PC']||ProLite|XB2783HSU|ProLite XB2783HSU Widescreen LCD Monitor||LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"||||Yes|75 Hz|500 mW|||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||6 kg||622.5 mm|622.50 mm
|B1780SD-W1, 2993860, Iiyama, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|5:4|LED|iiyama|250 cd/m²|Speaker|CE TÜV-Bauart VCCI-B GOST-R|White|16.7 Million Colours|||5,000,000:1|||230 mm|Landscape/Portrait||Yes||||['i-Style-Color', 'Security Lock', 'Display Power Management Signaling (DPMS)']|||['TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes||||529.50 mm||170°||['110 V AC', '220 V AC']||iiyama North America, Inc|B1780SD-W1|130 mm|1280 x 1024|Wall Mountable||1|2||14 W|ProLite B1780SD Widescreen LCD Monitor Power cable VGA cable DVI-D cable Audio cable Stand Cable holder Quick start guide Safety guide||Twisted Nematic Film (TN Film)|['Mac', 'PC']||ProLite|B1780SD|ProLite B1780SD Widescreen LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||Yes|75 Hz|500 mW|||90°|||3°to30°||||160°|Yes|100 x 100|Yes||4.40 kg|||370 mm
|LS27D390HS/XU, Samsung, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Samsung|300 cd/m²|||['Blue', 'High Glossy Black']|16.7 Million Colours|||1,000:1||79.6 mm|209.80 mm||No|No||||['Off Timer', 'Eco Saving', 'Magic Upscale', 'Game Mode']|||ENERGY STAR|Yes||Yes|Yes|376.3 mm|453 mm||178°||['120 V AC', '230 V AC']||Samsung|LS27D390HS/XU||1920 x 1080|||1|||22 W||1|PLS (Plane to Line Switching) Technology|['Mac', 'PC']|||S27D390H|S27D390H Widescreen LCD Monitor|390|LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||No||300 mW|||||||No|||178°|||Yes||4.30 kg|4.70 kg|625.2 mm|625.20 mm
|22MB65PY-B, 2975561, LG Electronics, LCD Monitor, IML Direct Italy|||Yes||16:10|LED|LG|250 cd/m²|||Black||||5,000,000:1|||||Yes|Yes|||||||||||||||||||LG Electronics|22MB65PY-B||1680 x 1050|||1||||||||||22MB65PY-B|22MB65PY-B Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|||||||||Yes||||Yes||Yes||6.40 kg|||
|D7P53A4#ABU, HPXMON481, HP, LCD Monitor, IML Direct Italy||Yes|||16:10|LED|HP|300 cd/m²|USB Hub||Black||||1,000:1||64.5 mm|||Yes|Yes||||['Security Lock', 'Cable Management']|||['EPEAT Gold', 'ENERGY STAR']|Yes|Yes|||365 mm|||178°||['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D7P53A4#ABU||1920 x 1200|||1|||55 W|"Z Display 61 cm (24"") IPS LED Backlit Monitor Z24i AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant software"||In-plane Switching (IPS) Technology|PC||Business|Z24i|"Z Display 61 cm (24"") IPS LED Backlit Monitor Z24i"||LCD Monitor|||8 ms|WUXGA|"61 cm (24"")"|Anti-glare||||60 Hz|500 mW|||||||Yes|USB 2.0||178°|Yes||Yes||6.96 kg||559.4 mm|
|UM.HK3EE.001, 2837667, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Packard Bell|300 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||62 mm||||Yes|||||||['EPEAT Gold', 'MPR II']|Yes|Yes|||381 mm|||178°||['110 V AC', '220 V AC']||Acer, Inc|UM.HK3EE.001|No|1920 x 1080|||1||||Viseo273D Widescreen LCD Monitor1 x VGA CablePower Cord||Vertical Alignment (VA)|||Viseo|Viseo273D|Viseo273D Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||Yes|60 Hz||||No|||-5°to25°||||178°|Yes|100 x 100|Yes||4.77 kg||640 mm|
|D4T56AT#ABU, 9439E9Y, HP, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|HP|180 cd/m²||VCCI C-Tick BSMI GOST cUL SABS SASO CB CCC PSB FCC C-ETL IEC 60950-1 KCC Green Mark ICES S Mark TUV Bauart KC GOST-R 50377-1992 NOM-019-SCFI-1998|Black|262,144 Colors|||500:1||14.5 mm|26 mm||||||||||['CECP', 'WEEE', 'ENERGY STAR', 'China Energy Label (CEL)', 'RoHS', 'Nordic Ecolabel', 'REACH']|Yes||||271.3 mm|278.50 mm||90°|||3 Year|Hewlett-Packard|D4T56AT#ABU||1366 x 768|||1|||5 W|U160 39,6 cm (15.6'') LED Backlit Monitor USB Y Cable Printed Documentation and CD||Twisted Nematic Film (TN Film)|PC||Business|U160|U160 39,6 cm (15.6'') LED Backlit Monitor||LCD Monitor|||12 ms|HD|"39.6 cm (15.6"")"|Anti-glare||||60 Hz|500 mW|||||||Yes|USB 2.0||65°||||||1.54 kg|375 mm|377 mm
|19B4LCS5/00, 2871069, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|5:4|LED|Philips|250 cd/m²|Speaker|BSMI CE Mark cETLus, FCC Class B GOST SEMKO TUV Ergo TUV/GS|['Black', 'Silver']|16.7 Million Colours|||1,000:1||61 mm|227 mm|||Yes||||['SmartImage', 'Eco Mode', 'SmartContrast', 'Sync on Green', 'SmartErgoBase', 'Security Lock', 'TrueVision', 'SmartPower', 'Cable Management']|||['ENERGY STAR 6.0', 'EPEAT Silver', 'RoHS', 'TCO Certified Displays 6.0', 'WEEE', 'EPA']|Yes|Yes||Yes|346 mm|506 mm||170°||['110 V AC', '220 V AC']||Philips Electronics|19B4LCS5/00||1280 x 1024|||1|2|100 mW|14 W||||['Mac', 'PC']||Brilliance|19B4LCS5|Brilliance 19B4LCS5 LCD Monitor||LCD Monitor|Yes|25%|5 ms|SXGA|"48.3 cm (19"")"||||Yes|60 Hz|100 mW||||||||||160°|Yes|100 x 100|Yes||2.71 kg|4.61 kg|404 mm|404 mm
|Q2770PQU, 2902894, AOC, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|AOC|300 cd/m²|['Speaker', 'USB Hub']|CE FCC GOST ISO 9024-307 NRTL TÜV-GS|Textured Black|16.7 Million Colours|||20,000,000:1|||244 mm|Landscape/Portrait|Yes|Yes||||['Mobile High-Definition Link (MHL)', 'Security Lock', 'e-Saver', 'i-Menu', 'Screen+', 'Eco Mode']|||['EPEAT Silver', 'RoHS', 'EuP', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes||556 mm||178°|||3 Year|AOC|Q2770PQU|130 mm|2560 x 1440|Wall Mountable||1|2|450 mW|18 W|"LED Monitor - Q2770PQU Style 68,6cm (27"") Power Cable D-Sub Cable DVI-D Cable Audio Cable"||In-plane Switching (IPS) Technology|PC||Style|Q2770PQU|Style Q2770PQU Widescreen LCD Monitor||LCD Monitor|||5 ms|WQHD|"68.6 cm (27"")"||||Yes|60 Hz|500 mW||||||-5°to23°|Yes|USB 3.0||178°|Yes|100 x 100|Yes||8 kg|||642.20 mm
|247E4LHSB/00, Philips, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Philips|250 cd/m²||BSMICCCCE MarkFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL|Glossy Black|16.7 Million Colours|||1,000:1||39 mm|193 mm|||||||['TrueVision', 'Touch Controls', 'SmartImage', 'Sync on Green', 'Security Lock']|||['TCO Certified Displays 6.0', 'WEEE', 'RoHS', 'EPEAT Silver', 'ENERGY STAR 6.0']|Yes||Yes|Yes|348 mm|434 mm||178°||['220 V AC', '110 V AC']||Philips Electronics|247E4LHSB/00||1920 x 1080|||1||300 mW|17.20 W||||['Mac', 'PC']|||247E4LHSB|LCD Monitor with SmartImage Lite|E|LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"|||||60 Hz|500 mW||||||||||170°|||Yes||3.16 kg|3.44 kg|557 mm|557 mm
|9H.LA2LB.DPE, 3223116, BenQ, LCD Monitor, IML Direct Italy|||||16:9|LED|BenQ|250 cd/m²||||16.7 Million Colours|||20,000,000:1||61 mm|174 mm|||Yes||||||Click to view|['TCO Certified Displays 5.2', 'ENERGY STAR']|Yes||||320 mm|400 mm||||||BenQ Corporation|9H.LA2LB.DPE||1920 x 1080|||1|||21 W|||||||GW2255|GW2255 Widescreen LCD Monitor|GW|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"|||||||||||||||||Yes||Yes||3.70 kg||525 mm|525 mm
|22MP55HQ-P, 2998247, LG Electronics, LCD Monitor, IML Direct Italy||Yes||Yes|16:9||LG|250 cd/m²|||High Glossy Black|16.7 Million Colours|||5,000,000:1||61 mm|187.96 mm||No|No||||['Super Energy Saving', 'Flicker-free', 'Reading Mode']|||||Yes|Yes|Yes|312.4 mm|416.56 mm|83 kHz|178°||||LG Electronics|22MP55HQ-P||1920 x 1080|Panel-mountable||1||300 mW|20 W|||In-plane Switching (IPS) Technology|PC|||22MP55HQ-P|22MP55HQ-P Widescreen LCD Monitor|MP55|LCD Monitor|||5 ms|Full HD|"55.9 cm (22"")"|Anti-glare|||||||||||-3°to20°||||178°|Yes|75 x 75|Yes||4.10 kg||508 mm|508 mm
|LS27D85KTSN/EN, 886P482, Samsung, LCD Monitor, IML Direct Italy|||Yes||16:9|LED|Samsung|350 cd/m²||||1073 Million Colors|||1,000:1||66 mm|279.91 mm||Yes|Yes||||['Eco Light Sensor', 'Magic Upscale', 'Picture by Picture', 'Off Timer', 'MagicBright3', 'Eco Saving', 'Display Power Management Signaling (DPMS)', 'MultiScreen', 'Picture in Picture', 'Split Screen']|||['ENERGY STAR', 'TCO Certified Displays']|Yes|Yes|Yes||376.4 mm|596.39 mm||178°||['230 V AC', '120 V AC']|1 Year|Samsung|LS27D85KTSN/EN|130 mm|2560 x 1440|Wall Mountable||1|||90 W||||['Mac', 'PC']|||S27D850T|"S27D850T - 27"" 850 Series QHD Business LED Monitor"|850|LCD Monitor|||5 ms|WQHD|"68.6 cm (27"")"||||||300 mW|||||||Yes|||178°|Yes|100 x 100|||7.10 kg|9.95 kg|627.4 mm|627.38 mm
|859-BBCT, 0912944, Dell, LCD Monitor, IML Direct Italy|||||16:9|LED|Dell|250 cd/m²|USB Hub||Silver|16.7 Million Colours|||2,000,000:1||46.5 mm|180.09 mm||Yes|Yes|||"Built to comply with
the latest environmental and regulatory standards and protected by a
Premium Panel Guarantee and Advanced Exchange Service."||"Fully adjustable stand and a comprehensive
set of analog and digital connectivity ports and cables."|Click to view|['China Energy Label (CEL)', 'TCO Certified Displays', 'ENERGY STAR 6.0', 'CECP', 'EPEAT Gold']|Yes||||323.1 mm|493.01 mm|||"Full HD 1920 x 1080 resolution
with an ultra-wide 178°/178° viewing angle."|||Dell, Inc|859-BBCT||1920 x 1080|||1|||38 W|23 Monitor - P2314H VGA Cable DisplayPort Cable DVI-D Cable USB Cable||||25%||P2314H|23 Monitor - P2314H||LCD Monitor|||8 ms|Full HD|"58.4 cm (23"")"|||||||||||||Yes||||Yes||Yes||3.34 kg|7.39 kg|545.8 mm|545.85 mm
