<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
Samsung 21.5 S22D390Q LED MONITOR LED||||32,33 cm|38,94 cm|38,6 cm|1||No|||||178°|178°||No|No|||VGA|||||C|No||Nero||16,77M||||No|No||Si|||||No||33W|||0,3W|48 kWh|||||||||||||||"54,61 cm (21.5"")"||||16:9|No|50/60 Hz||||||Si||||-1 - 20°|Si|||No|||||||||51,42 cm|51,42 cm|57,7 cm|||||250 cd/m²|||Si||||||No|||||||3,15 kg|4,7 kg|3,4 kg|||||No|||||||8,17 cm|20,9 cm|13,2 cm|||||1||||1||||1000:1|Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||Si||||||||PLS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
Asus LED 23.6 VS247NR MONITOR LED|Si||||41,06 cm|46,9 cm|||No|||||170°|160°||Kensington||||AC, DVI, VGA||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||22,7W|0,5W|0,5W|||||||||||||||||"['59,9 cm', '59,94 cm (23.6"")']"||0,272 x 0,272 mm||16:9|No|50/60 Hz|24 - 83 kHz|50 - 75 Hz||||Si||Si||-5 - 20°|Si|Si||||||||||||56,18 cm|61,8 cm|Si||||250 cd/m²|||||||||Si||||||||6,6 kg|4,2 kg|||||Si||||||||20 cm|13 cm||||1|||||1|||||50000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
ASUS MONITOR LED 29 ASUS PB298Q IPS||||376 mm|||||Si||60 - 60 °|||178 °|178 °||||||Audio (3.5mm), DisplayPort, DVI, HDMI|||||Non specificato|||Nero||16.77 M||||100 x 100 mm|||||||||||||||||||||||||||||"['73.03 cm', '736.6 mm (29 "")']"||0.2628 x 0.2628 mm||21:9|N||||||Si|Si||||20 - 5 °|Si|Si|||Si||||||||700 mm|||Si||||300 cd/m²||||||||||||2||||8.5 kg||||||Si|Si||||||3 W|218 mm|||||1||1|||||||||80000000:1|150 mm||||2560 x 1080 Pixels|||2560 x 1080|Si|||N|||.|||||||IPS||||5 ms||||||||||||LED|Full HD|||||||
AOC LED 27 e2752Vq MONITOR LED|Si|||452 mm|||||Si|||||170 °|160 °|||N|||AC, Audio (3.5mm), DVI, VGA|||EPEAT Silver|Si||N||Nero||16.77 M||||100 x 100 mm|N|CE, FCC|||TCO 5.0|||||50 W|||0.50 W||||||||||597.89 mm|336.31 mm|||||"['68.6 cm', '685.8 mm (27 "")']"||0.311 x 0.311 mm||16:9|N|50/60 Hz||||||Si||Si|Si|-3 - 19 °||Si|Si||||||Si|||20 - 80 °C|645.7 mm|||Si||||300 cd/m²|||Si|||||1080i, 1080p, 720i, 720p|Si|||||1 pezzi||5.287 kg|7.394 kg|||||Si||||Orizzontale||||210 mm|||||1|1|1||5||1||5 - 40 %||1200:1|20000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||RoHS|N||Si|.|||||||||||2 ms||N|||||||||W-LED|LED|Full HD||||||96 - 264 V|
Samsung 27 S27C750P MONITOR LED||||37,13 cm|51,56 cm|44,5 cm|||No|||||178°|178°||||||HDMI||||Si|Non specificato|||Nero, Argento||16,77M||||No|No||Si|||||||23W|||0,3W||||||||||||||||"68,58 cm (27"")"||||16:9|No|50/60 Hz||||||Si|||||Si||||||||||||62,46 cm|62,46 cm|71 cm|||||300 cd/m²|||Si||||||No|||||||3,9 kg|7,6 kg|5,8 kg|||||No|||||||3,23 cm|20 cm|16,2 cm|||||2||||1||||3000:1|Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||Si||||||||WVA||||5 ms||||||||||||LED|Full HD|||Si|||100 - 240V|
IIyama MONITOR LED 22 IIyama PL E2282HS|Si|||365.5 mm|||||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm), DVI, VGA|||CE, TUV, TCO 6, CU|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N||Si|||||N||21 W|||0.5 W||||||||||476.64 mm|268.11 mm|||||"546.1 mm (21.5 "")"||0.2482 x 0.2482 mm||16:9|N|50/60 Hz||||||Si||Si||-4 - 21 °|Si|Si|Si||||||Si|56 - 75 Hz|||509.5 mm|||Si||||250 cd/m²|||Si||||||Si|||2|||Si|3.5 kg||||||Si|Si||||||2 W|189.5 mm||||||1|1||||1|24 - 80 kHz|||1000:1|5000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|Si|Si|.|||||Si||TN+Film||||2 ms||N||||||||||LED|Full HD||||||100 - 240 V|
Asus LED 24 VW24ATLR||||34,68 cm|37,88 cm|42,3 cm|||Si|||||170°|160°||Kensington||||AC, Audio (3.5mm), DVI, VGA|||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, J-MOSS, RoHS, UL/cUL, VCCI, WEEE, WHQL||Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||23,2W||0,5W|0,5W||||||||||||||||"['61 cm', '60,96 cm (24"")']"||0,2715 x 0,2715 mm||16:9|No|50/60 Hz|30 - 80 kHz|50 - 76 Hz|||Si|Si||Si|||||Si||Si||||||||56,84 cm|56,84 cm|69 cm|||||300 cd/m²||||||||1080p|Si||||||||8,5 kg|5,7 kg|||||Si||||||2W|6,15 cm|22,48 cm|20,3 cm||||1|||||1||||1000:1|100000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||||TN||||5 ms||No||||||||||LCD|Full HD||||||100 - 240V|
LG LED 29 29EB73-P IPS 21:9||||31,75 cm|39,62 cm|41,45 cm|1||Si|||||178°|178°|||N|||AC, Audio (3.5mm), DVI|||ROHS, REACH|Si|Non specificato|N||Nero||16,77M||||100 x 100 mm||||||||N||48W|1,5W|0,5W|||||||||||||||||"73,66 cm (29"")"||||21:9|N||30 - 90 kHz|56 - 75 Hz||||||Si||-5 - 20°|Si||||Si||||||||69,85 cm|69,85 cm|77,72 cm|||||300 cd/m²|||||||Si||Si||||||Si|5,216 kg|9,344 kg|6,85 kg|Si|||Si|Si||||||7W|6,86 cm|22,61 cm|19,56 cm|||1|1|2||1|2|||||1000:1|5000000:1|11 cm||||2560 x 1080 Pixels|||2560 x 1080||||N||||||||||IPS||||14 ms||N||||||||||LED|||||||110 - 240V|
Asus LED 27 VE278N DVI-D Wide MONITOR LED||||385.6 mm|445.6 mm|560 mm|||N|||||170 °|160 °||Kensington||||DVI, VGA|||UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, RoHS, WEEE, 7 WHQL|Si||||Nero||16.77 M||||100 x 100 mm|N|||||||||38 W|0.5 W|0.5 W|||||||||||||||||"['68.6 cm', '685.8 mm (27 "")']"||0.311 x 0.311 mm||16:9|N|50/60 Hz|24 - 83 kHz|50 - 75 Hz||||||Si||20 - -5 °||Si|Si||||||||||643 mm|643 mm|732 mm|Si||||300 cd/m²|||||||||Si|||||||6 kg|9.2 kg|||||Si||||||||59.5 mm|220 mm|176 mm||||1|||||1||||1200:1|50000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
iiyama LED 21.5 ProLite T2234MC-B1 touch IPS MONITOR LED||||||||||||||178 °|178 °|476.6 x 268.1 mm|||||||||||||Nero|||16.7 M|||100 x 100 mm||||||||||40 W|||||||||||||||||517.5 x 219 x 351.7 mm||"546.1 mm (21.5 "")"||0.247 x 0.247 mm||16:9|||31.5 - 82.3 kHz|56 - 75 Hz|Si|||||||5 - 90 °||||||||||56 - 75 Hz||||||||||225 cd/m²|||||||||Si|||||||||7.2 kg||||||||||||||||||1|||||1|31.5 - 82.3 kHz|||1000:1||||||1920 x 1080 Pixels||||||||||.|||||Si||||Capacitivo||8 ms|||||DC|||||||IPS||Da tavolo|||||12 V|
AOC 22 e2260Pq/BK MONITOR LED|Si||||40,83 cm|17,7 cm|||Si|||||170°|160°||Kensington|No|||AC, Audio (3.5mm), DVI, VGA|||CE, CU, Energy Star 6.0, EPEAT Silver, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety|Si|Non specificato|No||Nero||16,77M||||100 x 100 mm|No|||||Argento||No||19W||0,5W|0,5W||||||||||47,664 cm|26,811 cm|||||"['55,9 cm', '55,88 cm (22"")']"||0,282 x 0,282 mm||16:10||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||Si||Si|Si||-5 - 22°|Si|Si|Si||||||Si||||50,78 cm|50,78 cm|65,2 cm|Si||||250 cd/m²|||||||||Si|70000h|||||Si||7,22 kg|5,65 kg||||Si|Si||||||||24,46 cm|41,3 cm|||1|1|||||1||||1000:1|50000000:1|13 cm||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|||||||||||||TN||||2 ms||No|||||||||W-LED|LED|||||||100 - 240V|
AOC LED 27 e2770She MONITOR LED|||||||||Si|||||170°|160°|||||||||CE, FCC, TUV-GS, GOST, RoHS|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|N|||||Argento|||||||||||||||||59,789 cm|33,631 cm|||||"68,58 cm (27"")"||||16:9|N|50/60 Hz|||||N|||Si||-5 - 15°|Si|||||||||55 - 75 Hz||||||||||250 cd/m²|||||||||Si||||||||||||||N||||||2W||||||||2||||1|30 - 83 kHz|||1000:1|20000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||N||||||||||TN+Film||||5 ms||N||||||||||LED|Full HD||||||90 - 240V|
AOC 18.5 e950Swn|Si||||343 mm||||N||||||||Kensington||||AC, VGA|||CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÜV-GS, Ukraine Safety, Win7, cCSAus|Si||||Nero||16.77 M||||75 x 75 mm|N|||||||||12 W||0.2 W|0.3 W|||||||||230.4 mm||409.8 mm|||||"['47 cm', '469.9 mm (18.5 "")']"||0.3 x 0.3 mm||16:9|N|50/60 Hz|||||N|||N||-4 - 17 °|Si|Si|||||||Si|50 - 76 Hz||||444.35 mm||Si||||200 cd/m²|||||||||Si||||16||Si|2.63 kg||3.55 kg||||Si||||Orizzontale|||||175 mm||||||||||1|30 - 60 kHz|||600:1|20000000:1|N||||1366 x 768 Pixels|||1366 х 768|N|||N||Si|.|||||||TN+Film||||5 ms||N|||||||||W-LED|LED|N||||||100 - 240 V|
IIyama 20 PL B2083HSD-B1|Si|||356.5 mm|||||Si||-45 - 45 °|||170 °|160 °||Kensington|N|||Audio (3.5mm), DVI, VGA|Si||TCO, CE, TUV-GS, VCCI-B, Gost-R|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||||N||15 W|||0.5 W|||||||||495 mm|236.3 mm|433.9 mm|||||"['49.53 cm', '495.3 mm (19.5 "")']"||0.271 x 0.27 mm||16:9|N|50/60 Hz|30 - 80 kHz|55 - 75 Hz|||Si|Si||Si||-5 - 22 °|Si||||||||Si|55 - 75 Hz|||469.5 mm|||||CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS||250 cd/m²|||||||||Si|||2|10||Si|4.3 kg||||0 - 90 °|||Si||||||4 W|230 mm||||1||1|||||1|30 - 80 kHz|||1000:1|5000000:1|130 mm||||1600 x 900 Pixels|||1600 x 900|Si|||N||Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate|.|||N||Si||TN+Film||||5 ms||N|||||||||CCFL|LED|HD-ready||||||100 - 240 V|
Acer 23 V236HLbd||||41,91 cm|||||No|||||178°|178°||Kensington|||||||CE, TÜV GS, ISO9241-307, TCO6.0|Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||Oro||||17,2W||0,35W|0,45W||||||||||50,98 cm|28,68 cm|||||"['58,42 cm (23"")', '58 cm']"||0,265 x 0,265 mm||16:9|No|||||||||Si||||||||||||49 - 75 Hz|||50,58 cm|||||||250 cd/m²|||||||||Si|||||||4,5 kg|||||||Si|||||||20,7 cm|||||||||||1|54.2 - 83.8 kHz||||100000000:1|||||1920 x 1080 Pixels|||||||No||||||||||IPS||||6 ms||No||||||PC monitor||||LCD|Full HD||||||100 - 240V|
Asus LED 19 VW199TL 5ms.VGA.DVI MONITOR LED||||||368 mm|||Si|||||170 °|160 °||Kensington|||||||TCO 5.2|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||||||27 W|||0.2 W||||||||||||||444 x 214 x 364.4 mm||"482.6 mm (19 "")"||0.2835 x 0.2835 mm|||N||30 - 80 kHz|55 - 75 Hz||||||Si||-5 - 20 °|||||||||||||||602 mm|||||250 cd/m²|||||||||Si|||2|||||6.4 kg||||||||||||2 W|||210 mm||||1|||||1|||||50000000:1|Si||||1440 x 900 Pixels|||1440 x 900 (WXGA+)||||N|||.|||||||||||5 ms||N||||||||||LED|N|||||||
IIyama 23.6 PL T2452MTS TOUCH MONITOR LED||||39,9 cm|||1||Si|||||170°|160°|293,2 x 521,3 mm|||||AC, Audio (3.5mm), DVI, USB, VGA|||CE, TÜV-Bauart, GOST-R, VCCI-B, PSE|Si||||Nero||16,77M||||100 x 100 mm||||||||||22W|||||||||||||||||||"59,94 cm (23.6"")"||0,272 x 0,272 mm||16:9||50/60 Hz|||Si|||||Si||-9 - 22°||||||||||55 - 75 Hz|||55,6 cm|||||||260 cd/m²|||||||||Si||2|2|9|||6,2 kg||||||Si|||||||4W|24 cm||||||1|1||1|||24 - 80 kHz|||1000:1|||||Si|1920 x 1080 Pixels|||||||||Si||||||Si||||||2 ms||||||LED||||||TN+Film||Multi utente|||||100 - 240V|
Samsung LED 27 S27D850T 16:9 5ms DVI USB DP Pivot MONITOR LED||||37,64 cm|59,63 cm|46,9 cm|['1', 'Si']||No||-30 - 30°|||178°|178°||||||DisplayPort, DVI, HDMI, USB||||Si|Non specificato|||Nero, Verde||1060M||||100 x 100 mm|||Si|||||||85W|33W||0,45W|||90W|||||||||||||"68,58 cm (27"")"||||16:9|No|50/60 Hz|||||Si|Si||||-5 - 20°|||||||||||||62,74 cm|62,74 cm|79,8 cm||||||||Si||||||Si|||||||7,1 kg|13600g|9,95 kg|||||Si|||||||6,61 cm|28 cm|35,4 cm|||1||1|||4|||||1000:1|Contrasto Mega|13 cm||||2560 x 1440 Pixels|||2560 x 1440|Si|||No||Si||||||||PLS||||5 ms||No||||||||||LED|Wide Quad HD||||||100 - 240V|
LG LED 24 24EB23TM-B IPS MONITOR LED|Si|||370.5 mm|395 mm|44 mm|1||Si|||||178 °|178 °||Kensington|N|||AC, Audio (3.5mm), VGA|||RoHS, TCO6.0, DIN-ISO9241-307, TÜV-GS, TÜV-Ergo, UL, CSA, SEMKO, NEMKO, CE|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||Si||Oro|3.5 mm|N||25 W||0.3 W|0.3 W||||||||||516.94 mm|323.09 mm|||||"['609.6 mm (24 "")', '60.96 cm']"||0.269 x 0.269 mm|135 MHz|16:10|N|47-63 Hz|30 - 83 kHz|56 - 75 Hz|||N|||Si||-5 - 23 °|Si||||Si||||Si||||558.4 mm|558.4 mm|633 mm||N|CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR||300 cd/m²|1.8 m||Si||N|||1080p|Si|50000 h||2|15||Si|4.5 kg|6.5 kg|5.1 kg|||||||||||2 W|58 mm|239 mm|191 mm||||1|||||1||||1000:1|5000000:1|N||4:3, 16:10||1920 x 1200 Pixels|||1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA)|N|Si||N|||.|||N||Si|Si|IPS||||5 ms||N|N||||||||W-LED|LED|Full HD|||||||
AOC LED 23.6 e2470Swhe5ms VGA HDMI MONITOR LED||||39,69 cm|||||No|||||170°|160°||Kensington||||HDMI, VGA||||Si|Non specificato|||Nero|Nero|16,77M||||100 x 100 mm|No|||||Oro||||26W||0,5W|0,5W||||||Si||||||||||"['59,94 cm (23.6"")', '59,9 cm']"||0,276 x 0,276 mm||16:9|No|50/60 Hz||||||||No|||||||||||||||55,14 cm|||||||250 cd/m²|||||||||Si||||||Si|3,58 kg|||||||No|||||||7,82 cm|||||||2||||1||||1000:1|20000000:1|No||||1920 x 1080 Pixels|||||||No||||||||||LCD|||No|5 ms||No||||||||||LED|Full HD||||||110 - 240V|
Samsung 19 S19C450BR LED MONITOR LED||||36,9 cm|46,9 cm||||No||-45 - 45°|||170°|160°||||||||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||Oro||||19W|||0,1W|30 kWh|||||||||||||||"48,26 cm (19"")"||||5:4|No||||||Si|Si||||-3 - 25°|Si|||||||||||10 - 40 °C|40,7 cm|40,7 cm||||||250 cd/m²|||Si||||||Si|||||||2,95g||4,45g||-1 - 95°||||||||||21 cm|21 cm|||||1|||||1||10 - 80%|||1000:1|||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si|||No||||||||||TN+Film||||5 ms||No||||||||||LED|No|||||||
AOC 22 e2250Sd|Si||||40,85 cm|42 cm|||No|||||170°|160°||Kensington||||AC, DVI, VGA|||CE, Energy Star 6.0, EPEAT Silver, GOST, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety|Si|Non specificato|||Nero||16,77M||||75 x 75 mm|Si|||||Argento||||18W||0,5W|0,5W||||||||||47,664 cm|26,811 cm|||||"['55,88 cm (22"")', '55,9 cm']"||0,282 x 0,282 mm||16:10||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||No||Si|Si||-4 - 17°|Si|Si|Si||||||Si||||50,87 cm|50,87 cm|56,2 cm|Si||||250 cd/m²|||||||||Si||||||Si||4,62 kg|3,76 kg||||Si|Si||||||||19 cm|10,9 cm||||11|||||1||||1000:1|20000000:1|No||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|No|||||||||||||TN||||5 ms||No|||||||||W-LED|LED|||||||100 - 240V|
HannsG LED 19.5 HL205DPB||||34,07 cm||38 cm|||Si|||||170°|160°||||||AC, Audio (3.5mm), VGA|Si||TCO6.0, GS, CB|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|N|||||||||||0,5W|0,5W||||||||||||||||"['49,53 cm (19.5"")', '49,53 cm']"||0,27 x 0,27 mm||16:9|N|50/60 Hz|30 - 82 kHz|55 - 76 Hz||||Si||Si||5 - 20°|Si|Si|||Si|||||||0 - 40 °C|45,73 cm||50,6 cm|||DEU, DUT, ENG, ESP, ITA, JPN, KOR, POR, RUS, SCR||250 cd/m²|||Si||||||Si|||2|12||Si|2,7 kg|||||||Si||||||2W|16,93 cm||11,2 cm||||1|||||1||20 - 85%||1000:1|80000000:1|||||1600 x 900 Pixels|||1600 x 900||||N||||||||||||||5 ms|||||||||||W-LED|LED|||||||100 - 240V|
Asus LED 21.5 VE228TR DVI Wide MONITOR LED||||305.51 mm|385.96 mm|468 mm|||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm), VGA|||CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS,WEEE|Si||||Nero||16.77 M||||100 x 100 mm|N|||||||||35 W||0.5 W|0.5 W||||||||||||||||"['54.6 cm', '546.1 mm (21.5 "")']"||0.248 x 0.248 mm||16:9|N|50/60 Hz|30 - 83 kHz|50 - 76 Hz||||Si||||-5 - 20 °||||||||||50 - 76 Hz|||512.84 mm|512.84 mm|576 mm|||||250 cd/m²||||||||1080p|Si|||2||||4.1 kg|||||||||||||2 W|56.9 mm|201.82 mm|148 mm||||1|||||1|30 - 83 kHz|||1000:1|80000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
LG MONITOR LED 27 LG 27EA53VQ-P IPS|Si||||459 mm||1||N|||||178 °|178 °||N|N|||AC, VGA|||RoHS||Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||Si|||3.5 mm|N||32 W||0.3 W|0.3 W||||||||||552.46 mm|293.88 mm|||||"['685.8 mm (27 "")', '68.58 cm']"||0.311 x 0.311 mm||16:9|N|47-63 Hz|30 - 83 kHz|56 - 75 Hz|||N|||Si||-5 - 20 °|Si||||||||Si|||||641 mm|||N|CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR||250 cd/m²|||Si||N|||1080p|Si||||15||Si|||4.2 kg||||Si|Si||||||||202 mm|||||1|1||||1||||1000:1|5000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||N|||.|||||Si|Si|IPS||||5 ms||N|N|||||||||LED|Full HD||||||100 - 240 V|
IIyama LED 23 PL XU2390HS-B1 IPS MONITOR LED|Si|||38,75 cm|||||Si|||||178°|178°||Kensington||||AC, Audio (3.5mm), DVI|||TCO, CE, TÜV-Bauart, VCCI-B, EAC|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|N|||||||||24W|||0,5W|||||||||58,42 cm|50,92 cm|28,64 cm|||||"['58,42 cm', '58,42 cm (23"")']"||0,265 x 0,265 mm||16:9|N|50/60 Hz|24 - 80 kHz|56 - 75 Hz|||N|Si||Si||-4 - 20°|Si||||||||Si||||53,25 cm|||||CHI (SIMPL), ENG, ESP, FRE, ITA, JPN, POR, RUS||250 cd/m²||||||||1080p|Si|||2|9||Si|4 kg|||||||Si||||||4W|18 cm||||||1|1||||1||||1000:1|5000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||N||Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64||||||Si||IPS||||5 ms||N||||||||||LED|Full HD||||||100 - 240V|
Asus LED 22 VW22AT MONITOR LED|Si|||340.79 mm|406.23 mm|452 mm|||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm), DVI, VGA|||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||||||33 W|0.5 W|0.3 W|||||Digitale||||||||||||"['558.8 mm (22 "")', '55.9 cm']"||0.282 x 0.282 mm||16:10|N|50/60 Hz|24 - 83 kHz|50 - 75 Hz||Si||Si||Si||-5 - 20 °||Si|||Si||||Si|56 - 76 Hz|||513.95 mm|513.95 mm|588 mm|Si||||250 cd/m²|||||||||Si|||2||1 pezzi|Si|3.9 kg|5.4 kg|||||||||Orizzontale|||2 W|63.34 mm|210.32 mm|146 mm||||1|||||1|31 - 83 kHz||||50000000:1|N||||1680 x 1050 Pixels|1680 x 1050 Pixels||1680 x 1050 (WSXGA+)||||N||Si|.|||||||||||5 ms||N||||||||||LED|N||||||100 - 240 V|
IIyama 27 PL XB2779QS-W1 QUAD-HD||||43,55 cm|||['Si', '1']||Si|||||178°|178°||Kensington||||Audio (3.5mm), DisplayPort, DVI|||CE, TUV, GOST-R, VCCI-B, PSE|Si|Non specificato|||Bianco||16,77M||||100 x 100 mm||||||||||55W|||0,5W||||||||||||||||"['68,58 cm (27"")', '68,5 cm']"||0,233 x 0,233 mm||16:9|No|50/60 Hz||||||Si||Si||0 - 17°|Si|||||||||55 - 75 Hz|||65 cm|||||CHI (SIMPL), CHI (TR), DEU, DUT, ENG, FRE, JPN, POL, RUS||350 cd/m²|||Si||||||Si|||2|9||Si|8,2 kg||||||Si|Si||||||2W|23 cm|||||1|1|1||||1|30 - 80 kHz|||1000:1|5000000:1|13 cm||||2560 x 1440 Pixels|||2560 x 1440|Si|||||||||||Si||AH-IPS||||5 ms||||||||||||LED|||||||100 - 240V|
