3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
|DELL E Series E1913 - MBE|||||16:10||||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']|['DVI, VGA', 'DVI, VGA']||['No', 'No']||||['Black', 'Black']|No|No||['No', 'No']||||||||1000:1|||5.2 cm||16.35 cm|||||LED|250 cd/mÂ²|"48.26 cm (19"")"|48.3 cm|16.77M|1440 x 900 pixels|||TN+Film|||||1||||Yes|Gold|No||||||||HD-Ready|Yes|['No', 'No']||||||29.08 cm|No|||37.28 cm||1.5A|50/60 Hz|100 - 240V||||||||||||||||||||||||['1 pc(s)', '1 pc(s)']|||||||10 - 80%|10 - 40 Â°C||['3.9 kg', '3.9 kg']||||||||||0.284 x 0.284 mm||||||||0.5W|18W|||||||['Yes', 'Yes']|||5 ms||||||||||||||5 - 90%|-20 - 60 Â°C|1440 x 900 (WXGA+)|||||||No|||||||||['No', 'No']|||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|2.54 kg||44.38 cm|44.38 cm|No|
|Newstar FPMA-D1330DSILVER flat panel desk mount - MBE||||||||||||||||||||||||||['Silver', 'Silver']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"60.96 cm (24"")"|18 kg|||||"25.4 cm (10"")"||||||2||||||||||||||||||||||||||||||||||||||||||||||180Â°||||||||||||||180Â°|||||||0 - 15Â°||||||||||||75 x 75, 100 x 100 mm||||||||||||||||||
No|AOC E960PRDA LED display - MBE||Yes|||5:4||||||||No|['No', 'No', 'No']|['No', 'No', 'No']|['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||['No', 'No']|CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, TCO 5.0, TÃœV-GS|||['Black', 'Black']||||['No', 'No']|||||||20000000:1|1000:1|||21 cm|||30 - 80 kHz|50 - 76 Hz|||LED|250 cd/mÂ²|"48.26 cm (19"")"|48.3 cm|16.77M|1280 x 1024 pixels||||||||1|||Unspecified|Yes|Silver|No|||||||||No|||||||43.22 cm|['Yes', '13 cm']||||||50/60 Hz|90 - 240V|||||||||||||No|||||||||['1', '1', '1']|||||['Yes', 'Yes']||['Yes', 'Yes']|||||||||||||Yes||0.294 x 0.294 mm||['Yes', 'Yes']||||0.5W||0.5W|22W||||||||||5 ms||||||||||||||||1280 x 1024 (SXGA)|||||Yes||No|Yes|-5 - 15Â°||||['No', 'No']||||||||||1|['140 MHz', '140 MHz']||37.6 cm|30.1 cm||170Â°|160Â°|||Yes|4.77 kg|6.6 kg|40.92 cm||No|['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64']
No|Acer Essential V226HQL - MBE|||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||||||||['Black', 'Black']|||||||||||100000000:1||||20.68 cm|||||||LED|200 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|||||||Yes||||Unspecified|Yes||||||||||Full HD|Yes|||||||39.04 cm||||||||110 - 220V||||||||||||||||||||||||||||||||||||||||||||||||||||18.10W|||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']||||||||100 x 100 mm||1||||||90Â°|65Â°|||Yes|3.24 kg|3.66 kg|50.8 cm|||
No|NEC MultiSync EA273WMi - MBE||Yes|||16:9||||W-LED|||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']|||CE, ErP, TCO 6.0, TUV, TUV, GS, FCC B, PCT/Gost, UL/C-UL, CSA, ISO 9241-307, MPR II/III, RoHS|||['Black', 'Black']||||||||||||1000:1|||||23 cm|31.5 - 83 kHz|56 - 75 Hz|||LED|250 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|Yes||IPS|||1|Yes|1|||Unspecified|Yes|Gold||||['Black', 'Black']|||||Full HD|Yes||1|||Yes|||['13 cm', 'Yes']|||41.8 cm||||100 - 220V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|||||['Yes', 'Yes']||||20 - 80%|5 - 35 Â°C||||||||||Yes|0 - 90Â°|0.31 x 0.31 mm||['Yes', 'Yes']|||31W||||23W||||||||||6 ms|['2W', '2W', '2W']|||||||||||||||832 x 624, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|||||Yes||No|Yes|5 - 30Â°||||['No', 'No']|5|||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes||8.7 kg|63.93 cm|63.93 cm||
No|Iiyama ProLite X2783HSU - MBE||Yes|||16:9|Yes||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, USB, VGA', 'AC, Audio (3.5mm), DVI, USB, VGA']|||TCO, CE, TÃœV-GS, VCCI-B, PSE, CU|||['Black', 'Black']|||||||||||5000000:1|3000:1|||21.8 cm|||30 - 80 kHz|55 - 75 Hz|||LED|300 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|||A-MVA||||Yes|1|||Unspecified|Yes||||||||||Full HD|Yes||1||3.5 mm||1|44.6 cm|No||||||50/60 Hz|100 - 240V|||||['Yes', 'Yes']|||||||||||||||||['2', '2', '2']|['10', '10']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS', 'CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS']||||||||||||||||0.311 x 0.311 mm||['Yes', 'Yes']||||||0.5W|34W|||||||['Yes', 'Yes']|||4 ms|['4W', '4W', '4W']||||||||||Yes|||||1920 x 1080 (HD 1080)|||||||No||-5 - 22Â°||||['No', 'No']|2|||||||100 x 100 mm||1|||59.76 cm|33.62 cm||178Â°|178Â°|||Yes|4.4 kg||62.25 cm|||['Yes', 'Yes']
|HP L6015tm - MBE|||||4:3|||||||||||||||||||||['Black', 'Black']||||||||||||700:1|||31.3 cm|||||366 x 283 x 414 mm||TN+Film|350 cd/mÂ²|"38.1 cm (15"")"|38 cm||1024 x 768 pixels||||LCD|304 x 228 mm|1||1||||['Yes', 'Yes']||||||||||||||||||5.8 cm|||||24 - 83 kHz||50/60 Hz|90 - 265V||||||||||||||||||||||||||||||||||||||||||||0.297 x 0.297 mm||||||||1W|20W||||['AC', 'AC']||||||25 ms||||||||||||||||||||||||||||||||||||50 - 76 Hz|100 x 100 mm||1||||||160Â°|140Â°|||Yes|4 kg|6.8 kg|36.6 cm|||
No|ASUS VX229H  21.5 INCH  1920 x 1080  Speakers  VGA  2 x HDMI - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), VGA', 'AC, Audio (3.5mm), VGA']|||BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, RoHS, UL/cUL, VCCI, WEEE, WHQL|||['Black', 'Black']|||||||||||8000000:1||||||21.01 cm|30 - 80 kHz|56 - 76 Hz|||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|Yes||IPS||||No|||||Yes||||||||||Full HD|Yes||2||3.5 mm||1||Yes|||37.13 cm|30 - 80 kHz||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']||||||||||||['4.9 kg', '4.9 kg']|['12.3 cm', '12.3 cm']|['47.5 cm', '47.5 cm']|['56.2 cm', '56.2 cm']|||||||0.248 x 0.248 mm||||||0.5W||0.5W|26W|||||||['Yes', 'Yes']|||5 ms|['1W', '1W', '1W']|||||||||||||||1920 x 1080 (HD 1080)|||||||No|Yes|20 - -5Â°||||['No', 'No']|||||||56 - 76 Hz|||1||||||178Â°|178Â°|||||3.05 kg||49.98 cm||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
|Newstar FPMA-D700DV flat panel desk mount - MBE||||||||||||||||||||||||||['Black', 'Black']|||||||||||||||13 cm||||||||||||||||||||||||||||||||||||||||||70 cm|Yes||||||||||||||||"60.96 cm (24"")"|12 kg|||||"25.4 cm (10"")"||||||2||||||||||||||||||||||||||||||||||||||||||||||360Â°||||||||||||||180Â°|||||||0 - 180Â°||||||||||||75 x 75, 100 x 100 mm||||||||||||||||||
Yes|AOC I2367FM 23 WIDE IPS MONITOR - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['Audio (3.5mm), HDMI', 'Audio (3.5mm), HDMI']||||||['Silver', 'Silver']|||||||||||50000000:1|1000:1|||8.08 cm||12.06 cm|||||LED|250 cd/mÂ²|"58.42 cm (23"")"||16.77M|1920 x 1080 pixels|||IPS||||No|||||Yes||||||||||Full HD|Yes||2|||||31.66 cm|No|||39.44 cm||||||||||||||||||||||||||||||||||||||||||||||||0.265 x 0.265 mm||||||||0.5W|25W||||||||||6 ms|||||||||||||||||||||||||||||['No', 'No']||||||||No||1||||||178Â°|178Â°|||No|3.75 kg||53.14 cm|53.14 cm||
|Elo TouchSystems 1519L - MBE|||||16:9|1||||||||||['Yes', 'Yes']|||||['No', 'No']||['UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE', 'UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE']|||['Grey', 'Grey']||||||||||||500:1||||||||383 x 213 x 277 mm|||200 cd/mÂ²|"39.62 cm (15.6"")"|||1366 x 768 pixels||||LCD|344 x 194 mm|||||||||||||No||||||||Yes|||2||||||30 - 83 kHz||50/60 Hz|100 - 240V|||||||['1680 x 1050 pixels', '1680 x 1050 pixels']||||['50000h', '50000h']|||||||['1366 x 768', '1366 x 768']||16.7M||['2', '2']|||||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C|['475 x 350 x 225 mm', '475 x 350 x 225 mm']|['7.4 kg', '7.4 kg']|||||||||||||||||||15.6W||||||||||8 ms|||||1|||||||||10 - 90%|-20 - 60 Â°C|||||||||||||||1||||||50 - 75 Hz|75 x 75 mm||1||||||90Â°|65Â°|||Yes|3.43 kg|5.14 kg||||
Yes|Benq XL2420Z - MBE|['Yes', 'Yes']|Yes|||16:9|||||||||['No', 'No', 'No']|||||['Kensington', 'Kensington']|['AC, DVI, USB, VGA', 'AC, DVI, USB, VGA']||||||['Black', 'Black']|||||||||||12000000:1|1000:1|||14.9 cm|||||||LED|350 cd/mÂ²|"60.96 cm (24"")"|||1920 x 1080 pixels|||LCD|||1|Yes|1||||||||||||||Full HD|Yes||2||3.5 mm||1|51.6 cm|No|||||||90 - 264V|||||||||||||||||||||||['17', '17']||||['Yes', 'Yes']||['Yes', 'Yes']|||||['7.4 kg', '7.4 kg']||||||||Yes|0 - 90Â°|0.276 x 0.276 mm||['Yes', 'Yes']||||45W|||24W|||||||['Yes', 'Yes']|||1 ms||||||||||||||||1920 x 1080 (HD 1080)|||-35 - 35Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||29.8 cm||53.1 cm||170Â°|160Â°|||Yes|6.1 kg||57.1 cm|||
No|NEC MultiSync EA294WMi - MBE||Yes|||21:9||||W-LED||1.9 cm||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']|||TCO 6.0|||['Black', 'Black']||||||||||||1000:1|||6.91 cm||23 cm|||||LED|300 cd/mÂ²|"73.66 cm (29"")"|73.7 cm|16.77M|2560 x 1080 pixels|Yes||IPS|||1|Yes|2|||Unspecified|Yes|Gold|No||||||||No|Yes||1|||||32.18 cm|['13 cm', 'Yes']|||41.04 cm|31.5 - 83 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']|['Yes', 'Yes']||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|||||['Yes', 'Yes']||['Yes', 'Yes']||20 - 80%|5 - 35 Â°C||||||||||Yes|0 - 90Â°|||['Yes', 'Yes']|||50W||28W|0.5W|38W||['Yes', 'Yes']|||||['Yes', 'Yes']|||6 ms|['2W', '2W', '2W']|||||RoHS|||||||['Yes', 'Yes']|||1280 x 960, 2560 x 1080, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1360 x 768 (WXGA), 1400 x 1050 (SXGA+), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1920 x 1200 (WUXGA), 640 x 480 (VGA), 800 x 600 (SVGA)|||-170 - 170Â°||Yes||No|Yes|-5 - 30Â°||||['No', 'No']|5||||||56 - 75 Hz|100 x 100 mm||2||||||178Â°|178Â°|||Yes|7.5 kg||70.58 cm|70.58 cm|No|['Yes', 'Yes']
No|NEC EA244WMi - MBE||Yes|||16:10||||W-LED|1.68 cm|1.79 cm|1.68 cm|No|['No', 'No', 'No']||['No', 'No', 'No']|||['No', 'No']||||TCO 5.2|||['White', 'White']||||||||||||1000:1|||||23 cm|||||LED|350 cd/mÂ²|"61.21 cm (24.1"")"|61.13 cm|16.77M|1920 x 1200 pixels|||IPS|||1||1|||Unspecified|No|Gold|No||||||||No|||1||||||['Yes', '13 cm']|||40.89 cm||||||||||||||||||||||||||||['1 pc(s)', '1 pc(s)']|||||['Yes', 'Yes']||||||||||||['No', 'No']|Yes|||['Horizontal', 'Horizontal']|['Yes', 'Yes']|||29W||0.43W||16W||||||||||14 ms||||||||['Yes', 'Yes']||||||||1920 x 1200 (WUXGA)|||||Yes||No|Yes|||||['Yes', 'Yes']|1|||||||No||1||||||178Â°|178Â°|||No||7.6 kg||55.62 cm|No|
|Iiyama T2236MSC-1 - MBE|||||16:9|||||||||||['Yes', 'Yes']||||AC, Audio (3.5mm), DVI, USB, VGA|||['CE, TÃœV-Bauart, CU', 'CE, TÃœV-Bauart, CU']|||['Black', 'Black']||||||||||||3000:1||||||30 - 80 kHz|56 - 75 Hz|522.5 x 238.5 x 385 mm|||225 cd/mÂ²|"54.61 cm (21.5"")"|||1920 x 1080 pixels||||LED|476.6 x 268.1 mm|||1||||||||||Yes|||||||1||||1||275 mm||||||50/60 Hz|100 - 240V||||||||||||||||||||16.7M||['2', '2']|||||['Yes', 'Yes']|||||||||||||||||0.248 x 0.248 mm||['Yes', 'Yes']||||||0.5W|23W||||||||||12 ms|['4W', '4W']||||||||||Yes|||||['1920 x 1080 (HD 1080)', '1920 x 1080 (HD 1080)']|['1080p', '1080p']|||||||||||Capacitive|||5||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes||6.6 kg||||['Windows 8', 'Windows 8']
|Acer FT240HQL - MBE|||||16:9|||||||||||['Yes', 'Yes']||||AC, USB, VGA|||['MPR II', 'MPR II']|||['Black', 'Black']|||||||||||100000000:1|||||||||||TN+Film|250 cd/mÂ²|"59.94 cm (23.6"")"|||1920 x 1080 pixels||||LCD||||||||||||||Yes|||||||1|||||||||||||110 - 220V||||||||||||||||||||16.7M||||||||||||||||||||||['No', 'No']|||||||||||||||||||||5 ms|||||||||||||||||||||||||['10 - 90Â°', '10 - 90Â°']|||||1|||||||||1||||||170Â°|160Â°|||||||||
|Elo TouchSystems 1541L - MBE|||||16:9||||||||||||||||['No', 'No']||['C-Tick, cUL, IC, CCC, CE, VCCI, KCC, CoC, BSMI, UL, FCC, CB\nRoHS, China RoHS, WEEE, IMERC', 'C-Tick, cUL, IC, CCC, CE, VCCI, KCC, CoC, BSMI, UL, FCC, CB\nRoHS, China RoHS, WEEE, IMERC']|||['Black', 'Black']||||||||||||500:1|||||||||['282 x 445 x 145 mm', '282 x 445 x 145 mm']||225 cd/mÂ²|"39.62 cm (15.6"")"|||1366 x 768 pixels||||LCD||||1||||||||||No||||||||Yes|||||||||31.5 - 80 kHz|||12V|||||||||||['50000h', '50000h']|||||||['1366 x 768', '1366 x 768']||16.7M|||||||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C||['4.3 kg', '4.3 kg']||||||||||||||||||2W|15W|||['100 - 240 VAC, 50/60 Hz', '100 - 240 VAC, 50/60 Hz']|['DC', 'DC']||||||16 ms||||||||||||||10 - 90%|-20 - 60 Â°C|||||||||||||Surface acoustic wave||1||||||50 - 75 Hz|75 x 75 mm||1||||||170Â°|130Â°|||Yes|2.94 kg|||||
No|Acer Professional B296CL - MBE||Yes|||21:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||||['DisplayPort, DVI, USB', 'DisplayPort, DVI, USB']||||||['Black', 'Black']|||||||||||100000000:1|||||||||||LCD|300 cd/mÂ²|"73.66 cm (29"")"|73.7 cm|16.77M|2560 x 1080 pixels|||IPS||||Yes||||Unspecified|||||||||||Full HD|||1||||||Yes|||||||110 - 220V|||||||||||||||||||||||||||||||||||||||||||||||||||||||['Yes', 'Yes']||||||||8 ms|||||||||||||['Yes', 'Yes']|||2560 x 1080|||||||No|Yes|||||['No', 'No']||||||||100 x 100 mm||||||||178Â°|178Â°|||Yes||||||
No|Acer Essential V276HLbd - MBE||Yes|||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||||||||['Black', 'Black']|||||||||||100000000:1|||||||||||LED|300 cd/mÂ²|"68.58 cm (27"")"|||1920 x 1080 pixels|||||||Yes||||Unspecified|Yes||||||||||Full HD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||['Yes', 'Yes']||||||||6 ms|||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']||||||||||1||||||||||||||||
No|Acer Essential 246HLbmd - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||||['AC, VGA', 'AC, VGA']|||TCO|||['Black', 'Black']|||||||||||100000000:1||||20.68 cm|||||||LED|250 cd/mÂ²|"60.96 cm (24"")"|61 cm|16.77M|1920 x 1080 pixels|||||||Yes||||Unspecified|Yes|Gold|||||||||Full HD|Yes|||||||42.22 cm||||||||110 - 220V||||||||||||||||||||||['2', '2', '2']||||||||||||||||||||||||||||3.5W||4.5W|20.9W||['Yes', 'Yes']||||||||5 ms|['4W', '4W', '4W']||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|3.5 kg|3.9 kg|56.7 cm|||
No|NEC MultiSync EA193Mi - MBE|||||5:4||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']|||CE, ErP, FCC, MPR II/ MPR III, RoHS, TÃœV, UL/C-UL, CSA, ISO, PCT/Gost, TCO 6.0, TÃœV GS|||['Black', 'Black']||||||||||||1000:1|||6.5 cm||21.39 cm|31.5 - 81.1 kHz|56 - 75 Hz|||LCD|250 cd/mÂ²|"48.26 cm (19"")"|48.2 cm|16.77M|1280 x 960 pixels|Yes||IPS|||1|Yes|1||||Yes|Gold||||||||||Yes|||||||33.8 cm|['Yes', '11 cm']|||38.64 cm||||||||||['Yes', 'Yes']|||||||||||||||||||||['Yes', 'Yes']||||20 - 80%|5 - 35 Â°C||||||||||Yes|0 - 90Â°|0.293 x 0.293 mm||['Yes', 'Yes']|||18W||0.35W||14W||||||||||6 ms||||||||||||||||720 x 400, 832 x 624, 1152 x 870, 1280 x 768, 1280 x 960, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 640 x 480 (VGA), 800 x 600 (SVGA)|||-45 - 45Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes|3.9 kg|5.9 kg|40.8 cm|40.8 cm||
Yes|Acer 3D GN246HL - MBE|||||16:9|||||||||['No', 'No', 'No']||||||||||||['Black', 'Black']|||||||||||100000000:1||||17.89 cm||2.37 cm|||||LED|350 cd/mÂ²|"60.96 cm (24"")"|60.9 cm|16.77M|1920 x 1080 pixels|||TN+Film||||Yes||||Unspecified|Yes||||||||||Full HD|Yes||1|||||34.27 cm|No|||40.09 cm||||100 - 240V|||||||||||['30000h', '30000h']||||||||||||||||||||||||['15.4 cm', '15.4 cm']|['41.7 cm', '41.7 cm']|['61.7 cm', '61.7 cm']|||||No||0.276 x 0.276 mm||||||0.45W||0.49W|23W||||||||||1 ms||||||||||||||||1920 x 1080 (HD 1080)|||||No||No|Yes|-5 - 15Â°||||['No', 'No']||||||||100 x 100 mm||1|||53.1 cm|29.9 cm||170Â°|160Â°|||Yes|3.52 kg||56.5 cm|56.5 cm||
Yes|NEC MultiSync PA302W-BK - MBE|||||16:10||||RGB-LED|||||||||||['AC, DisplayPort, DVI, Mini DisplayPort, USB', 'AC, DisplayPort, DVI, Mini DisplayPort, USB']||||||['Black', 'Black']||||||||||||1000:1|||44.68 cm||61.64 cm|31.5 - 98.7 kHz||||LED|340 cd/mÂ²|"76.2 cm (30"")"|76.20 cm|1070M|2560 x 1600 pixels|Yes||LCD|||1|Yes|1||||||||||||||Full HD|Yes||1|||||8.2 cm|Yes|||30.16 cm|31.5 - 98.7 kHz|||||||||||||||||1|||||0 - 12192m||||||||['Yes', 'Yes']|||0 - 5000m|20 - 80%|5 - 35 Â°C||||||||||||0.25 x 0.25 mm|||||||1.4W||87W||||||||||6 ms||||||||||||||10 - 85%|-10 - 60 Â°C|2560 x 1600 (WQXGA)|1080p||||Yes|||||||||5||||2.0||50 - 85 Hz|100 x 100, 200 x 100 mm||||||||178Â°|178Â°|||Yes|10700g|17g|68.8 cm|68.83 cm||
No|Philips LCD monitor with SmartControl Lite 193V5LSB2 - MBE|||||16:9||||W-LED||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||BSMI, CE Mark, cETLus, FCC B, GOST, PSB, SASO, SEMKO, TUV/ISO9241-307|||['Black', 'Black']|||||||||||10000000:1|700:1|||4.8 cm||17 cm|||||LED|200 cd/mÂ²|"46.99 cm (18.5"")"|47 cm|16.77M|1366 x 768 pixels|Yes||||||No||||Unspecified|Yes|Silver|No||||||||HD-ready|No|||||||27.3 cm||||33.8 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']|['Yes', 'Yes']||['Yes', 'Yes']|||||['30000h', '30000h']||||||||0 - 12192m||||||||['Yes', 'Yes']|||0 - 3658m|20 - 80%|0 - 40 Â°C||['3 kg', '3 kg']|['10.3 cm', '10.3 cm']|['35 cm', '35 cm']|['48.1 cm', '48.1 cm']|||||||0.30 x 0.30 mm||['Yes', 'Yes']||||0.5W||0.5W|8.76W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms||||||RoHS, WEEE|||||Yes||['Yes', 'Yes']||-20 - 60 Â°C|1366 Ñ… 768||||||Yes|No|Yes|-3 - 10Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1|||40.98 cm|23.04 cm||90Â°|65Â°|||Yes|1.94 kg|2.15 kg|43.7 cm|43.7 cm|No|['Yes', 'Yes']
