3d capable|<page title>|aspect ratio|brightness|builtin devices|bundled with|character resolution|colour|colour support|compliant standards|contrast ratio|designed for|device type|diagonal size|diagonal size cm|digital tv tuner|dimensions wxdxh|display format|display position adjustments|energy class|energy consumption per year|environmental standards|features|hdcp compatible|hdmi ports qty|height rack units|image aspect ratio|input connectors|kvm switch|lcd backlight technology|localisation|manufacturer selling program|manufacturer warranty|microsoft certification|native resolution|panel type|pc interface|pixel pitch|power|power consumption operational|product description|product type|remote control|resolution|response time|screen coating|speaker system|speakers|targeting|technology|tv tuner|usb port|video interface|video wall components qty|weight
|OHC24 Shop : Monitor > Monitor search help > APC - IP KVM AP5406|||Keyboard, touchpad|8 CAT5/IP KVM PS/2 Server Modules||Black|16.2 million colours||||"KVM console - 17"""|||||||||||||1U||RGB|16 ports||||2 years warranty||1280 x 1024 at 75 Hz|||0.297 mm|||"APC IP KVM - KVM console - 17"" - with 8 CAT5/IP KVM PS/2 Server Modules"||||||||||||||18.9 kg
Yes|OHC24 Shop : Monitor > Monitor search help > Zeiss Cinemizer OLED Head Tracker >  EingabegerÃ¤t durch 2033-902|||||||||||Head mounted display|||||||||||||||Composite video|||||||870 x 500||||||Carl ZEISS cinemizer 3D head mounted display|||||||Integrated|||||||
|OHC24 Shop : Monitor > Monitor search help > Asus MX279H 27W IPS LED 1920X1080 250CD/ 5MS 90LMGD051R010O1C|Widescreen - 16:9|250 cd/m2||||Black, silver|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, WEEE, PSE Mark, GOST-R, J-MOSS|80000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||62.26 cm x 22.52 cm x 44.13 cm - with stand||Tilt|||ENERGY STAR Qualified||||||2xHDMI, VGA|||||||FullHD 1920 x 1080|AH-IPS||0.311 mm|||"ASUS MX279H - LED monitor - 27"""||||5 ms (grey-to-grey)|||Integrated|||||||5.2 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 24"" S.master S24C770TS LS24C770TS/EN"|Widescreen - 16:9|250 cd/m2||||Metallic silver, mirror black|16.7 million colours||3000:1||"LED-backlit LCD monitor - 24"""||||56.2 cm x 19.2 cm x 37.4 cm - with stand||Tilt|Class B||ENERGY STAR Qualified||||||2xHDMI|||||||1920 x 1080||||||"Samsung S24C770T - LED monitor - 24"""||||5 ms (grey-to-grey)|||Integrated|||||||5.5 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1247L IntelliTouch E655204|4:3|405 cd/m2|Touch-screen|||Black|262,144 colours|Plug and Play, UL, VCCI, C-Tick, cUL, FCC, RoHS|500:1||"LCD monitor - 12.1"""||||30.3 cm x 6 cm x 24.2 cm|||||||||||VGA|||||3 years warranty||800 x 600 at 60 Hz||||||"Elo Open-Frame Touchmonitors 1247L IntelliTouch - LCD monitor - 12.1"""||||25 ms|Anti-glare|||||||||4 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - XB2483HSU-1 XB2483HSU-B1|Widescreen - 16:9|250 cd/m2|USB Hub|||Black|16.7 million colours|TUV GS, DDC-2B, PSE Mark, TCO Displays 6.0, VCCI Class B|3000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.55 cm x 23 cm x 38.65 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080|A-MVA||0.277 mm|||"Iiyama ProLite XB2483HSU-1 - LED monitor - 24"""||||4 ms|||Integrated|||||||5 kg
|"OHC24 Shop : Monitor > Monitor search help > Iiyama GB2773HS-GB1 68 > 6CM 27IN LED 68.6 cm (27"")/"|Widescreen - 16:9|300 cd/m2||||Black|16.7 million colours|DDC-2B, VESA DPMS, GOST-R, TUV Bauart|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.7 cm x 23 cm x 41.55 cm||Height, swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080|TN||0.311 mm|||"Iiyama ProLite GB2773HS-1 - LED monitor - 27"""||||1 ms|||Integrated|||||||7.4 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - TF1732MC-1|5:4|225 cd/m2|Touch-screen|||Black|16.7 million colours|TUV, DDC-2B, VESA DPMS, CB, IP54, TUV Bauart|1000:1||"LED-backlit LCD monitor - 17"" - Multi-Touch"||||39.4 cm x 5.7 cm x 33 cm|||||ENERGY STAR Qualified||||||DVI-D, VGA|||||||1280 x 1024|TN||0.264 mm|||"Iiyama ProLite TF1732MC-1 - LED monitor - 17"""||||5 ms|7H Hard Coating|||||||||4.8 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 239C4QHSW/23"" W-LED Full HD 1920x1080 7ms 239C4QHSW/00"|Widescreen - 16:9|250 cd/m2||||White|16.7 million colours|Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE, TCO Displays 5.2|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||55 cm x 18 cm x 42.1 cm - with stand||Tilt|||ENERGY STAR Qualified||||||2xHDMI, VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|IPS||0.265 mm|||"Philips Brilliance Blade 2 239C4QHSW - LED monitor - 23"""||||7 ms||||||||||3.05 kg
|"OHC24 Shop : Monitor > Monitor search help > Dell U2412M 24"" UltraSharp >  8ms >  300cd >  860-10159"|Widescreen - 16:10|300 cd/m2|USB Hub|||Black, silver|16.7 million colours|TCO Displays 5.2|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.6 cm x 18 cm x 39.9 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||||3 years warranty|Compatible with Windows 7|1920 x 1200 at 60 Hz|IPS||0.27 mm|||"Dell UltraSharp U2412M - LED monitor - 24"""||||8 ms|Anti-glare, 3H Hard Coating|||||||||13.7 kg
|OHC24 Shop : Monitor > Monitor search help > Barco MDRC-2122 BL 65CM 22IN 2MP BLACK EORNIS COLOUR  K9301850A|Widescreen - 16:9|250 cd/m2||||Black, silver|16.7 million colours|FCC Class B certified, VCCI, DEMKO, VESA DPMS, CCC, UL 60601-1, RoHS, ICES, EN 60601-1-2, FDA, EN 60601-1, CAN/CSA C22.2 No. 601.1-M90, Directive 2004/108/EC, KC, IEC 60950-1 Second Edition, Directive 93/42/EEC, IEC 60601-1, IEC 60529 IP32, CAN/CSA C22.2 No. 60601-1-08|1000:1||"LED-backlit LCD monitor - 2MP - colour - 22"""||||50.7 cm x 16.6 cm x 37.7 cm - with stand||Height, swivel, tilt|||||||||HDMI, VGA, DisplayPort|||||3 years warranty||1920 x 1080|IPS||0.2475 mm|||"Barco Eonis - LED monitor - 2MP - colour - 22"""||||14 ms||||||||||6 kg
|"OHC24 Shop : Monitor > Monitor search help > Iiyama E1780SD-B1 43CM 17IN LED 43.2 cm (17"")/ 1.280 x"|5:4|250 cd/m2||||Black|16.7 million colours|VESA DPMS, GOST-R, TUV Bauart, TCO Displays 6.0, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 17"""||||37 cm x 17.8 cm x 37.95 cm||Tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||||1280 x 1024|TN||0.264 mm|||"Iiyama ProLite E1780SD-B1 - LED monitor - 17"""||||5 ms|||Integrated|||||||2.6 kg
|"OHC24 Shop : Monitor > Monitor search help > Apple Thunderbolt Display/27"" MC914DS/B"|Widescreen - 16:9|375 cd/m2|Microphone , camera, USB Hub||||16.7 million colours||1000:1||"LED-backlit LCD monitor - 27"""||||65 cm x 20.7 cm x 49.1 cm|||||ENERGY STAR Qualified||||||Thunderbolt|||||1 year warranty||2560 x 1440|IPS|||||"Apple Thunderbolt Display - LED monitor - 27"""||||12 ms|||Integrated|||||||10.8 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 220P4LPYES/22"" LED 1680x1050 5ms 220P4LPYES/00"|Widescreen - 16:10|250 cd/m2|USB Hub|||Textured black with black stand, textured sliver with black stand|16.7 million colours|Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 5.2|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.4 cm x 22 cm x 51.7 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||||3 years warranty||1680 x 1050 at 60 Hz|TN||0.282 mm|||"Philips Brilliance P-line 220P4LPYES - LED monitor - 22"""||||5 ms|||Integrated|||||||5.5 kg
|OHC24 Shop : Monitor > Monitor search help > AOC - U2868PQU|Widescreen - 16:9|300 cd/m2||||Black|1.07 billion colours|Plug and Play, VCCI, C-Tick, BSMI, DDC-2B, CCC, PSB, FCC, RoHS, PSE Mark, TCO '06, cTUVus, J-MOSS, E-Standby, KC, EPA, DDC-2B/CI, ISO9241-307|1000:1 / 50000000:1 (dynamic)||"LED-backlit LCD monitor - 28"""||||65.89 cm x 24.5 cm x 56.06 cm||Height, pivot (rotation), swivel, tilt|||||||||HDMI, DVI, DisplayPort, VGA|||||||4K 3840 x 2160|||0.16 mm|||"AOC U2868PQU - LED monitor - 28"""||||1 ms (grey-to-grey)|||Integrated|||||||8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1519L Touchdisplay E175716|Widescreen - 16:9|200 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|UL, VCCI, BSMI, cUL, NOM, CB, CCC, RoHS, WEEE, S Mark|500:1||"LCD monitor - 15.6"""||||38.3 cm x 21.3 cm x 27.7 cm||Pivot (rotation), tilt|||||||||VGA|||EMEA||3 years warranty||1366 x 768 at 60 Hz||||||"Elo 1519L - LCD monitor - 15.6"""||||8 ms|Anti-glare||Internal|||||||5.14 kg
|"OHC24 Shop : Monitor > Monitor search help > Asus ASUS VW22AT >  22"" Wide >  Lautsprecher >  90LMG1001Q01021C"|Widescreen|250 cd/m2||||Black|16.7 million colours|UL, TUV GS, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, TUV Ergo, FCC, RoHS, WEEE, GOST-R, J-MOSS, TCO Displays 5.2, ERP|1000:1 / 50000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||51.395 cm x 40.623 cm x 21.032 cm - without stand||Tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||FullHD 1680 x 1050|||0.282 mm|||"ASUS VW22AT - LED monitor - 22"""||||5 ms|Anti-glare||Integrated|||||||3.9 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 1931L IntelliTouch Zero Bezel/iTouch E001111|5:4|225 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS, RCM|1000:1||"LED-backlit LCD monitor - 19"""||||42 cm x 4.2 cm x 34.8 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1931L IntelliTouch Zero Bezel/iTouch - LED monitor - 19"""||||14 ms||||||||||4.3 kg
|OHC24 Shop : Monitor > Monitor search help > BenQ BL3200PT 81.28CM 32IN LED VA PANEL 3000:1 WQHD  9H.LC3LB.QBE|Widescreen - 16:9|300 cd/m2||||Black, glossy black|1.07 billion colours|TCO Displays 6.0|3000:1||"LED-backlit LCD monitor - 32"""||||73.9 cm x 23.1 cm x 63.8 cm - with stand||Pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||2560 x 1440|VA||0.276 mm|||"BenQ BL3200PT - LED monitor - 32"""||||4 ms (grey-to-grey)|||Integrated|||||||13 kg
|OHC24 Shop : Monitor > Monitor search help > Acer - S276HL UM.HS6EE.003|Widescreen - 16:9|250 cd/m2||||Black, titan|16.7 million colours|MPR II|100000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||62.2 cm x 14.2 cm x 45 cm - with stand|||||||||||2xHDMI, VGA|||||2 years warranty||FullHD 1920 x 1080||||||"Acer S276HL - LED monitor - 27"""||||6 ms||||||||||6.8 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 227E4LHAB >  21.5"" LED Wide >  227E4LHAB/00"|Widescreen - 16:9|250 cd/m2||||Glossy black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, BSMI, GOST, cUL, SASO, SEMKO, PSB, DDC/CI, ISO 9241-307, WEEE, TCO Displays 5.2|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||51 cm x 17.9 cm x 39.8 cm - with stand||Tilt|||ENERGY STAR Qualified||||||HDMI, VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|||0.248 mm|||"Philips E-line 227E4LHAB - LED monitor - 21.5"""||||5 ms (typical); 2 ms (grey-to-grey)|||Integrated|||||||2.2 kg
|OHC24 Shop : Monitor > Monitor search help > Datalogic ADC KIT > REMOTE SCALE DISPLAY > METRI SINGLE 11-0329|||||||||||Customer display||||||||||||||||||Europe||1 year warranty||||||||Datalogic customer display||||||||||||||
|"OHC24 Shop : Monitor > Monitor search help > Philips 27"" LED AMVA Monitor >  Webcam & Mikrofon >  271P4QPJKEB/00"|Widescreen - 16:9|300 cd/m2|USB Hub, 2.0 megapixel camera|||Textured black with black stand|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge, TCO Displays 5.2|5000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||63.9 cm x 24.2 cm x 58 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|A-MVA||0.311 mm|||"Philips Brilliance P-line 271P4QPJKEB - LED monitor - 27"""||||12 ms (typical); 6 ms (grey-to-grey)|||Integrated|||||||7.5 kg
|"OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP L6010 10.4"" Retail Monitor A1X76AA#UUZ"|4:3|300 cd/m2|USB Hub|||HP jack black||Plug and Play, CSA, UL, VCCI, C-Tick, BSMI, CCC, FCC, ICES, S Mark, CECP, BFR|1000:1||"LED-backlit LCD monitor - 10.4"""||||19.3 cm x 16.79 cm x 22.5 cm||Height, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland||3 years warranty||1024 x 768 at 60 Hz|TN||0.206 mm|||"HP L6010 Retail Monitor - LED monitor - 10.4"""|||||Anti-glare, anti-static||Integrated|||||||1 kg
|OHC24 Shop : Monitor > Monitor search help > BenQ 9H.L4WLA.SBE|Widescreen - 16:10|250 cd/m2|Stereo speakers|||Black|16.7 million colours|TCO Displays 5.0|1000:1 / 12000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||51.7 cm x 22.3 cm x 43 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Silver||||||DVI-D, VGA||||||Compatible with Windows 7|1680 x 1050|TN||0.282 mm|||"BenQ BL2201PT - LED monitor - 22"""||||5 ms||||||||||6.1 kg
|OHC24 Shop : Monitor > Monitor search help > Dell Professional - P2714H 210-ABRN|Widescreen - 16:9|300 cd/m2||||Black|16.7 million colours|WEEE, ErP Ready, E-Standby, CEL, EuP, TCO Displays, China Energy Label|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.14 cm x 20.4 cm x 42.4 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||||FullHD 1920 x 1080 at 60 Hz|IPS||0.1 mm|||"Dell Professional P2714H - LED monitor - 27"""||||8 ms (grey-to-grey)|Anti-glare|||||||||7.16 kg
|OHC24 Shop : Monitor > Monitor search help > Dell - P2414H 860-BBBX|Widescreen - 16:9|250 cd/m2|USB Hub|||Black|16.7 million colours|RoHS, WEEE, E-Standby, CECP, CEL, EuP, TCO Displays|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.56 cm|||||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||Switzerland|||Compatible with Windows 7|FullHD 1920 x 1080 at 60 Hz|IPS||0.2745 mm|||"Dell P2414H - without stand - LED monitor - 24"""||||8 ms (grey-to-grey)||||||||||3.51 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET1517L Touchdisplay E236309|4:3|250 cd/m2|Touch-screen|||White|16.2 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|700:1||"LED-backlit LCD monitor - 15"""||||35.8 cm x 19.7 cm x 31.9 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1024 x 768 at 75 Hz||||||"Elo 1517L iTouch Zero-Bezel - LED monitor - 15"""||||16 ms|Anti-glare|||||||||4.3 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 1930L IntelliTouch Zero-Bezel/iTouch Plus E000860|5:4|225 cd/m2|Touch-screen|||Black|16.7 million colours|IC, FCC, RoHS, WEEE, E-Standby, China RoHS|1000:1||"LED-backlit LCD monitor - 19"""||||42 cm x 4.2 cm x 34.8 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1930L IntelliTouch Zero-Bezel/iTouch Plus - LED monitor - 19"""||||5 ms||||||||||4 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2483HS-1 E2483HS-B1|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|TUV GS, DDC-2B, VESA DPMS, PSE Mark, TCO Displays, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.55 cm x 20.3 cm x 41.2 cm||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080|TN||0.277 mm|||"Iiyama ProLite E2483HS-1 - LED monitor - 24"""||||2 ms|||Integrated|||||||3.4 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1528L AccuTouch E338457|4:3|287 cd/m2|Touch-screen|||Beige|16.2 million colours|Plug and Play, UL, cUL, VESA DPMS, IEC 60601-1-2, C-Tick Class B, IC, FCC, UL 60601-1, RoHS, EN 60601-1-2, CSA C22.2 No. 601.1, IPX1|400:1||"LCD monitor - colour - 15"""||||35.5 cm x 20.3 cm x 35 cm - with stand||Tilt|||||||||DVI-D, VGA|||North America, South America, Central America, EMEA||3 years warranty||1024 x 768 at 75 Hz||||||"Elo Desktop Touchmonitors 1528L AccuTouch - LCD monitor - colour - 15"""||||8 ms|Anti-glare||Internal|||||||8.3 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 2440L E000417|Widescreen - 16:9|300 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS|1000:1||"LED-backlit LCD monitor - 24"" - Multi-Touch"||||56.16 cm x 4.22 cm x 32.58 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||FullHD 1920 x 1080 at 75 Hz||||||"Elo Open-Frame Touchmonitors 2440L IntelliTouch Pro projected capacitive - LED monitor - 24"""||||5 ms||||||||||5.7 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 1715L IntelliTouch E719160|5:4|225 cd/m2|Touch-screen|||Dark grey|16.7 million colours|UL, TUV GS, VCCI, C-Tick, cUL, IC, FCC, RoHS|800:1||"LCD monitor - 17"""||||39.1 cm x 20.3 cm x 36.6 cm|||||||||||VGA|||||||1280 x 1024 at 75 Hz||||||"Elo 1715L IntelliTouch - LCD monitor - 17"""||||25 ms||||||||||6.9 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1531SAW-B1|4:3|230 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|VCCI, DDC-2B, VESA DPMS, GOST-R, IP54, TUV Bauart|500:1||"LCD monitor - 15"""||||35.1 cm x 20.1 cm x 30.6 cm||Tilt|||||||||DVI-D, VGA|||||||1024 x 768|TN||0.297 mm|||"Iiyama ProLite T1531SAW-1 - LCD monitor - 15"""||||8 ms|||Integrated|||||||4.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1537L SecureTouch E731919|4:3|230 cd/m2|Touch-screen|||Black, steel|16.2 million colours|UL, TUV GS, VCCI, C-Tick, cUL, SEMKO, IC, FCC, RoHS|500:1||"LCD monitor - 15"""||||33.6 cm x 4.1 cm x 26.4 cm|||||||||||VGA|||||3 years warranty||1024 x 768 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1537L SecureTouch - LCD monitor - 15"""||||14.5 ms|Anti-glare|||||||||3 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 200S4LMB/00 20"" LED Monitor 1600x900 5ms"|Widescreen - 16:9|250 cd/m2||||Textured black with black stand|16.7 million colours|Plug and Play, FCC Class B certified, GOST, GS, SASO, SEMKO, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0, EAC, cETLus|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 20"""||||47.9 cm x 22.7 cm x 29.9 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Silver||||||DVI-D, VGA|||||||1600 x 900 at 60 Hz|||0.27 mm|||"Philips S-line 200S4LMB - LED monitor - 20"""||||5 ms|||Integrated|||||||4.2 kg
|OHC24 Shop : Monitor > Monitor search help > LG - 24EB23PY-W|Widescreen - 16:10|300 cd/m2|USB Hub|||White|16.7 million colours|Plug and Play, CSA, UL, TUV GS, NEMKO, SEMKO, EN 61000-3-3, EN55024, EN55022 Class B, DDC/CI, RoHS, EN 60950-1, ISO 9241-307, TCO Displays 5.2, EN 61000-3-2:2006|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.84 cm x 23.9 cm x 39.5 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort , USB|||||3 years warranty||1920 x 1200|AH-IPS||0.269 mm|||"LG 24EB23PY-W - LED monitor - 24"""||||5 ms|Anti-glare, 3H Hard Coating||Integrated|||||||5.4 kg
|OHC24 Shop : Monitor > Monitor search help > Avocent ECS17KMM8-205||250 cd/m2|Keyboard, touchpad , 8 port KVM switch||||16.7 million colours|UL, TUV GS, VCCI, C-Tick, BSMI, GOST, NOM, CB, EMC, FCC, ULC, RoHS, UL-AR|1000:1||"KVM console - 17"""||||44.5 cm x 65.1 cm x 4.4 cm|||||||||1U||VGA|USB - 8 ports||Germany||||1280 x 1024 at 60 Hz||||||"Avocent LCD Console and KVM over IP Switch Integrated Tray - KVM console - 17"""||||||||||||||12.8 kg
|"OHC24 Shop : Monitor > Monitor search help > Dell P2714T 27"" Win8-Multi-Touch >  8ms >  270cd >  210-ABSQ"|Widescreen - 16:9|300 cd/m2|Touch-screen|3-Years Advanced Exchange Service and Premium Panel Guarantee|||16.7 million colours|Plug and Play, WEEE, ErP Ready, CEL, EuP, TCO Displays, China Energy Label|1000:1 / 8000000:1 (dynamic)||"LED-backlit LCD monitor - 27"" - Multi-Touch"||||66.5 cm x 7.97 cm x 47.55 cm - with stand||Tilt|||ENERGY STAR Qualified , EPEAT Gold||||||2xHDMI, VGA, DisplayPort|||||3 years warranty|Compatible with Windows 7|FullHD 1920 x 1080 at 60 Hz|Plane to Line Switching (PLS)||0.311 mm|||"Dell P2714T - LED monitor - 27"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee"||||8 ms (grey-to-grey)|Anti-glare, 3H Hard Coating|||||||||
|OHC24 Shop : Monitor > Monitor search help > NEC EA224WMI WHITE 1000:1 250CD/QM 14MS >  60003337|Widescreen - 16:9|250 cd/m2|USB Hub|||White|16.7 million colours|FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, DDC-2B, MPR III, PCT, TUV Ergo, RoHS, ISO 9241-307, GEEA, TCO Displays 5.2|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.7 cm x 21.8 cm x 37 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|IPS||0.247 mm|||"NEC MultiSync EA224WMi - LED monitor - 22"""||||14 ms|||Integrated|||||||5.6 kg
|"OHC24 Shop : Monitor > Monitor search help > Dell U2713HM 27"" >  8ms >  350cd >  2560x1440 >  16:9 210-40673"|Widescreen - 16:9|350 cd/m2||3-Years Advanced Exchange Service and Premium Panel Guarantee|||16.7 million colours|CECP, TCO Displays|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||63.93 cm x 20.03 cm x 42.43 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty|Compatible with Windows 7|2560 x 1440 at 60 Hz|IPS||0.23 mm|||"Dell UltraSharp U2713HM - LED monitor - 27"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee"||||8 ms (grey-to-grey)|Anti-glare, 3H Hard Coating|||||||||
|"OHC24 Shop : Monitor > Monitor search help > NEC EA304WMI WHITE 76CM 29.8IN  29.8"" LCD monitor with 60003495"|Widescreen - 16:10|350 cd/m2|USB Hub|||White|1.07 billion colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0, TCO Certified Edge 1.2, EAC|1000:1||"LED-backlit LCD monitor - 30"""||||68.7 cm x 23 cm x 47.3 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||2560 x 1600 at 60 Hz|AH-IPS||0.251 mm|||"NEC MultiSync EA304WMi - LED monitor - 30"""||||6 ms|||Integrated|||||||11 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2283HS E2283HS-B1|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|TUV GS, DDC-2B, VESA DPMS, TCO Displays, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||50.55 cm x 19.3 cm x 38.25 cm||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080|TN||0.248 mm|||"Iiyama ProLite E2283HS - LED monitor - 21.5"""||||2 ms|||Integrated|||||||3 kg
