3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||LS22C65UDC/EN, 2773803, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²|USB Hub|"UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC
FCC (USA) FCC Part 15, Subpart B class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS / NZS3548 (CISPR22) CCC (China): GB 9254-2008, GB 17625.1-2003"|Matte Black|16.7 Million Colours|||1,000:1||55.5 mm|210 mm||Yes|Yes|||['MagicRotation', 'MagicBright3', 'Eco Saving', 'MagicTune', 'Off Timer', 'MultiScreen']|||['ENERGY STAR', 'EPEAT Gold', 'TCO Certified Displays']|Yes||No||301.9 mm|490.35 mm||178°|['220 V AC', '110 V AC']|3 Year|Samsung|LS22C65UDC/EN||1920 x 1080|Wall Mountable||1|||||||AD-PLS Technology|PC||||S22C650D|"21.5"" S22C650D Series 6 LED Business Monitor"|650|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||3.20 kg|4.75 kg|504.3 mm|504.30 mm
||240B4LPYNS/00, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|USB Hub|TUV ErgoTUV/GSUL/cULBSMICE MarkFCC Class BGOSTSASOSEMKO|['Black', 'Silver']|16.7 Million Colours|||1,000:1||65 mm|227 mm||Yes|Yes|||['Security Lock', 'SmartImage', 'SmartErgoBase', 'PowerSensor']|||['TCO Certified Displays 6.0', 'EPEAT Gold', 'RoHS', 'WEEE', 'ENERGY STAR 6.0']|Yes|Yes|||388 mm|543 mm||160°|['110 V AC', '220 V AC']||Philips Electronics|240B4LPYNS/00||1920 x 1200|||1|||19.50 W|||||['PC', 'Mac']|||Brilliance|240B4LPYNS|Brilliance LCD Monitor with PowerSensor|B|LCD Monitor|Yes|25%|5 ms|WUXGA|"61 cm (24"")"|||||60 Hz|200 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.97 kg|5.83 kg|555 mm|555 mm
||VS207T-P, ASUSVS207T-P, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|||16:9|LED|Asus|250 cd/m²|||Black|16.7 Million Colours|||80,000,000:1||185 mm||||Yes|||['Splendid Video Intelligence Technology', 'Security Lock']|||||Yes|||355.5 mm|||170°|||ASUS Computer International|VS207T-P||1600 x 900|Wall Mountable||1|2|500 mW|25 W|||||PC||||VS207T-P|VS207T-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||Yes||500 mW||||||||160°|Yes|75 x 75|Yes||2.59 kg||468 mm|
||60003495, NECTFTEA304WMIW, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|GB-R LED|NEC Display|350 cd/m²|['USB Hub', 'Speaker']|EAC CE TÜV GS FCC Class B UL/C-UL CSA ISO 9241-307|White|1.074 Billion Colors (10-bit)|||1,000:1||230 mm||Landscape/Portrait|Yes|Yes|||['ControlSync', 'Ambient Light Sensor', 'Cable Management', 'Picture by Picture', 'Eco Mode', 'Intelligent Power Manager (IPM) System', 'Carbon Footprint Meter', 'Security Lock', 'Carbon Savings Meter', 'Off Timer']|||['TÜV', 'ErP', 'TCO Certified Displays 6.0', 'EPEAT Gold', 'MPR II', 'RoHS', 'MPR III', 'TCO Certified Edge Displays 1.2', 'ENERGY STAR 6.0']|Yes||Yes|Yes|473 mm|||178°|['230 V AC', '120 V AC']||NEC Display Solutions|60003495|130 mm|2560 x 1600|||1|2||83 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||MultiSync|EA304WMi|MultiSync EA304WMi Widescreen LCD Monitor||LCD Monitor|||6 ms|WQXGA|"76.2 cm (30"")"||||Yes|60 Hz|||170°|||-5°to30°|Yes|USB 3.0|178°|Yes|100 x 100|Yes||11 kg||687 mm|
||UM.WV6EE.A01, 8654F10, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||206.8 mm||||Yes||||||"['ENERGY STAR', ""TCO '06""]"|Yes|Yes|||390.4 mm|||178°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.WV6EE.A01|No|1920 x 1080|||1||250 mW|19.50 W|V226HQL Widescreen LCD Monitor1 x VGA Cable|||Vertical Alignment (VA)|||||V226HQL|V226HQL Widescreen LCD Monitor|V|LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|350 mW||No|||-5°to25°|||178°|Yes|100 x 100|Yes||3.24 kg|3.66 kg|508 mm|
||LS22C20KBSZ/EN, 2949930, Samsung, LCD Monitor, JR Linton||Yes|||16:9|LED|Samsung|250 cd/m²||UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN 60950-1 NEMKO (Norway): EN 60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI 1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 FCC (U.S.) FCC Part 15, Subpart B Class A CE (Europe), EN 55022, EN 55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS/NZS3548 ( CISPR22) CCC (China): GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||77.6 mm|185 mm|||Yes|||['MagicAngle', 'Display Power Management Signaling (DPMS)', 'Eco Saving', 'MagicBright3', 'Off Timer', 'MultiScreen', 'MagicTune']|||"[""TCO '06"", 'EPEAT Gold', 'ENERGY STAR']"|Yes||||301.9 mm|385.35 mm||170°|['220 V AC', '110 V AC']|3 Year|Samsung|LS22C20KBSZ/EN||1920 x 1080|Wall Mountable||1|||24 W|"21.5"" LED Monitor S22C200B D-sub cable Power cable length 1.5 m Other Quick install guide Installation CD Electronic user guide"|||Twisted Nematic Film (TN Film)|PC||||S22C200B|"21.5"" LED Monitor S22C200B"|200|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||||100 mW|||||-1°to20°|||160°|Yes|100 x 100|Yes||3.05 kg|3.50 kg|504.3 mm|504.30 mm
||248C3LHSW/00, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|300 cd/m²||BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|Glossy White|16.7 Million Colours|||1,000:1||33 mm|194 mm||||||['SmartImage', 'SmartKolor', 'SmartTxt']|||['EPEAT Silver', 'RoHS', 'WEEE', 'ENERGY STAR', 'TCO Certified Displays 5.2']|Yes||Yes||369 mm|443 mm||170°|['110 V AC', '220 V AC']|2 Year|Philips Electronics|248C3LHSW/00||1920 x 1080|||1||300 mW|16.60 W|||||['Mac', 'PC']|||Brilliance|248C3LHSW|Brilliance Moda 248C3LHSW Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"59.9 cm (23.6"")"|||||60 Hz|300 mW||||||||160°|||Yes||3 kg|4.50 kg|579 mm|579 mm
||BDL4650EL/00, 2713248, Philips, LCD Monitor, JR Linton|||||16:9|Edge LED|Philips|500 cd/m²|Speaker|CEFCC Class BUL/cULCCCC-TickCSAGOSTBSMI||1.07 Billion Colors|Yes||4,000:1||69 mm|400 mm|Landscape/Portrait|Yes|Yes|||['Tiled Matrix', 'Picture on Picture', 'Picture by Picture', 'Picture in Picture', 'SmartPower']|||['CEC', 'TCO', 'RoHS', 'EPEAT']|Yes||Yes||607.3 mm|662.70 mm||178°|['110 V AC', '220 V AC']|3 Year|Philips Electronics|BDL4650EL/00||1920 x 1080||Yes|1|2|||LED DisplayRemote ControlBatteryAC Power CordVGA CableUser Manual (CD-ROM)Quick Start Guide||1||PC||||BDL4650EL|LED Display||LCD Monitor|||6.50 ms|Full HD|"116.8 cm (46"")"||||Yes|60 Hz|500 mW||||||||178°|Yes|400 x 400|Yes||22 kg||1052.7 mm|1052.70 mm
||240S4LPMS/00, 2711229, Philips, LCD Monitor, JR Linton|||Yes|Yes|16:10||Philips|250 cd/m²|||Silver||||20,000,000:1||||||Yes|||PowerSensor|||||||||||160°|||Philips Electronics|240S4LPMS/00||1920 x 1200|||1||||||||||||240S4LPMS|240S4LPMS Widescreen LCD Monitor||LCD Monitor|||5 ms|WUXGA|"61 cm (24"")"||||||||||||||160°|||Yes|||||
||D9E49AA#ABU, 943ANZX, HP, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|['Microphone', 'USB Hub', 'Speaker']|CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA VCCI FCC Taiwan BSMI|Black||||5,000,000:1||51.1 mm|237.24 mm||Yes|Yes|||Security Lock|||['WEEE', 'China Energy Label (CEL)', 'CECP', 'REACH', 'EPEAT Gold', 'ENERGY STAR', 'TCO Certified Edge']|Yes|Yes|||309.1 mm|460.25 mm||178°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D9E49AA#ABU||1920 x 1080|||1|||42 W|EliteDisplay E221c 54.6 cm (21.5'') Monitor VGA Cable DisplayPort Cable USB Cable AC Power Cable Printed Documentation and CD HP Display Assistant, Cyberlink You Cam and HP MyRoom Software.|||In-plane Switching (IPS) Technology|PC|||Business|E221c|EliteDisplay E221c 54.6 cm (21.5'') Monitor||LCD Monitor|||7 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz|400 mW||360°|||-5°to30°|Yes|USB 2.0|178°|||Yes|Yes||5.40 kg|509.3 mm|509.27 mm
||17S4SB/00, PHI-17S4SB/00, Philips, LCD Monitor, JR Linton||Yes|No|No|5:4|LED|Philips|250 cd/m²||BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS|Black|16.7 Million Colours|||1,000:1||65 mm|194 mm|||Yes|||['SmartContrast', 'Eco Mode', 'TrueVision', 'Sync on Green', 'Security Lock', 'SmartControl', 'SmartPower', 'SmartImage']|||['WEEE', 'RoHS']|Yes|Yes|||319 mm|393 mm||170°|['110 V AC', '220 V AC']|2 Year|Philips Electronics|17S4SB/00||1280 x 1024|Wall Mountable|No|1||200 mW|17.10 W|||||['PC', 'Mac']||||17S4SB|LCD Monitor with SmartImage|S|LCD Monitor|Yes||5 ms|SXGA|"43.2 cm (17"")"||||No|60 Hz|200 mW||||||||160°|Yes|100 x 100|Yes|No|3.14 kg|3.54 kg|367 mm|367 mm
||60003394, ST38455, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9|LED|NEC Display|500 cd/m²|Speaker|CETÜV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI|Black|16.7 Million Colours|Yes|Yes|4,000:1||65.1 mm|240 mm|Landscape/Portrait|Yes|Yes|||['Picture on Picture', 'Carbon Footprint Meter', 'Digital Signage Ready', 'Eco Mode', 'TileComp', 'Picture in Picture', 'TileMatrix (10x10)', 'Screen Saver', 'Ambient Light Sensor', 'Digital Daisy Chain', 'Noise Reduction', 'Variable Picture Mode', 'Security Lock', 'Side-by-side View Support']|||RoHS|Yes|Yes|Yes||612.8 mm|649.80 mm||178°||3 Year|NEC Display Solutions|60003394||1920 x 1080||Yes|1|2||76 W|"46"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated SpeakersPower CordVGA Cable (Mini 15-pin D-sub)Wireless Remote ControlBatteriesMain Switch CoverCD-ROM (User Manual)ClampScrews"||||PC|||MultiSync|V463|"46"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated Speakers"|V|LCD Monitor|||6.50 ms|Full HD|"116.8 cm (46"")"||||Yes|60 Hz|2 W|Yes|||||||178°|Yes|300 x 300|Yes||18.90 kg|20.20 kg|1058.2 mm|1058.20 mm
||27MP65HQ-P, 2998423, LG Electronics, LCD Monitor, JR Linton|||||16:9|LED|LG||||||||||106 mm|213 mm|||Yes||||||ENERGY STAR|Yes||Yes||369 mm|476 mm|||||LG Electronics|27MP65HQ-P||1920 x 1080|||1||300 mW|26 W||||In-plane Switching (IPS) Technology|||||27MP65HQ-P|27MP65HQ-P Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"|Anti-glare||||60 Hz|300 mW|||||||||Yes||Yes||4.60 kg||623 mm|623 mm
||BDL5586XL/00, 2760260, Philips, LCD Monitor, JR Linton|||||16:9|LED|Philips|500 cd/m²|Speaker|CE FCC Class B UL cUL CCC C-Tick GOST CB||1.06 Billion Colors|Yes||1,400:1||121.1 mm||Landscape/Portrait|Yes|Yes|||['Tiled Matrix', 'HeatControl Sensor', 'Temperature Sensor', '3D De-interlace', '3D Comb Filter', 'Video Wall', 'Digital Signage Ready', 'Picture in Picture']|||RoHS|Yes||Yes||686.3 mm|||178°|['110 V AC', '220 V AC']|3 Year|Philips Electronics|BDL5586XL/00||1920 x 1080||Yes|1|2||132 W|Signage Display Remote Control Batteries for remote control AC Power Cord VGA cable User manual on CD-ROM Quick start guide||1|In-plane Switching (IPS) Technology|||||BDL5586XL|Signage Display||LCD Monitor|||10 ms|Full HD|"139.7 cm (55"")"||||Yes|60 Hz|500 mW||||||||178°|Yes|400 x 400|Yes||||1215.5 mm|
||236V4LSB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²||BSMICE MarkingCEFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL / cUL|Glossy Black|16.7 Million Colours|||1,000:1||48 mm|219 mm|||Yes|||Security Lock|||['ENERGY STAR 5.0', 'EPEAT Silver', 'WEEE', 'TCO Certified Displays', 'RoHS']|Yes|Yes|||339 mm|417 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|236V4LSB/00||1920 x 1080|||1||500 mW|24.82 W|||||['Mac', 'PC']||||236V4LSB|236V4LSB Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||2.82 kg|3.06 kg|549 mm|549 mm
||K9601662, 2315302, Barco, LCD Monitor, JR Linton||Yes|Yes|Yes|4:3||Barco||USB Hub|UL 60601-1 1ST EDITIONCAN/CSA-C22.2 NO. 601.1-M90UL 60950-1 1ST EDITIONCSA C22.2 NO. 60950-1-03 1ST EDITIONIEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2001 1ST EDITIONCE - 2004/108/ECCE - 93/42/ECA1:2007/47/EC CLASS IIBDEMKO - EN 60601-1CCC - GB9254-2008 + GB4943-2001 + GB17625.1-2003VCCIFCC class BBSMIFDA 510KCEBEC/KEMAUL/CSANEMA 5-15P|Dark Grey||||900:1||100 mm|285 mm|||Yes|||['Pivot Display', 'Landscape/Portrait Viewable']|||RoHS|Yes||||369 mm|604 mm||170°|['220 V AC', '110 V AC']|5 Year|Barco|K9601662||2048 x 1536|||1|||64 W|Coronis MDCG-3120 Medical LCD MonitorGetting Started GuideQuick-Installation SheetVideo Cable (DVI Dual Link)Main CablesUSB 2.0 CableExternal Power Supply|||In-plane Switching (IPS) Technology||||Coronis|MDCG-3120|Coronis MDCG-3120 Medical LCD Monitor||LCD Monitor|||50 ms||"50.8 cm (20"")"|||||80 Hz|||||||Yes|USB 2.0|170°|Yes|100 x 100|||8.10 kg|14.20 kg|477 mm|477 mm
||SX-15A, AGNSEC005, AG Neovo, LCD Monitor, JR Linton|Kensington security socket||||4:3||AG Neovo|500 cd/m²|||Black|16.7 Million Colours|||400:1||154.9 mm||||Yes||||||"['RoHS', ""TCO '95"", 'WEEE']"|Yes||||358.9 mm|||140°|['220 V AC', '110 V AC']||AG Neovo Technology Corporation|SX-15A||1024 x 768|Wall Mountable||1||||||||PC||||SX-15A|SX-15A LCD Monitor|SX|LCD Monitor|||16 ms|XGA|"38.1 cm (15"")"||||||||||||||140°|||||4.80 kg||380 mm|
||AS17LED-W, VIGAS17LEDWHITE, Vigilant Vision, Ltd, LCD Monitor, JR Linton|||||4:3|LED|Vigilant|300 cd/m²|Speaker|CE FCC|White|16.7 Million Colours|||10,000:1||162 mm|||||||3D Comb Filter|||RoHS|Yes||Yes||378 mm|||170°|['110 V AC', '220 V AC']||Vigilant Vision, Ltd|AS17LED-W||1280 x 1024|['Rack-mountable', 'Desk Mountable', 'Wall Mountable']||1|2||15 W|"17"" LED Monitor Plastic White Case Power Supply Kettle Lead VGA Cable User Manual"||||PC||||AS17LED-(W)|"17"" LED Monitor Plastic White Case"||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||Yes|75 Hz|||||||||160°|Yes|75 x 75|Yes||3.17 kg||379 mm|
||PB238Q, 2529493, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Asus|250 cd/m²|['USB Hub', 'Speaker']||Black|16.7 Million Colours|||80,000,000:1||57.6 mm|201 mm||Yes|Yes|||['Splendid Video Intelligence Technology', 'Security Lock', 'Trace Free Technology']|||||Yes|Yes||323.7 mm|414 mm||178°|||ASUS Computer International|PB238Q||1920 x 1080|Wall Mountable||1|2||||||In-plane Switching (IPS) Technology|PC||||PB238Q|PB238Q Widescreen LCD Monitor|PB|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"||||Yes||500 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||5.50 kg||548.8 mm|548.80 mm
||60003003, NECLCDV461PC, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9||NEC Display|450 cd/m²|||Black|16.7 Million Colours|Yes|Yes|3,000:1||129.8 mm||||Yes||||||['RoHS', 'ENERGY STAR']|Yes||Yes|Yes|664.7 mm|||178°|['220 V AC', '110 V AC']|3 Year|NEC Display Solutions|60003003||1920 x 1080|Wall Mountable||1|||185 W|MultiSync V461 Widescreen LCD MonitorVGA Signal CableCD-ROM (User Guides/Manuals)Power CableRemote Control|||||||MultiSync|V461|MultiSync V461 Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"116.8 cm (46"")"|||||50 Hz||Yes|||||||178°|Yes|400 x 200|Yes||23.80 kg||1121.5 mm|
||FWD-55B2, 2498187, Sony, LCD Monitor, JR Linton||||||Edge LED|Sony|450 cd/m²|Speaker|ULCSACEGOST-RIECFCC Class BICCISPR||1.06 Billion Colors|Yes|Yes|4,000:1||84 mm||Landscape/Portrait||Yes|||['Security Lock', 'Screen Saver']|||ErP Lot 6|Yes||Yes||715.8 mm|||178°|['220 V AC', '110 V AC']|3 Year|Sony Corporation|FWD-55B2||1920 x 1080||Yes|1|2||150 W|Professional FWD-55B2 Widescreen LCD Monitor1 x AC Power Cord2 x AC Plug Holder6 x Cable Holder1 x Remote Control2 x Size AA (R6) Batteries1 x Operating Instructions||||PC|||Professional|FWD-55B2|Professional FWD-55B2 Widescreen LCD Monitor||LCD Monitor||||Full HD|"139.7 cm (55"")"||||Yes||||||||||178°|Yes||Yes||29.50 kg||1245 mm|
||UM.HS6EE.001, ACES276HLTMJJ, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Titanium||||100,000,000:1|||||||38 kWh|A||||MPR II|Yes||Yes|||||||3 Year|Acer, Inc|UM.HS6EE.001|No|1920 x 1080|||1||450 mW|36 W|S276HL Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology|||||S276HL|S276HL Widescreen LCD Monitor||LCD Monitor|||6 ms||"68.6 cm (27"")"||||Yes||490 mW||No|||-5°to15°||||No||Yes|||||
||K9602018, 2913255, Barco, LCD Monitor, JR Linton|||||16:10||Barco|950 cd/m²|USB Hub|UL 60601-1CAN/CSA-C22.2 NO. 601.1- M90IEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2001CE - 89/336/EECCE - 93/42/EECDEMKO - EN 60601-1BSMI - CNS13438(95) + CNS14336(94)VCCIFCC Class BICES-001 Level BMDD Class IIbFDA 510kKCCCC-GB9254-2008 + GB4943-2001 + GB17625.1-2003|||||1,100:1||141 mm|265 mm|Landscape||Yes|||['Picture Archiving and Communication System (PACS)', 'I-Guard', 'Backlight Output Stabilization (BLOS)', 'Ambient Light Compensation (ALC)', 'Uniform Luminance Technology (ULT)']|||RoHS|Yes||||485 mm|676 mm||170°||5 Year|Barco|K9602018||2560 x 1600|||1|||135 W|4 MegaPixel Wide-Screen Diagnostic Color Display SystemGetting Started GuideQuick-Installation SheetVideo Cables (2 x DVI Dual Link)Main CablesUSB 2.0 CableExternal Power SupplyMediCal QAWeb Software|||In-plane Switching (IPS-Pro) Technology||||Coronis Fusion|MDCC-4130|4 MegaPixel Wide-Screen Diagnostic Color Display System||LCD Monitor|||20 ms|WQXGA|"76.2 cm (30"")"|Anti-reflective|||||||||||Yes|USB 2.0|170°|Yes|100 x 100||||28.10 kg|731 mm|731 mm
||273P3LPHEB/00, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Philips|300 cd/m²|['USB Hub', 'Speaker']|BSMICEFCC Class BGOSTPSBSASOSEMKOTUV ErgoTUV/GSUL/cUL|Carbonite Black|16.7 Million Colours|||1,200:1||65 mm|244 mm|Landscape/Portrait||Yes||||||['WEEE', 'RoHS', 'ENERGY STAR', 'EPEAT Gold']|Yes|Yes|Yes|Yes|391 mm|528 mm||178°|['220 V AC', '110 V AC']||Philips Electronics|273P3LPHEB/00||1920 x 1080|||1|2|300 mW|20.40 W|||||['Mac', 'PC']||||273P3LPHEB|273P3LPHEB Widescreen LCD Monitor|P|LCD Monitor|||3.50 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|500 mW||||||Yes|USB 2.0|170°|Yes|100 x 100|Yes||6.38 kg|8.74 kg|642 mm|642 mm
||34UM65-P, 2975677, LG Electronics, LCD Monitor, JR Linton||No|No|No|21:9|LED|LG|300 cd/m²|Speaker||Black||||5,000,000:1||82.9 mm|172.90 mm||Yes|Yes|||['Flicker-free', 'Reading Mode', 'Dual Link-up', 'Split Screen']|||TÜV|Yes|Yes|Yes||379.8 mm|468.90 mm||178°|||LG Electronics|34UM65-P||2560 x 1080|||1|2||||||In-plane Switching (IPS) Technology|['PC', 'Mac']||||34UM65-P|34UM65-P Widescreen LCD Monitor||LCD Monitor|||14 ms|UW-UXGA|"86.4 cm (34"")"|Anti-glare|||Yes||||||Yes||||178°|Yes||||7.69 kg||829.9 mm|829.90 mm
||60003490, NECPA242WB, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|NEC Display|350 cd/m²|USB Hub|CE TÜV Ergonomics TÜV GS C-tick FCC Class B PCT/Gost UL/C-UL CSA CCC ISO 9241-307 PCBC/B-mark PSB|Black|1.07 Billion Colors|||1,000:1||85 mm|227.60 mm|Landscape/Portrait|Yes|Yes|||['Picture in Picture', 'OmniColor', 'Security Lock', 'Cable Management', 'Picture by Picture']|||['MPR III', 'RoHS', 'MPR II', 'ErP']|Yes||Yes||362.4 mm|528 mm||178°|['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60003490||1920 x 1200|||1|||56 W|"LCD 24"" Professional Desktop Display Power Cable Sales Office List User Manual Mini DisplayPort cable DVI-D - DVI-D cable"|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||MultiSync|PA242W-BK|"LCD 24"" Professional Desktop Display"|Professional|LCD Monitor|||6 ms|WUXGA|"61.2 cm (24.1"")"|||||60 Hz|||||||Yes||178°|Yes|200 x 100|Yes||7.40 kg||556.8 mm|556.80 mm
||D7P94A4#ABU, 2934906, HP, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|HP|350 cd/m²|['Speaker', 'USB Hub']|CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC HSMI|Black|16.7 Million Colours|||5,000,000:1|China|66.3 mm|266.40 mm||Yes|Yes|||['Security Lock', 'Cable Management']|||['TCO Certified Displays 6.0', 'WEEE', 'RoHS', 'ENERGY STAR', 'TCO Certified Edge', 'China Energy Label (CEL)', 'EPEAT Gold', 'IT Eco Declaration', 'REACH', 'CECP', 'EPA']|Yes|Yes|Yes||449.8 mm|601 mm||178°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D7P94A4#ABU|120 mm|2560 x 1600|['Desk Mountable', 'Wall Mountable', 'Arm-mountable']||1|||125 W|Z30i 30-inch IPS Display AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant Software|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|17.2%||Business|Z30i|Z30i 30-inch IPS Display|Z|LCD Monitor|Yes|Plastic|8 ms|WQXGA|"76.2 cm (30"")"|Anti-glare|||Yes|60 Hz|500 mW||45°|||-5°to20°|Yes|USB 3.0|178°|Yes|100 x 100|Yes|||9.96 kg|690.3 mm|690.30 mm
||47WX50MF-B, LG47WX50MF, LG Electronics, LCD Monitor, JR Linton|||||16:9|LED|LG|2000 cd/m²||||||||||||Yes|Yes|||['Ambient Light Sensor', 'Temperature Sensor', 'TileMatrix (15x15)']|||||Yes|Yes|||||178°|||LG Electronics|47WX50MF-B||1920 x 1080||Yes|1|||||Retail||In-plane Switching (IPS) Technology|||||47WX50MF-B|47WX50MF-B Widescreen LCD Monitor||LCD Monitor||||Full HD|"119.4 cm (47"")"||||No||||||||||178°|||Yes|||||
