<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Philips Philips 203V5LSB26 203V5LSB26 10 Planet Computer.it|Si|||285 mm|345 mm|350 mm||||N|||||90 °|50 °|90 °|433.9 x 236.3 mm|Kensington|N|||||||RoHS, BSMI, CE, FCC B, GOST, SEMKO, TUV/ISO9241-307, cETLus, WEEE|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N||Si|"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %"||Argento||N||14.52 W|||0.5 W|0.5 W||||||||495 mm|433.9 mm|236.3 mm||503 x 109 x 350 mm||465 x 170 x 345 mm|49.5 cm|||0.26 x 0.26 mm|||16:9|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz|||N|||N||-3 - 10 °|N|Si|Si|||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|465 mm|465 mm|503 mm|Si||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR|200 cd/m²|||||||||||||Si||30000 h||||21||Si||2.03 kg||3.23 kg|2.33 kg|||||N|||||48 mm|170 mm|109 mm||||||||1|||20 - 80 %|600:1|10000000:1|N|||1600 x 900 Pixels|||1600 x 900|N|Si|||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||.|||||Si|Si|||5 ms||N|"Dimensioni e peso
Profondità (con supporto) 170 mm
Altezza (con supporto) 345 mm
Larghezza (con supporto) 465 mm
Larghezza imballo 503 mm
Altezza imballo 350 mm
Profondità imballo 109 mm
Peso prodotto con supporto 2.33 kg
Profondità 48 mm
Larghezza 465 mm
Altezza 285 mm
Peso incluso imballo 3.23 kg
Peso 2.03 kg"|||||RGB-LED|LED|HD-ready||||||100 - 240 V||
Acer Acer K K192HQL UM.XW3EE.001 Planet Computer.it|Si|||26,7 cm|35,2 cm|||||No|||"Thin Client
Thin client installato No"||90°|65°|||||||AC, VGA||||||Non specificato||||Nero|16,77M|||No|||||||||11,9W|||0,35W|0,45W|||||||"Contenuto dell'imballo
Cavi inclusi AC, VGA"||||||||"46,99 cm (18.5"")"|47 cm|||||16:9|No|||||||||Si||-5 - 25°|Si|Si||||||||||||||||||||||44,1 cm|44,1 cm||Si|||200 cd/m²|||||||||||||||||||||||2,32 kg|||2,6 kg||||Si|No|||||5 cm|19,2 cm|||||||||1|||||100000000:1|No|||1366 x 768 Pixels|||1366 х 768|||||No|||||||||||||TN+Film||5 ms||No|||||||LCD|||||||110 - 220V||
Samsung Samsung S22C450DF LS22C45UFS EN Planet Computer.it|Si|||30,19 cm|49,035 cm|37,5 cm||||No||||-45 - 45°|170°|160°|||No||||USB, VGA||||TCO|Si|Non specificato||||Nero|16,77M||100 x 100 mm|No|FCC, CE, VCCI, KCC, C-Tick, CCC||||Oro||||24W||14W||0,3W|||||||"Contenuto dell'imballo
Cavi inclusi USB, VGA
Manuale dell'utente Si
Guida rapida Si"|54,6 cm|47,664 cm|26,811 cm|||||54,6 cm||Matt|0,24825 x 0,24825 mm|||16:9|No|50/60 Hz|||||Si|Si||||-3 - 25°|Si||||||||||||||||||||||0 - 40 °C|50,43 cm|50,43 cm|57,7 cm||No||250 cd/m²||Si|||||||||||Si||||||||||3,24 kg||6,21 kg|4,84 kg|||-1 - 90°||Si|||||5,545 cm|21 cm|18,5 cm|||||1|3||1|||10 - 80%|10000:1|Contrasto Mega|['Si', '13 cm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||UL, TÜV, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO|No|||||||||||||TN||5 ms|||||||||LED|Full HD||||||100 - 240V||
Acer Acer H H226HQLbmid UM.WH6EE.001 Planet Computer.it|Si|||||||||Si||||||||||N|||AC|||"Networking
Collegamento ethernet LAN N
Bluetooth N
Connessione WLAN N"||Si|Non specificato|N|||Nero||||N|||||||N|||||||||||||||||||||"546.1 mm (21.5 "")"||||||16:9|N|50/60 Hz||||||Si||||||Si|Si|||||||||||||||||Si|||||||Si|||250 cd/m²||Si||||||||||1080p||||||||1 pezzi||||||||||Si|Si||||||||||1||1|||1|||||100000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||N||Si|Si|||.|||||||IPS||5 ms||N|"Performance
Sistema operativo Windows supportato Si
Sistema operativo Linux supportato Si"||||||LED|Full HD||||||100 - 240 V||
Philips Philips 221S3LCB 221S3LCB 00 Planet Computer.it||||323 mm|400 mm|466 mm||||N||||-65 - 65 °|176 °|170 °|||Kensington||||||||RoHS|Si|||||Nero|16.77 M||100 x 100 mm|N||||BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.1, TUV Ergo, TUV/GS, UL/cUL|Argento||||16.81 W||15.43 W|0.1 W|0.1 W|||||||||476.6 mm|268.1 mm|||||54.6 cm|||0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||Si|||Si||-5 - 20 °|Si|Si|||||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|507 mm|507 mm|565 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²||||||||||SmartImage|||Si||30000 h||||8||Si||3.46 kg||6.67 kg|4.83 kg||||Si||||||59 mm|220 mm|175 mm|||1|||||1||30 - 83 kHz||1000:1|20000000:1|['Si', '70 mm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|Si|||N||||||.|||||Si|Si|||5 ms||N|"Altre caratteristiche
Source data-sheet .
Miglioramento dell'immagine SmartImage"|||||W-LED|LCD|Full HD|||20 - 80 %|||100 - 240 V||
Philips Philips S231C4AFD 00 S231C4AFD 00 Planet Computer.it||||7,7 cm|||||1|Si|||||||||Si|N|Kensington|8 GB||||||||Si|||Nero, Ciliega|||||||||||Si||||||||||||||||||623 x 463 x 125 mm|||"58,42 cm (23"")"|||||NVIDIA Tegra|16:9|Si||||Si||||||||||||||N|N|N|N|N|N|N|N|N|N|N|N||||-20 - 60 °C|0 - 40 °C|56,3 cm||||Si||250 cd/m²||||||1 MP||Si|Si||||Si|N||||4|||||5 kg||6,74 kg||||||||4W|T33||39,3 cm||||||1|1|2||1|2 GB||20 - 80%|||||Si|1920 x 1080 Pixels|||||||||Android 4.2||||||||Flash|||||Dual-touch||||||SD, SDHC, SDXC|Stazione di lavoro|DDR3-SDRAM||||Si||||1,6 GHz|||
Samsung Samsung S27D390H LS27D390HS EN Planet Computer.it||||37,63 cm|45,3 cm|43,7 cm|||||||||178°|178°||||||||||||||||||16,77M|||No||||||||||||||||||||||||||||"68,58 cm (27"")"||Lucida||||||||||||||||||||||||||||||||||||||||62,52 cm|62,52 cm|69,4 cm||||300 cd/m²|||||||||||No||||||||||||4,3 kg||6 kg|4,7 kg||||||||||7,96 cm|20,98 cm|13,2 cm||||||||||||1000:1|Contrasto Mega||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||PLS||5 ms|||||||||LED|Full HD||||||||
Aoc AOC I2473PWM I2473PWM Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M|||No||||||||||||||||||||||||||||"60,45 cm (23.8"")"|60,5 cm||0,2745 x 0,2745 mm|||16:9||||||||||Si|||||||||||||||||||||||50 - 76 Hz|||||||||250 cd/m²|||||||||||Si|||||||||||||||||||||||||||||||||||||30 - 83 kHz||1000:1|50000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||5 ms|||||||||LED|Full HD||||||||
Philips Philips 221P3LPYES P-line 54,6 cm  21,5   Monitor LED 221P3LPYES 00 Planet Computer.it|Si|||323 mm|220 mm||||1|Si||||-65 - 65 °|176 °|170 °|||Kensington||||||||RoHS|Si|||||Argento|16.77 M||100 x 100 mm|N||Si|||Oro|3.5 mm|||17.8 W||13.5 W||0.5 W||||||||||||565 x 377 x 262 mm|||"546.1 mm (21.5 "")"|||0.248 x 0.248 mm|||16:9|N|50/60 Hz||||||||Si||-5 - 20 °||Si|||Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|507 mm|507 mm||Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||2||9||Si||3.51 kg||7.43 kg|5.64 kg|||0 - 90 °|Si|||3 W|||59 mm|487 mm|||1|1|||4||1||30 - 83 kHz||1000:1||['Si', '130 mm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si|||N||||20000000:1||.|||||Si|Si|||5 ms||N|||||||LCD|Full HD|||20 - 80 %|||100 - 240 V||
Benq Benq BL2211M 9H.LATLA.TPE Planet Computer.it||||414 mm|||||1|Si|||||170 °|160 °||||N||||Si|||Windows 8||Non specificato|N|||Nero|||100 x 100 mm|N||||TCO 6.0|||N||26 W||0.3 W|||||||||||||||||"558.8 mm (22 "")"|||0.28 x 0.28 mm|||16:10|N||||||N|||Si||-5 - 20 °|Si||Si|Si||||||||||||||||||||522.15 mm||||N||250 cd/m²||||||||N|||N||Si||||1||17||Si||4.2 kg||5.3 kg||||||Si||2 W|||183.94 mm|||1|||||||1||||1000:1|12000000:1|N|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|N||||N|||Si|||||N|||||TN+Film||5 ms||N|"Altre caratteristiche
Cavo alimentazione incluso Si
Quantità 1"||||||LED|HD-ready||||||90 - 264 V||
Philips Philips 241P4QRYES 241P4QRYES 00 Planet Computer.it||||353 mm|521 mm|422 mm|||||||||178 °|178 °||||||||||||||||||16.77 M|||||||||||||||||||||||||||||||61 cm|||0.276 x 0.276 mm|||16:9||||||||||Si|||||||||||||||||||||||56 - 75 Hz|||565 mm|565 mm|626 mm||||250 cd/m²|||||||||||||||||||||||3.1 kg||7.93 kg|5.3 kg||||||||||61 mm|220 mm|273 mm||||||||||30 - 83 kHz||3000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||A-MVA||12 ms||||||||W-LED|LCD|Full HD||||||||
Hp Hewlett Packard HP Z30i D7P94A4 ABB Planet Computer.it||Si||44,98 cm|60,1 cm|||||No||||-45 - 45°|178°|178°|||Kensington||||DisplayPort, DVI, USB||||CE, CB, CEL, KC, KCC, NOM, PSB, Ghiaccio, TUV-S, CCC, CECP, SEPA, TCO 6.0, EPA, ISC, VCCI, FCC, HSMI|Si|Non specificato|No|||Nero|16,77M|||No|||||Oro||No||85W||||0,5W|125W|||||Si|"Multimedia
Sintonizzatore TV integrato No
Altoparlanti incorporati No
Fotocamera integrata No"||||||||75,78 cm|||0,250 x 0,250 mm|||16:10|No|50/60 Hz|24 - 98 kHz|50 - 70 Hz|||Si|Si||Si||-5 - 20°|Si|Si|Si|||||||||||||||||Si|60 - 70 Hz|-20 - 60 °C|5 - 40 °C|69,03 cm|69,03 cm||Si|||350 cd/m²||Si|||||||||||Si||||||||Si||7,56 kg||13,73 kg|9,96 kg|||0 - 90°|Si|Si|||||6,63 cm|26,64 cm|||1|1||1||5|1||31 - 80 kHz|20 - 80%|1000:1|5000000:1|['Si', '12 cm']|||2560 x 1600 Pixels||||Si||||No||Si|Si||||||||||IPS||8 ms||No||"Performance
Sistema operativo Windows supportato Si
Sistema operativo Linux supportato Si"||||W-LED|LED|||10 - 85%||||100 - 240V||
Lenovo Lenovo ThinkVision LT2013s 60ABAAT1IT Planet Computer.it||||274.8 mm|342.4 mm|||||N|||||170 °|160 °|||Kensington||||AC, VGA||||RoHS|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||17 W|||0.5 W|0.5 W|||"Design
Colore del prodotto Nero"||||||433.9 mm|236.3 mm|||||"495.3 mm (19.5 "")"|||0.27 x 0.26 mm|||16:9|N|||||||||||-5 - 22 °|Si|Si||||||||||||||||||||||467 mm|467 mm||Si|||200 cd/m²|||||||||||||Si||||||8||Si||2.5 kg||||||||N|||||53 mm|160.7 mm|||||||||1||||600:1|500000:1|N|||1600 x 900 Pixels|||640 x 350, 720 x 400, 832 x 624, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1366 х 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)|||||N|||Si|||.|||||||TN+Film||5 ms||N|"Altre caratteristiche
Source data-sheet ."|||||W-LED|LCD|||||||||
Benq Benq VW2245Z 9H.LAHLA.RPE Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M|||No||||||||||||||||||||||||||||"54,61 cm (21.5"")"|||0,248 x 0,248 mm|||16:9||||||||||Si||||||||||||||||||||||||||||||||250 cd/m²||||||||||||||||||||||||||||||||||||||||||||||||||3000:1|2000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||LCD||25 ms|||||||||LED|Full HD||||||||
Philips Philips 241S4LSB Display Full HD S-line 61 cm  24   Monitor LCD|Si|||352 mm|437 mm|476 mm||||N|||||170 °|160 °|||Kensington||||||||BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE|Si|||||Nero|16.77 M||100 x 100 mm|N||Si|||||||18.9 W||12 W|0.1 W|0.1 W|||||||||531.4 mm|298.9 mm|||||61 cm|||0.276 x 0.276 mm||||N|50/60 Hz|30 - 83 kHz|56 - 75 Hz||Si||||Si||-5 - 20 °||Si||||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|565 mm|565 mm|605 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²||||||||||SmartImage|||Si||30000 h||||8|1 pezzi|Si||4.1 kg||6.8 kg|4.9 kg||||Si||Orizzontale||||55 mm|207 mm|139 mm|||1|||||1|||20 - 80 %|1000:1|20000000:1||||1920 x 1080 Pixels||1920 x 1080 Pixels|1920 x 1080 (HD 1080)||Si||EPEAT Gold, RoHS, PVC / BFR free, Mercury free, Lead free|N|||Si|||.|||||Si|Si|||5 ms||N||||||W-LED|LED|Full HD||||||100 - 240 V||
Philips Philips 190BL1CB 190BL1CB 00 Planet Computer.it||||3050 mm|422 mm|||||Si||||-45 - 45 °|170 °|160 °||408.24 x 255.15 mm|Kensington|||||||||Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||11.4 W||7.7 W||0.3 W||||||||||||508 x 485 x 172 mm|||48.3 cm|||0.283 x 0.283 mm|||16:10|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz|||Si|||Si||-5 - 20 °|Si|||||||||||||||||||||-20 - 60 °C|0 - 40 °C|436 mm|436 mm||||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30.000 h||2||8||Si||3.04 kg|||4.12 kg|||||||2 W|||68 mm|201 mm||||1|||1||1||||1000:1|20000000:1|['70 mm', 'Si']|||1440 x 900 Pixels|||1440 x 900 (WXGA+)||Si|||N||||||.|||||Si|Si|||5 ms||N|"Altre caratteristiche
Source data-sheet .
Dimensioni imballo (LxPxA) 508 x 485 x 172 mm
Area di visualizzazione effettiva 408.24 x 255.15 mm"||||||LED|N||||||100 - 240 V||
Philips Philips 271P4QPJKEB Display Full HD P-line da 68,6 cm  27   Monitor LCD AMVA||||405 mm|580 mm|234 mm|||1|Si||||-65 - 65 °|178 °|178 °||597.89 x 336.15 mm|Kensington||||||||TCO edge, RoHS|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N||Si||BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE|Oro||||27.6 W||||0.3 W||||Digitale|||"Condizioni ambientali
Umidità relativa 20 - 80 %
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 0 - 40 %"||||||||68.6 cm|||0.311 x 0.311 mm|||16:9|Si|50/60 Hz||||||||Si|Si|-5 - 20 °||Si|Si|Si||||||||||||||||Si|56 - 75 Hz|-20 - 60 °C||639 mm|639 mm|750 mm|Si|||300 cd/m²|||||2 MP|||Si||||1080p|Si||30000 h||2||||Si||5.1 kg||10.35 kg|7.5 kg||||Si|||4 W|||64 mm|242 mm|490 mm||1|1||1|3||1||30 - 83 kHz|0 - 40 %|5000:1|20000000:1|['Si', '150 mm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||||||Si|||.|||||Si|Si|A-MVA||12 ms||N||||||W-LED|LCD|Full HD|||20 - 80 %|Si||100 - 240 V||
Samsung Samsung S32D850T LS32D85KTSN EN Planet Computer.it||||44,1 cm|63 cm|53,7 cm|||1|No||||-30 - 30°|178°|178°|||||||DisplayPort, DVI, HDMI, USB|||||Si|||||Nero, Grigio|1060M||100 x 100 mm|||Si|||||||95W||46W||0,45W|100W||||||||||||||"81,28 cm (32"")"||||||16:9|No|50/60 Hz|||||Si|Si||||-5 - 20°|Si|||||||||||||||||||||||74,13 cm|74,13 cm|86 cm||||||Si|||||||||||Si|||||||||"Sistema operativo Windows supportato Si
Compatibilità sistema operativo Mac Si"|9,4 kg||17500g|12200g|||||Si|||||6,85 cm|28 cm|35,6 cm||1|||1||4|||||3000:1|Contrasto Mega|['Si', '13 cm']|||2560 x 1440 Pixels|||2560 x 1440|Si||||No|||Si||||||||||||5 ms||No|||||||LED|Wide Quad HD||||||100 - 240V||
Philips Philips 221B3LPCS 02 LED display 221B3LPCS 02 Planet Computer.it||||323 mm|480 mm|361 mm|||1|Si|||||176 °|170 °|||Kensington||||||||BSMI, CE-Zeichen, FCC, GOST, SEMKO, TCO 5.1, TÜV/GS, TÜV Ergo, UL/cUL RoHS|Si|Non specificato|N|||Argento|16.77 M|N|100 x 100 mm||||"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %"||Oro||N||17.8 W||||0.1 W|||||||||476.6 mm|268.1 mm|||||54.6 cm|||0.248 x 0.248 mm||||N|50/60 Hz||||||||Si|N|-5 - 20 °|Si|||Si|Si||||||||||||||N||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|507 mm|507 mm|568 mm||N|CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²||||||||N|||||Si||30000 h||2||8||Si||3.4 kg||7.12 kg|||||Si|||3 W|||59 mm|227 mm|186 mm|||1|||2||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1|['Si', '110 mm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si|||N||||||.|||||Si|Si|||5 ms||N|"Connettività
Common interface Plus (CI+) N
Interfaccia comune N
Ingresso audio per PC Si
Quantità porte DVI-D 1
Quantità porte VGA (D-Sub) 1
Altoparlante / Cuffia / spinotto di uscita 1
Quantità porte USB 2.0 2
Uscita audio Si
Ingresso audio Si"||N|||W-LED|LED|Full HD||||Si||100 - 240 V|N|
Aoc AOC E960SRDA LED display E960SRDA Planet Computer.it|Si|||405.1 mm||||||Si|||||170 °|160 °|||Kensington|N|||||||CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, RoHS, TCO 5.0, TÜV-GS|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N|||||Argento||N||22 W|||0.5 W|0.5 W|||||||"Connettività
Microfono, spinotto d'ingresso N
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si"||376 mm|301 mm|||||48.3 cm|||0.294 x 0.294 mm|140 MHz||5:4|N||30 - 80 kHz|50 - 76 Hz|||N|||N||-5 - 15 °|Si|||||||||||||||||||Si||||409.2 mm||||N||250 cd/m²||||||||N|N||||Si||||1||||Si||2.85 kg|||4.2 kg||||Si||||||210 mm|||||1|||||1||||1000:1|20000000:1|N|||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|N||||N||||||.|||||||||5 ms||N|||N||||LED|||||||90 - 240 V||
Philips Philips 19B4LCB5 19B4LCB5 00 Planet Computer.it||||34,6 cm|50,6 cm|44,8 cm|0 - 3658m|0 - 12192m|1|Si|Source data-sheet|||-65 - 65°|170°|160°|||Kensington|N|||||||Energy Star 6.0, RoHS|Si|Non specificato|N|||Nero|16,77M||100 x 100 mm|N|||||Argento||N||14W||9W|0,1W|0,1W|||||||"Multimedia
Potenza in uscita (RMS) 3W
Sintonizzatore TV integrato N
Altoparlanti incorporati Si
Subwoofer incorporato N
Fotocamera integrata N
Numero di altoparlanti 2"||37,632 cm|30,106 cm|||||48,3 cm|||0,294 x 0,294 mm|||5:4|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz|||Si|||||-5 - 20°|Si|Si|||Si|||||||||||||||||-20 - 60 °C|0 - 40 °C|40,4 cm|40,4 cm|46 cm||||250 cd/m²||Si|||||||||||Si||30000h||2||21||Si||2,71 kg||6,48 kg|4,61 kg|||0 - 90°|Si|||3W|||6,1 cm|22,7 cm|15,9 cm|||1|||||1||||1000:1|20000000:1|['11 cm', 'Si']|||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si||||N||||||||N|||Si|Si|||5 ms||||||||W-LED|LCD||||20 - 80%|||100 - 240V||
Aoc AOC E2460PQ E2460PQ Planet Computer.it|Si||||39,36 cm|42,1 cm||||Si|||"Thin Client
Thin client installato No"||170°|160°|||Kensington|No|||AC, Audio (3.5mm), DVI, VGA||||CE, CU, Energy Star 6.0, EPEAT Gold, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety|Si|Non specificato|No|||Bianco|16,77M||100 x 100 mm|No|||||Oro||||22W|||0,5W|0,5W|||||||||53,136 cm|29,889 cm|||||61 cm|||0,276 x 0,276 mm|||16:9||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||Si||Si|Si||-5 - 22°|Si|Si|Si|||||||||||||||||Si||||56,54 cm|56,54 cm|69,3 cm|Si|||250 cd/m²||||||||||||1080p|Si||||||||Si||||8,23 kg|6,38 kg||||Si|Si||2W||||24,35 cm|18,7 cm||1|1|||||1||||1000:1|50000000:1|['Si', '13 cm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||||||||||||||||TN||2 ms||No||||||W-LED|LED|Full HD||||||100 - 240V||No
Philips Philips 190SL1SB 190SL1SB 00 Planet Computer.it||||305 mm|372 mm|||||N|||||170 °|160 °|||Kensington||||||||BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.2, TUV/GS, TUV Ergo, UL/cUL, WEEE|Si|||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||11.4 W||7.7 W||0.3 W|||||||||408.24 mm|255.15 mm||488 x 420 x 141 mm|||48.3 cm|||0.283 x 0.283 mm|||16:10|N|50/60 Hz||||||||Si||-5 - 20 °|Si||||||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|436 mm|436 mm||||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||||9||Si||3.04 kg|||3.31 kg||||Si||||||68 mm|183 mm||||1|||||1||30 - 83 kHz||1000:1|20000000:1|N|||1440 x 900 Pixels|||1440 x 900 (WXGA+)||Si|||N||||||.|||||Si|Si|||5 ms||N|"Altre caratteristiche
Source data-sheet .
Dimensioni imballo (LxPxA) 488 x 420 x 141 mm"||||||LED|N|||20–80 %|||100 - 240 V||
