3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|depth|depth with stand|digital zoom|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|image sensor|input voltage|interfacesports|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|multitouch screen|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|resolution|response time|screen mode|screen size|screen surface|serial port|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|touchscreen|touchscreen type|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|"Nec Display Multisync Ea193mi-bk 19"" Led Lcd Monitor - 5:4 - 6 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Sxga - Speakers - Dvi - Vga - Displayport - 18 W - Black - Epeat Silver, Rohs, Energy Star 6.0, Tco Certified Displays 6.0 - (EA193MI-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|5:4|LED|NEC Display|250 cd/mÂ²|Speaker|ISO 9241-307 Class I|Black|16.7 Million Colors||||1,000:1||"2.6"" (66 mm)"|"8.4"" (213.4 mm)"|||Yes|Yes|Cable Management, AccuColor, Eco Mode, Carbon Footprint Meter, Sync on Green, Ambient Light Sensor||EPEAT Silver, RoHS, ENERGY STAR 6.0, TCO Certified Displays 6.0|Yes|Yes|||"13.3"" (337.8 mm)"|"19.5"" (495.3 mm)"||178Â°||||3 Year|NEC Display Solutions|EA193MI-BK|http://www.necdisplay.com||1280 x 1024||||1|||18 W|"19"" LED-backlit Desktop Monitor w/ IPS Panel and Integrated Speakers Setup Sheet User Manual Power Cord 15-pin D-sub Cable DVI Cable Audio Cable"|||Advanced High Performance In-plane Switching (AH-IPS) Technology|||MultiSync|EA193MI-BK|"19"" LED-backlit Desktop Monitor w/ IPS Panel and Integrated Speakers"|EA|LCD Monitor||||6 ms|SXGA|"19"""|||Yes|75 Hz|350 mW||||||||178Â°|Yes|100 x 100|Yes||3.99 kg|5.99 kg|"16.1"" (408.9 mm)"|"16.1"" (408.9 mm)"
|"Planar Pt1975r 19"" Lcd Touchscreen Monitor - 5 Ms - 5-wire Resistive - 1280 X 1024 - 16.7 Million Colors - 800:1 - 300 Nit - Dvi - Usb - Vga - Black - 3 Year - (997-5973-00) - SoftwareCity.ca - Canada"|||||||Planar|300 cd/mÂ²|||Black|16.7 Million Colors|PCMAC|||800:1||"2.7"" (68.6 mm)"|"10.5"" (266.7 mm)"||||Yes|||RoHS|Yes||||"14.6"" (370.8 mm)"|"16"" (406.4 mm)"||160Â°||110 V AC, 220 V AC||3 Year|Planar Systems, Inc|997-5973-00|http://www.planar.com||1280 x 1024|||||||45 W|PT1975R Touchscreen LCD MonitorPower CordVGA CableRS-232 CableDVI CableUSB Cable (A to B)Audio-in CableDriver CDUser's GuideQuick Start Guide|||||||PT1975R|PT1975R Touchscreen LCD Monitor||LCD Touchscreen Monitor||||5 ms|SXGA|"19"""|||||4 W||||Yes|5-wire Resistive|Yes||160Â°|Yes|100 x 100|Yes||6.40 kg|8.90 kg|"17.2"" (436.9 mm)"|"17.2"" (436.9 mm)"
|"Hp Pavilion 20xi 20"" Led Lcd Monitor - 16:9 - 7 Ms - 1600 X 900 - 250 Cd/mÂ² - 1,000:1 - Hd+ - Dvi - Vga - (C4D33AA#ABA) - SoftwareCity.ca - Canada"|||||16:9|LED|HP|250 cd/mÂ²||||||||1,000:1|||||||Yes|Security Lock||||Yes||||||178Â°|||||Hewlett-Packard|C4D33AA#ABA|http://www.hp.com/ca||1600 x 900||||1|||||||In-plane Switching (IPS) Technology|||Pavilion|20xi|Pavilion 20xi IPS LED Backlit Monitor||LCD Monitor||||7 ms|HD+|"20"""||||60 Hz|||||||||178Â°|||Yes||2.80 kg|||
|"Asus Vk228h-csm 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 80,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Usb - 25 W - Black - Energy Star, Tco Certified Displays 5.2, Erp, J-moss (japanese Rohs), Weee, Rohs, Epeat Gold - (VK228H-CSM) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus|250 cd/mÂ²|Webcam, Speaker|UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIWHQL|Black|16.7 Million Colors||||80,000,000:1||"1.9"" (48.4 mm)"|"7.9"" (200.6 mm)"||||Yes|Splendid Video Intelligence Technology, Security Lock||ENERGY STAR, TCO Certified Displays 5.2, ErP, J-Moss (Japanese RoHS), WEEE, RoHS, EPEAT Gold|Yes|Yes|Yes|Yes|"15.2"" (387.2 mm)"|"15.2"" (387.2 mm)"||170Â°||110 V AC, 220 V AC||3 Year|ASUS Computer International|VK228H-CSM|http://www.asus.com||1920 x 1080|Wall Mountable|||1|2|500 mW|25 W|VK228H-CSM Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card||||PC|||VK228H-CSM|VK228H-CSM Widescreen LCD Monitor|VK|LCD Monitor||||5 ms|Full HD|"21.5"""|||Yes|76 Hz|500 mW||||||Yes||160Â°|Yes|100 x 100|Yes||3.10 kg||"20.2"" (514.1 mm)"|"20.2"" (514.1 mm)"
|"Benq Gl2450ht 24"" Led Lcd Monitor - 16:9 - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 42 W - Glossy Black - Energy Star 6.0, Tco Certified Displays 5.2, Rohs, Epeat Silver - (GL2450HT) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|BenQ|250 cd/mÂ²|Speaker||Glossy Black|16.7 Million Colors||||1,000:1||"2.5"" (63 mm)"|"8.4"" (213 mm)"||||Yes|Senseye 3, Security Lock, Eco Mode||ENERGY STAR 6.0, TCO Certified Displays 5.2, RoHS, EPEAT Silver|Yes|Yes|Yes|Yes|"13.8"" (350 mm)"|"19.8"" (502 mm)"||170Â°||110 V AC, 220 V AC||3 Year|BenQ Corporation|GL2450HT|http://www.benq.ca||1920 x 1080|Wall Mountable|||1|2||42 W|GL2450HT Widescreen LCD MonitorVGA Cable||||PC|||GL2450HT|GL2450HT Widescreen LCD Monitor||LCD Monitor||||2 ms|Full HD|"24"""|||Yes|76 Hz|300 mW||||||||160Â°|Yes|100 x 100|Yes||5.10 kg||"22.8"" (579 mm)"|"22.8"" (579 mm)"
|"Benq Vw2430h 24"" Led Lcd Monitor - 16:9 - 4 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 3,000:1 - Full Hd - Dvi - Hdmi - Vga - 40 W - White - Tco Certified Displays 6.0 - (VW2430H) - SoftwareCity.ca - Canada"||Yes|No||16:9|LED|BenQ|250 cd/mÂ²|||White|16.7 Million Colors||||3,000:1||"7.5"" (190.5 mm)"|||||Yes|Security Lock, Senseye 3, Eco Mode||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|"16.8"" (426.7 mm)"|||178Â°||110 V AC, 220 V AC||3 Year|BenQ Corporation|VW2430H|http://www.benq.ca||1920 x 1080|Wall Mountable|||1|||40 W|||||PC, Mac|||VW2430H|VW2430H Widescreen LCD Monitor|VW|LCD Monitor||||4 ms|Full HD|"24"""|||No||300 mW||||||||178Â°|Yes|100 x 100|Yes||4.50 kg||"22.3"" (566.4 mm)"|
|"Planar Pt1510mx Touch Screen Monitor - 15"" - 5-wire Resistive - 4:3 - White - (997-3394-00) - SoftwareCity.ca - Canada"|Mount Type: 75mm VESA||||4:3||Planar|190 cd/mÂ²|Speaker|UL/cUL FCC-B CE-B CCC|White|16.7 Million Colors||||500:1||"2.2"" (55.9 mm)"|"7.5"" (190.5 mm)"|||||||China RoHS, RoHS, TÃV|Yes||||"12.3"" (312.4 mm)"|"15.3"" (388.6 mm)"||140Â°||120 V AC, 230 V AC||3 Year|Planar Systems, Inc|997-3394-00|http://www.planar.com||1024 x 768|||||||30 W|||||PC, Mac|||PT1510MX|PT1510MX Touch Screen Monitor|PT|LCD Touchscreen Monitor||||8 ms|XGA|"15"""|Anti-glare|Yes|Yes|60 Hz|5 W||||Yes|5-wire Resistive|Yes||125Â°|Yes|75 x 75|Yes||3.58 kg|4.72 kg|"15.9"" (403.9 mm)"|"15.9"" (403.9 mm)"
|"Nec Display Multisync E171m-bk 17"" Led Lcd Monitor - 5:4 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - 1,000:1 - Sxga - Speakers - Dvi - Vga - 12 W - Black - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Silver, Rohs - (E171M-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|5:4|LED|NEC Display|250 cd/mÂ²|Speaker|ISO 13406-2 Class II|Black|16.7 Million Colors||||1,000:1||"9.1"" (231.1 mm)"|"2.4"" (61 mm)"||||Yes|AccuColor, Display Power Management Signaling (DPMS), Ambient Light Sensor, OSD/Power Lock, Carbon Footprint Meter, Intelligent Power Manager (IPM) System, Eco Mode, Cable Management||ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Silver, RoHS|Yes|Yes||Yes|"16.1"" (408.9 mm)"|"12.6"" (320 mm)"|81.10 kHz|176Â°||||3 Year|NEC Display Solutions|E171M-BK|http://www.necdisplay.com||1280 x 1024|Arm-mountable|||1||150 mW|12 W|"17"" Desktop Monitor with LED Backlighting Setup Sheet User Manual Power Cord 15-pin D-sub Cable Audio Cable"|||Twisted Nematic Film (TN Film)|PC||MultiSync|E171M-BK|"17"" Desktop Monitor with LED Backlighting"|E|LCD Monitor||||5 ms|SXGA|"17"""|Anti-glare||Yes|76 Hz|150 mW||||||||170Â°|Yes|100 x 100|Yes||2.99 kg|4.22 kg|"14.5"" (368.3 mm)"|"14.5"" (368.3 mm)"
|"Planar Pxl2470mw 24"" Edge Led Lcd Monitor - 16:9 - 14 Ms - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Hdmi - Vga - Displayport - 26 W - Rohs - (997-7346-00) - SoftwareCity.ca - Canada"|||||16:9|Edge LED|Planar|250 cd/mÂ²||||16.7 Million Colors||||1,000:1||"1.6"" (40.1 mm)"|"7.9"" (199.4 mm)"|||Yes|||Click to view|RoHS|Yes||Yes||"13.1"" (333.2 mm)"|"15.7"" (399.5 mm)"||||||3 Year|Planar Systems, Inc|997-7346-00|http://www.planar.com||1920 x 1080||||1|||26 W|"PXL2470MW 24"" LCD Monitor 12V DC AC Adaptor Power Cord VGA Cable DisplayPort Cable Audio Cable User's Guide"|||||||PXL2470MW|"PXL2470MW 24"" LCD Monitor"||LCD Monitor||||14 ms|Full HD|"24"""|||Yes|||||||||||Yes||Yes||3.22 kg|3.54 kg|"22.1"" (561.3 mm)"|"22.1"" (561.3 mm)"
|"Lg 24mp55hq-p 23.8"" Led Lcd Monitor - 16:9 - 5 Ms - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 5,000,000:1 - Full Hd - Hdmi - Vga - 22 W - High Glossy Black - Tco Certified Displays 6.0, Epeat Gold - (24MP55HQ-P) - SoftwareCity.ca - Canada"|||||16:9|LED|LG|250 cd/mÂ²|||High Glossy Black|16.7 Million Colors||||5,000,000:1||"2.2"" (55 mm)"|"7.4"" (188 mm)"|||No|No|Reading Mode, Flicker-free, Super Energy Saving||TCO Certified Displays 6.0, EPEAT Gold|Yes||Yes||"13.1"" (332 mm)"|"17.3"" (440 mm)"|83 kHz|178Â°||||3 Year|LG Electronics|24MP55HQ-P|http://www.lg.com/ca||1920 x 1080|Wall Mountable|||1||300 mW|22 W||||In-plane Switching (IPS) Technology|PC|||24MP55HQ-P|24MP55HQ-P Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"23.8"""|Anti-glare|||75 Hz|300 mW|||-3Â°to20Â°|||||178Â°|Yes|100 x 100|Yes||3.10 kg||"21.4"" (544 mm)"|"21.4"" (544 mm)"
|"Asus Vs248h-p 24"" Led Lcd Monitor - 16:9 - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 50,000,000:1 - Full Hd - Dvi - Hdmi - Vga - 32 W - Glossy Black - Energy Star, Rohs, Weee - (VS248H-P) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus|250 cd/mÂ²||CELUL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Glossy Black|16.7 Million Colors||||50,000,000:1||"8.1"" (205.5 mm)"|||||Yes|||ENERGY STAR, RoHS, WEEE|Yes|Yes|Yes|Yes|"16.2"" (412.3 mm)"|||170Â°||||3 Year|ASUS Computer International|VS248H-P|http://www.asus.com||1920 x 1080|Wall Mountable|||1||500 mW|32 W|VS248H-P Widescreen LCD MonitorDVI CableVGA CablePower CordQuick Start GuideWarranty Card||||PC|||VS248H-P|VS248H-P Widescreen LCD Monitor|VS|LCD Monitor||||2 ms|Full HD|"24"""||||76 Hz|500 mW||||||||160Â°|Yes|100 x 100|Yes||4.10 kg||"22.6"" (573.2 mm)"|
|"Lg 22mb35pu-b 22"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 5,000,000:1 - Full Hd - Speakers - Dvi - Vga - Usb - 27 W - Black Hairline - TÃ¼v, Epeat Gold, Tco Certified Displays 6.0 - (22MB35PU-B) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|LG|250 cd/mÂ²|||Black Hairline|16.7 Million Colors||||5,000,000:1||"5.7"" (144.8 mm)"|"8.8"" (223.5 mm)"|||No|Yes|Super Energy Saving, Reading Mode, Flicker-free, Intelligent Auto||TÃV, EPEAT Gold, TCO Certified Displays 6.0|Yes|Yes|No||"12"" (304.8 mm)"|"18.2"" (462.3 mm)"|83 kHz|170Â°||120 V AC, 230 V AC||3 Year|LG Electronics|22MB35PU-B|http://www.lg.com/ca|"4.3"" (110 mm)"|1920 x 1080||||1||300 mW|27 W||||Twisted Nematic Film (TN Film)|PC|||22MB35PU-B|22MB35PU-B Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"22"""|Anti-glare||Yes|75 Hz|300 mW|||-5Â°to20Â°|||Yes||160Â°|Yes|100 x 100|Yes||2.90 kg||"20"" (508 mm)"|"20"" (508 mm)"
|"Viewsonic Va2349s 23"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Nit - 2,000:1 - Full Hd - Dvi - Vga - 22 W - Energy Star, Epeat Gold - (VA2349S) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Viewsonic|250 cd/mÂ²||||||||2,000:1||"2"" (49.9 mm)"|"8.4"" (213.5 mm)"||||Yes|Eco Mode, Security Lock||ENERGY STAR, EPEAT Gold|Yes||||"13.3"" (339 mm)"|"15.6"" (395.1 mm)"|82 kHz|178Â°||||3 Year|Viewsonic Corporation|VA2349S|http://www.viewsonic.com||1920 x 1080|Wall Mountable|||1|||22 W||||In-plane Switching (IPS) Technology|PC|||VA2349s|VA2349s Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"23"""|Anti-glare|||75 Hz|||||||||178Â°|Yes|100 x 100|Yes||3.50 kg|3.90 kg|"21.6"" (548.4 mm)"|"21.6"" (548.4 mm)"
|"Acer G196hql 18.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1366 X 768 - 16.7 Million Colors - 200 Nit - 100,000,000:1 - Wxga - Vga - 15 W - Black - Mpr Ii - (UM.XG6AA.002) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|200 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1||"1.3"" (33.5 mm)"|"6.7"" (169.2 mm)"|||||||MPR II|Yes||||"10.9"" (277.3 mm)"|"12.9"" (327.5 mm)"||90Â°||110 V AC, 220 V AC|||Acer, Inc|UM.XG6AA.002|http://www.acer.ca||1366 x 768||||1||400 mW|15 W|G196HQL Widescreen LCD Monitor1 x VGA CablePower Cord|||||||G196HQL|G196HQL Widescreen LCD Monitor|G|LCD Monitor||||5 ms|WXGA|"18.5"""|Anti-glare|||60 Hz|450 mW||||||||65Â°|||Yes||1.70 kg|2.23 kg|"17.6"" (446.4 mm)"|"17.6"" (446.4 mm)"
|"Nec Display Multisync Ea223wm 22"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1680 X 1050 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Wsxga+ - Speakers - Dvi - Vga - Displayport - Usb - 25 W - Energy Star 5.1, Tco Certified Displays 5.2, Epeat Silver, Rohs - (EA223WM-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|LED|NEC Display|250 cd/mÂ²|Speaker, USB Hub|ISO 9241-307 Class I||16.7 Million Colors||||1,000:1||"2.4"" (61 mm)"|"8.6"" (218.4 mm)"|||Yes|Yes|Ambient Light Sensor, Carbon Footprint Meter, AccuColor, Security Lock||ENERGY STAR 5.1, TCO Certified Displays 5.2, EPEAT Silver, RoHS|Yes|Yes|||"13"" (330.2 mm)"|"20.2"" (513.1 mm)"||178Â°||||3 Year|NEC Display Solutions|EA223WM-BK|http://www.necdisplay.com||1680 x 1050||||1|||25 W|"22"" LED-Backlit Desktop Monitor W/Adjustable StandAdjustable StandSetup SheetUser ManualPower Cord15-pin D-Sub CableDVI-D CableUSB CableAudio CableControlSync Cable"||||||MultiSync|EA223WM|"22"" LED-Backlit Desktop Monitor W/Adjustable Stand"|EA|LCD Monitor||||5 ms|WSXGA+|"22"""|||Yes|75 Hz|400 mW||||||Yes|USB 2.0|178Â°|Yes|100 x 100|Yes||3.31 kg|5.58 kg|"19.8"" (502.9 mm)"|"19.8"" (502.9 mm)"
|"Philips S-line 220s4lsb 22"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1680 X 1050 - 16.7 Million Colors - 250 Cd/mÂ² - 20,000,000:1 - Wsxga+ - Dvi - Vga - 15.70 W - Textured Black - Epeat Gold, Energy Star 5.0, Weee, Tco Certified Displays 5.2, Rohs - (220S4LSB/27) - SoftwareCity.ca - Canada"||Yes|||16:10|LED|Philips|250 cd/mÂ²||BSMI CE Mark FCC Class B GOST SASO SEMKO TUV Ergo TUV GS UL cUL|Textured Black|16.7 Million Colors||||20,000,000:1||"2.3"" (59 mm)"|"8.1"" (207 mm)"||||Yes|SmartPower, SmartContrast, TrueVision, Touch Controls, SmartImage, SmartControl, Sync on Green, Security Lock||EPEAT Gold, ENERGY STAR 5.0, WEEE, TCO Certified Displays 5.2, RoHS|Yes|Yes|||"13.7"" (349 mm)"|"17.1"" (434 mm)"||170Â°||110 V AC, 220 V AC|||Philips Electronics|220S4LSB/27|http://www.philips.com||1680 x 1050||||1||100 mW|15.70 W|||||PC||S-line|220S4LSB|LCD Monitor, LED Backlight with SmartImage||LCD Monitor|Yes|25%||5 ms|WSXGA+|"22"""||||60 Hz|100 mW|||-5Â°to20Â°|||||160Â°|Yes|100 x 100|Yes||3.38 kg|4.45 kg|"19.8"" (504 mm)"|"19.8"" (504 mm)"
|"Lg 24m35d-b 24"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 200 Cd/mÂ² - 5,000,000:1 - Full Hd - Dvi - Vga - 19 W - Black - (24M35D-B) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|LG|200 cd/mÂ²|||Black|16.7 Million Colors||||5,000,000:1||"3.9"" (98 mm)"|"8.5"" (215 mm)"||||Yes|Reading Mode, Super Energy Saving, Flicker-free, Cable Management, Dual Monitor Support, Dual Web, Intelligent Auto, Key Lock, Dual-screen Display||||Yes|||"12.4"" (314 mm)"|"17.2"" (438 mm)"||170Â°|||||LG Electronics|24M35D-B|http://www.lg.com/ca||1920 x 1080||||1||300 mW|19 W||||Twisted Nematic Film (TN Film)|PC|||24M35D-B|24M35D-B Widescreen LCD Monitor|3|LCD Monitor||||5 ms|Full HD|"24"""|Anti-glare, Anti-reflective||||300 mW|||3Â°to20Â°|||||160Â°|Yes|100 x 100|Yes||2.70 kg|3 kg|"21.9"" (556 mm)"|"21.9"" (556 mm)"
|"Viewsonic Vg2039m-led 20"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1600 X 900 - 250 Cd/mÂ² - 1,000:1 - Hd+ - Speakers - Dvi - Vga - Displayport - Usb - 17 W - Rohs, Reach, Epeat Silver, Energy Star - (VG2039M-LED) - SoftwareCity.ca - Canada"||Yes|Yes||16:9|LED|Viewsonic|250 cd/mÂ²|Speaker, USB Hub|UL/cULFCC-BSVHC ListISO 9001ISO 14001TUV NORD||||||1,000:1||90.6 mil (2.30 mm)|"0.4"" (9.8 mm)"|||Yes|Yes|MultiScreen, Security Lock, Eco Mode||RoHS, REACH, EPEAT Silver, ENERGY STAR|Yes|Yes||Yes|"0.4"" (10.9 mm)"|"0.6"" (15 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VG2039m-LED|http://www.viewsonic.com||1600 x 900|Wall Mountable|||1|2||17 W|"20"" (19.5"" Viewable) Ergonomic LED MonitorPower CableVGA Video CableDVI CableAudio CableUSB CableQuick Start GuideViewSonic Wizard CD"||||PC, Mac|||VG2039m-LED|"20"" (19.5"" Viewable) Ergonomic LED Monitor"||LCD Monitor||||5 ms|HD+|"20"""|Anti-glare||Yes|60 Hz|||||||Yes||160Â°|Yes|100 x 100|Yes||2.63 kg|3.67 kg|"0.7"" (18.4 mm)"|"0.7"" (18.4 mm)"
|"Viewsonic Value Va2342-led 23"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Nit - 1,000:1 - Full Hd - Dvi - Vga - 22 W - Black - China Energy Label (cel), Rohs, Weee, Energy Star 5.0, Epeat Silver - (VA2342-LED) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Viewsonic|250 cd/mÂ²||ULCULFCC-B (ICES)CBCCCNOMCETUV|Black|||||1,000:1||"1.5"" (38.1 mm)"|"7.9"" (200.7 mm)"||||Yes|Security Lock||China Energy Label (CEL), RoHS, WEEE, ENERGY STAR 5.0, EPEAT Silver|Yes|Yes|||"13.1"" (332.7 mm)"|"16.9"" (429.3 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VA2342-LED|http://www.viewsonic.com||1920 x 1080|Wall Mountable|||1|||22 W|"VA2342-LED 23"" Full HD 1080p LED MonitorPower AdapterPower CableVGA Video CableViewSonic Wizard CD-ROMQuick Start Guide"||||PC, Mac||Value|VA2342-LED|"VA2342-LED 23"" Full HD 1080p LED Monitor"||LCD Monitor||||5 ms|Full HD|"23"""|Anti-glare|||60 Hz|||||||||160Â°|Yes|100 x 100|Yes||2.27 kg|2.54 kg|"21.6"" (548.6 mm)"|"21.6"" (548.6 mm)"
|"Planar La1500r 15"" Open-frame Lcd Monitor - 8 Ms - 1024 X 768 - 250 Cd/mÂ² - 600:1 - Xga - Vga - 30 W - Black - Rohs, TÃ¼v - (997-5803-02LF) - SoftwareCity.ca - Canada"|||||||Planar|250 cd/mÂ²||UL FCC-B CE-B|Black|||||600:1||"1.8"" (46 mm)"||||||||RoHS, TÃV|Yes||||"10.6"" (270 mm)"|||160Â°||110 V AC, 220 V AC||3 Year|Planar Systems, Inc|997-5803-02LF|http://www.planar.com||1024 x 768|Arm-mountable, Wall Mountable|||1|||30 W|LA1500R Open Frame Display Mounting Brackets||||Mac, PC|||LA1500R|LA1500R Open Frame Display|LA|Open-frame LCD Monitor||||8 ms|XGA|"15"""|Anti-glare|||75 Hz|2 W||||||||160Â°|Yes|75 x 75|Yes||3.58 kg||"14.2"" (360 mm)"|
|"Viewsonic Va2451m-led 24"" Led Lcd Monitor - 16:9 - 5 Ms - 1920 X 1080 - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Vga - 32 W - Weee, Rohs, Energy Star, Epeat Silver, Erp, Reach - (VA2451M-LED) - SoftwareCity.ca - Canada"|||||16:9|LED|Viewsonic|250 cd/mÂ²||CECBUL/c ULFCC-BULARGOST-R/HygienicUkrSEPRO + DoCCCCCEL Level 1BSMIPSBC-tickSASOe-standbyKC||||||1,000:1||"7.8"" (199.3 mm)"|||||Yes|Security Lock||WEEE, RoHS, ENERGY STAR, EPEAT Silver, ErP, REACH|Yes||||"16.4"" (417.2 mm)"||82 kHz|170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VA2451m-LED|http://www.viewsonic.com||1920 x 1080|Wall Mountable|||1|2||32 W|||||PC, Mac|||VA2451m-LED|"24"" Full HD 1080p LED Monitor"||LCD Monitor||||5 ms|Full HD|"24"""|Anti-glare||Yes|75 Hz|||||||||160Â°|Yes|100 x 100|Yes||4 kg||"22"" (559.7 mm)"|
|"Philips 246v5lhab 24"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Hdmi - Vga - 21.75 W - Glossy Black - Energy Star 6.0, Rohs, Epeat Silver, Weee, Tco Certified Displays - (246V5LHAB/27) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Philips|250 cd/mÂ²|Speaker|BSMI CE Mark cETLus FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307|Glossy Black|16.7 Million Colors||||1,000:1||"2.5"" (63 mm)"|"9.4"" (238 mm)"|||||SmartContrast, Security Lock, Sync on Green||ENERGY STAR 6.0, RoHS, EPEAT Silver, WEEE, TCO Certified Displays|Yes||Yes|Yes|"13.9"" (354 mm)"|"17.1"" (435 mm)"||170Â°||110 V AC, 220 V AC|||Philips Electronics|246V5LHAB/27|http://www.philips.com||1920 x 1080||||1|2|500 mW|21.75 W|||||PC, Mac|||246V5LHAB|LCD Monitor with SmartControl Lite|V|LCD Monitor||||5 ms|Full HD|"24"""|||Yes|60 Hz|300 mW||||||||160Â°|Yes|100 x 100|Yes||4.22 kg|4.65 kg|"22.2"" (565 mm)"|"22.2"" (565 mm)"
