3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|LH4780SB-B1, II-LH4780SB-B1, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|iiyama|450 cd/m²|USB Hub||Matte Black|1.07 Billion Colors|Yes||4,000:1||620 mm|||Yes|Yes|||['Picture by Picture', 'Picture in Picture']|||||Yes|||||178°|['110 V AC', '220 V AC']||iiyama North America, Inc|LH4780SB-B1||1920 x 1080||Yes|1|2||||||In-plane Switching (IPS) Technology|||ProLite|LH4780SB-B1|ProLite LH4780SB-B1 Widescreen LCD Monitor||LCD Monitor|||6.50 ms|Full HD|"119.4 cm (47"")"||||Yes|||Yes|||||Yes|USB 2.0|178°|Yes|600 x 400|Yes||23 kg||1060 mm|
|60002936, 3967409, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/m²||TUV GSFCC Class BPCT/GostUL/C-UL / CSACCCISO 9241-307 (class I)|Black|16.7 Million Colours|||1,000:1||48.3 mm|215.90 mm||Yes|Yes|||['Cable Management', 'Ambient Light Sensor', 'Carbon Footprint Meter', 'Off Timer', 'AccuColor']||['MPR III', 'ENERGY STAR 5.0', 'EPEAT Gold', 'MPR II', 'RoHS']|Yes|Yes|||317.5 mm|510.54 mm||176°|['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60002936||1920 x 1080|||1|||31 W|||||PC||MultiSync|EX231W|"23"" Widescreen Ultra Slim Desktop Monitor"||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|370 mW||||||||170°|Yes|100 x 100|||2.80 kg|4.20 kg|541 mm|541.02 mm
|UM.FG7EE.001, 3054998, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No||16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||38 mm|186 mm|||Yes|33 kWh|A|ComfyView||['ENERGY STAR', 'MPR II', 'ECO']|Yes||Yes||329 mm|411 mm||178°|['230 V AC', '120 V AC']|2 Year|Acer, Inc|UM.FG7EE.001||1920 x 1080|||1||300 mW|40 W|LED Monitor G247HL 1 x VGA cable Power cord|||Vertical Alignment (VA)||||G247HL|LED Monitor G247HL||LCD Monitor|||6 ms|Full HD|"61 cm (24"")"|||||60 Hz|450 mW|||||-5°to15°|||178°|||Yes||||546 mm|546 mm
|BDL3210Q/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|Edge LED|Philips|350 cd/m²|['Speaker', 'USB Hub']|CEFCC Class BCCCUL/cULC-Tick||16.7 Million Colours|Yes|Yes|1,200:1||56.8 mm||Landscape|||||3D Comb Filter||RoHS|Yes||Yes||462.7 mm|||178°||3 Year|Philips Electronics|BDL3210Q/00||1366 x 768|||1|2||100 W|"LED Display BDL3210Q 80cm (31.5"") Edge LED HD ReadyRemote ControlBatteriesAC Power CordVGA CableUser Manual on CD-ROMQuick Start Guide"||||PC|||BDL3210Q|"LED Display BDL3210Q 80cm (31.5"") Edge LED HD Ready"||LCD Monitor|||8 ms|WXGA|"80 cm (31.5"")"||||Yes|60 Hz|500 mW||||||Yes|USB 2.0|178°|Yes|200 x 100|Yes||8.05 kg||745.2 mm|
|9H.LAHLA.TPE, 3083085, BenQ, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|BenQ|250 cd/m²|||Black|16.7 Million Colours|||20,000,000:1||178.5 mm||||Yes|||['Eye-Care', 'Security Lock', 'Senseye 3', 'Ultra Slim', 'Flicker-free']||||Yes|||382.2 mm|||178°|['110 V AC', '220 V AC']||BenQ Corporation|9H.LAHLA.TPE||1920 x 1080|||1||500 mW|||||Vertical Alignment (VA)|PC|||VW2245Z|VW2245Z Widescreen LCD Monitor|V40|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"||||||500 mW||||||||178°|||Yes||2.70 kg||506 mm|
|BDL:K1428V140-UK, FP24W-6LEDIPS, Fujitsu Siemens Computers, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|Fujitsu|300 cd/m²|['Speaker', 'USB Hub']|ISO9241-307 (Pixel fault class I)EN 60950CETÜV GSGOST-R (planned)FCC Class BcULVCCISASO|Marble Grey|16.7 Million Colours|||1,000:1||65 mm|197 mm|Portrait|Yes|Yes|||Auto Brightness Control (ABC)||['EPEAT Gold', 'WEEE', 'TCO Certified Displays 6.0', 'ENERGY STAR 5.0', 'IT Eco Declaration', 'RoHS']|Yes|Yes|||368 mm|395 mm||178°|['110 V AC', '220 V AC']|3 Year|Fujitsu|BDL:K1428V140-UK||1920 x 1200|Wall Mountable||1|2|500 mW|36 W|P24W-6 Widescreen LCD MonitorDisplayPort Data Cable 1.8 mDVI-D Data Cable 1.8 mD-SUB Data Cable 1.8 mAudio Cable 1.8 mUSB-cable 1.8 m (USB-A to USB-B)Power Cable 1.8 mQuickstart FlyerUtility CDWarranty BookletSafety Booklet|||In-plane Switching (IPS) Technology|PC|||P24W-6|P24W-6 Widescreen LCD Monitor|P|LCD Monitor|||5 ms||"61 cm (24"")"|Anti-glare|||Yes|76 Hz|||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||4.20 kg||559 mm|559 mm
|221S3LSB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Philips|250 cd/m²||BSMICEFCC Class BGOSTSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||59 mm|201 mm|||Yes|||['SmartTouch', 'SmartPower']||['EPEAT Silver', 'ENERGY STAR', 'TCO Certified Displays 5.1', 'RoHS']|Yes|Yes|||323 mm|402 mm||176°|['110 V AC', '220 V AC']|2 Year|Philips Electronics|221S3LSB/00||1920 x 1080|||1||100 mW|16.81 W|||||['Mac', 'PC']||Brilliance|221S3LSB|Brilliance 221S3LSB Widescreen LCD Monitor|S|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|100 mW||||||||170°|Yes|100 x 100|Yes||3.44 kg|3.85 kg|507 mm|507 mm
|24MB35PY-B, 2975557, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|LG|250 cd/m²|Speaker||Matte Black|16.7 Million Colours|||5,000,000:1||63.5 mm|271.78 mm||Yes|Yes|||Super Energy Saving|||||No||342.9 mm|431.80 mm|83 kHz|178°|||LG Electronics|24MB35PY-B|120 mm|1920 x 1080|Wall Mountable||1|2||24 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||24MB35PY-B|24MB35PY-B Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"61 cm (24"")"||||Yes|||||||-5°to20°|Yes||178°|Yes|100 x 100|Yes||4.72 kg||569 mm|568.96 mm
|HP205DJB, V320104, Hannspree, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:9|LED|Hanns.G|250 cd/m²|Speaker||Black||||80,000,000:1||||||Yes||||||||||||||||Hannspree, Inc|HP205DJB||1600 x 900|||1|||||||||||HP205DJB|HP205DJB Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||Yes||||||||||160°|Yes|100 x 100|Yes|||||
|VA2214S, B921501, ViewSonic, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Viewsonic|250 cd/m²||CE CB Nemko ERGO CU UkrSEPRO BSMI CCC PSB C-Tick KC Gost-R/Hygienic SASO UL / cUL FCC-B|Black|16.7 Million Colours|||3,000:1||52.7 mm|189.90 mm|||Yes|||['Security Lock', 'Eco Mode']||['ENERGY STAR', 'TCO Certified Displays', 'WEEE', 'ErP', 'RoHS', 'REACH']|Yes||||309.4 mm|391.80 mm||178°|['220 V AC', '110 V AC']|2 Year|Viewsonic Corporation|VA2214S||1920 x 1080|Wall Mountable||1|||23 W|VA2214S Widescreen LCD Monitor Power Cable VGA Cable CD-ROM Quick Start Guide Base Instruction Guide|||MVA technology|['Mac', 'PC']|||VA2214S|VA2214S Widescreen LCD Monitor|Value|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"|||||75 Hz|||||||||178°|Yes|100 x 100|Yes||2.61 kg|2.82 kg|511.1 mm|511.10 mm
|VE247H, ASUCAS019, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Asus|300 cd/m²|Speaker||Black|16.7 Million Colours|||10,000,000:1||201 mm||||Yes|||||||Yes|Yes||409.7 mm|||170°|||ASUS Computer International|VE247H||1920 x 1080|Wall Mountable||1|2||34.90 W|||||PC|||VE247H|VE247H Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"59.9 cm (23.6"")"||||Yes||900 mW||||||||160°|Yes|100 x 100|Yes||4.40 kg||569.4 mm|
|271S4LPYSB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Philips|300 cd/m²||BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||64 mm|224 mm||Yes|Yes|||['PowerSensor', 'Security Lock', 'SmartImage', 'TrueVision']||['WEEE', 'RoHS', 'EPEAT Gold', 'TCO Certified Edge', 'ENERGY STAR 5.0', 'TCO Certified Displays 5.2']|Yes|Yes|||405 mm|484 mm||170°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|271S4LPYSB/00||1920 x 1080|||1||100 mW|20.30 W|||||['Mac', 'PC']||Brilliance|271S4LPYSB|LCD Monitor, LED Backlight with PowerSensor|S|LCD Monitor|Yes|25% Plastic|5 ms|Full HD|"68.6 cm (27"")"|||||60 Hz|300 mW||||||||160°|Yes|100 x 100|Yes||5 kg|5.90 kg|639 mm|639 mm
|C9V75AA#ABT, HP, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|USB Hub|CE CB KC KCC NOM PSB Ice TUV S CCC SEPA ISC VCCI FCC BSMI|Black|16.77 Million Colors|||1,000:1||51 mm|242.40 mm||Yes|Yes|||Security Lock||['China Energy Label (CEL)', 'REACH', 'EPA', 'TCO Certified Edge', 'EPEAT Gold', 'ENERGY STAR', 'CECP']|Yes|Yes|||329 mm|469.90 mm||170°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|C9V75AA#ABT||1920 x 1080|Wall Mountable|No|1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable Power Cord Printed Documentation And CD HP Display Assistant Software||||PC||Business|E231|EliteDisplay E231 23-inch LED Backlit Monitor|Advantage|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||No|60 Hz|500 mW||||||Yes|USB 2.0|160°|Yes||Yes|No|3.90 kg|6.10 kg|544 mm|544 mm
|LH46EDCPLBC/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Samsung|350 cd/m²|Speaker|||1.07 Billion Colors|||5,000:1||94.8 mm||||||||||||Yes||615.8 mm|||178°|['110 V AC', '220 V AC']|3 Year|Samsung|LH46EDCPLBC/EN||1920 x 1080|||1|2|500 mW|121 W||||||||ED46C|LFD Display||LCD Monitor||||Full HD|"116.8 cm (46"")"||||Yes|60 Hz|500 mW||||||Yes||178°|Yes|400 x 400|Yes||11.90 kg||1057.7 mm|
|UM.CV6EE.001, 8654L29, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:10|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||190.5 mm|||||||||TCO '06|Yes||||378.5 mm|||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.CV6EE.001|No|1440 x 900|||1||350 mW|13 W|V196WL Widescreen LCD Monitor1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)||||V196WL|V196WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|Anti-glare||||60 Hz|450 mW||No|||-5°to25°|||160°|Yes|100 x 100|Yes||2.70 kg|3.10 kg|439.4 mm|
|E2083HSD-B1, IIYE2083HSDB, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|iiyama|250 cd/m²|Speaker|CE TUV-GS VCCI-B GOST-R|Black|16.7 Million Colours|||1,000:1||203 mm||||Yes|||Security Lock||['TCO Certified Displays', 'ENERGY STAR']|Yes|Yes||Yes|360 mm|||170°|['220 V AC', '110 V AC']||iiyama North America, Inc|E2083HSD-B1||1600 x 900|Wall Mountable||1|2||15 W||||Twisted Nematic Film (TN Film)|['PC', 'Mac']||ProLite|E2083HSD|ProLite E2083HSD Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||Yes|75 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||2.70 kg||469.5 mm|
|60003490, NECPA242WB, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|NEC Display|350 cd/m²|USB Hub|CE TÜV Ergonomics TÜV GS C-tick FCC Class B PCT/Gost UL/C-UL CSA CCC ISO 9241-307 PCBC/B-mark PSB|Black|1.07 Billion Colors|||1,000:1||85 mm|227.60 mm|Landscape/Portrait|Yes|Yes|||['Cable Management', 'OmniColor', 'Picture by Picture', 'Security Lock', 'Picture in Picture']||['RoHS', 'MPR III', 'ErP', 'MPR II']|Yes||Yes||362.4 mm|528 mm||178°|['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60003490||1920 x 1200|||1|||56 W|"LCD 24"" Professional Desktop Display Power Cable Sales Office List User Manual Mini DisplayPort cable DVI-D - DVI-D cable"|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC||MultiSync|PA242W-BK|"LCD 24"" Professional Desktop Display"|Professional|LCD Monitor|||6 ms|WUXGA|"61.2 cm (24.1"")"|||||60 Hz|||||||Yes||178°|Yes|200 x 100|Yes||7.40 kg||556.8 mm|556.80 mm
|859-10178, DELS2340L, Dell, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Dell|250 cd/m²||EMC|Black|16.7 Million Colours|||1,000:1||37.8 mm|4.47 m||||||Security Lock||['EPEAT Silver', 'ENERGY STAR']|Yes||Yes||297.7 mm|398.78 mm||178°|['220 V AC', '110 V AC']|1 Year|Dell, Inc|859-10178||1920 x 1080|||1||500 mW|24 W|"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI Power Cable and Adapter Adapter Cable VGA Cable Velcro Strap Drivers & Documentation Media Quick Setup Guide Product and Safety Information Guide"|||In-plane Switching (IPS) Technology|PC|||S2340L|"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI"||LCD Monitor|||7 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|||||||||178°|||Yes||2.95 kg|3.91 kg|532.1 mm|532.13 mm
|A1X76AA#ABU, 94389XM, HP, LCD Monitor, Kingsfield Computer Products Ltd||||No|4:3|LED|HP|300 cd/m²|['USB Hub', 'Speaker']|UL CB CE FCC ICES BSMI CCC SEPA CECP C-Tick S-Mark VCCI ISO 11469 ISO 1043 ISO 14001|Jack Black||||1,000:1||40.6 mm|||Yes|Yes|||Security Lock||['REACH', 'Eco-label', 'ENERGY STAR', 'IT Eco Declaration', 'EPEAT Gold', 'WEEE', 'China Energy Label (CEL)']|Yes|Yes|||208.3 mm|||176°|['110 V AC', '220 V AC']||Hewlett-Packard|A1X76AA#ABU||1024 x 768|||1|2|500 mW|18 W||Retail|||PC|||L6010|L6010 10.4-inch Retail Monitor||LCD Monitor|Yes|15.7% Plastic|25 ms|XGA|"26.4 cm (10.4"")"|['Anti-static', 'Anti-glare']|||Yes|60 Hz|1 W||||||Yes|USB 2.0|176°|Yes|75 x 75|Yes||1.20 kg||254 mm|
|220B4LPCS/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|['Speaker', 'USB Hub']|BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|['Silver', 'Black']|16.7 Million Colours|||1,000:1||59 mm|227 mm|||Yes|||['TrueVision', 'PowerSensor', 'SmartImage', 'SmartErgoBase', 'Security Lock']||['TCO Certified Displays 5.2', 'TCO Certified Edge', 'EPEAT Gold', 'ENERGY STAR 5.0', 'RoHS']|Yes|Yes||Yes|349 mm|509 mm||170°|['110 V AC', '220 V AC']||Philips Electronics|220B4LPCS/00||1680 x 1050|||1|2||15.80 W|||||['Mac', 'PC']|65%|Brilliance|220B4LPCS|Brilliance LCD monitor, LED Backlight With PowerSensor|B|LCD Monitor|Yes|Plastic|5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|60 Hz|300 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.38 kg|5.20 kg|504 mm|504 mm
|UM.PB0EE.001, 3168192, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:9|LED|Acer|300 cd/m²|Speaker||Black|16.7 Million Colours|||100,000,000:1||64.5 mm|244.70 mm||Yes|Yes|63 kWh|B|['EcoDisplay Technology', 'ComfyView', 'ErgoStand', 'Flicker-free', '6-axis Color Adjustment', 'Picture in Picture', 'Picture by Picture', 'Mobile High-Definition Link (MHL)']||['EPEAT Gold', 'TCO Certified Displays 6.0', 'ENERGY STAR', 'ECO']|Yes|Yes|Yes||381.8 mm|558.50 mm||170°|['230 V AC', '120 V AC']|3 Year|Acer, Inc|UM.PB0EE.001||3840 x 2160|||1|2|350 mW|35.50 W|LED Monitor CB280HK 1 x DVI cable 1 x Display cable Power cord|||Twisted Nematic Film (TN Film)||||CB280HK|LED Monitor CB280HK||LCD Monitor|||1 ms|QFHD|"71.1 cm (28"")"|Anti-glare|||Yes|60 Hz|450 mW|||||-5°to35°|||160°|||||||658.7 mm|658.70 mm
|HS241HPB, V320109, Hannspree, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Hanns.G|250 cd/m²|Speaker|FCC UL/CUL CE CB 3C GS|Black|16.7 Million Colours|||80,000,000:1||220 mm||||Yes|||['Eco Mode', 'Security Lock']||['China Energy Label (CEL)', 'TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes|Yes||399 mm|||178°|['120 V AC', '230 V AC']|3 Year|Hannspree, Inc|HS241HPB||1920 x 1080|Wall Mountable||1|2|||HS241HPB Widescreen LCD Monitor Power Cable (1.5M) VGA Cable (1.5M) Audio Cable (1.5M) User Manual(CD) Quick Start Guide(Paper)|||In-plane Switching (IPS) Technology|PC|||HS241HPB|HS241HPB Widescreen LCD Monitor|HS|LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"|Anti-glare|||Yes|60 Hz||||||-5°to15°|||178°|Yes|100 x 100|Yes||4.50 kg||561 mm|
|E2773HS-GB1, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No||16:9|LED|iiyama|300 cd/m²|Speaker|CUTUV BauartPSECEVCCI-B|Black|16.7 Million Colours|||1,200:1||239 mm||||Yes|||['Security Lock', 'X-Res Technology']||ENERGY STAR|Yes|Yes|Yes|Yes|454.5 mm|||170°|['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|E2773HS-GB1||1920 x 1080|['Wall Mountable', 'Desk Mountable']||1|2||29 W|ProLite E2773HSStandCable GuideQuick Start GuideSafety GuidePower CableVGA Cable (D-Sub)DVI CableAudio Cable||||['PC', 'Mac']||ProLite|E2773HS|ProLite E2773HS||LCD Monitor|||1 ms|Full HD|"68.6 cm (27"")"||||Yes|76 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||5.30 kg||647 mm|
|D7P53AT#ABU, 2845819, HP, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|HP|300 cd/m²|USB Hub|CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC HSMI|Black||||1,000:1||64.5 mm|237.90 mm||Yes|Yes|||Security Lock||['WEEE', 'TCO Certified Displays 6.0', 'CECP', 'REACH', 'EPEAT Gold', 'ENERGY STAR', 'China Energy Label (CEL)', 'TCO Certified Edge', 'EPA']|Yes|Yes|||365 mm|525 mm||178°|['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|D7P53AT#ABU||1920 x 1200|||1|||55 W|Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor AC Power Cord USB Cable DisplayPort Cable Documentation CD HP Display Assistant Software|||In-plane Switching (IPS) Technology|PC||Business|Z24i|Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor|Performance|LCD Monitor|||8 ms|WUXGA|"61 cm (24"")"|Anti-glare||||60 Hz|500 mW||||||Yes|USB 2.0|178°|Yes||Yes|||6.96 kg|559.4 mm|559.40 mm
|9H.LANLB.DWE, M352416, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No||16:9|LED|BenQ|250 cd/m²|||White|16.7 Million Colours|||3,000:1||193 mm||||Yes|||['Security Lock', 'Senseye 3']||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|392 mm|||178°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LANLB.DWE||1920 x 1080|Wall Mountable||1|||28 W|VW2235H Widescreen LCD Monitor Phone/Card Docking|||Vertical Alignment (VA)|['Mac', 'PC']|||VW2235H|VW2235H Widescreen LCD Monitor|VW|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW||||||||178°|Yes|100 x 100|Yes||3.90 kg||513 mm|
|272P4QPJKEB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Philips|300 cd/m²|['USB Hub', 'Webcam', 'Microphone']||||||1,000:1|||||Yes|Yes|||SmartImage||['ENERGY STAR', 'EPEAT Gold', 'TCO Certified Edge']|Yes||Yes|||||178°|['220 V AC', '110 V AC']||Philips Electronics|272P4QPJKEB/00||2560 x 1440|||1||||||||['Mac', 'PC']|||272P4QPJKEB|272P4QPJKEB Widescreen LCD Monitor||LCD Monitor|||6 ms|QHD|"68.6 cm (27"")"||||||||||||Yes|USB 3.0|178°|Yes|||||||
|UM.XV6EE.A03, 8654G57, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||191 mm|||||||||['MPR II', 'ENERGY STAR']|Yes||||353.1 mm|||90°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.XV6EE.A03|No|1366 x 768|||1||350 mW|11.90 W|V196HQL Widescreen LCD Monitor1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)||||V196HQL|V196HQL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|SXGA|"47 cm (18.5"")"|Anti-glare||||60 Hz|450 mW||No|||-5°to25°|||65°|Yes|100 x 100|Yes||2.32 kg|2.72 kg|447 mm|
|UM.WW3EE.005, 3183424, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||52 mm|207 mm|||Yes|29 kWh|A|||MPR II|Yes||Yes||304.5 mm|390.50 mm||90°|['120 V AC', '230 V AC']|2 Year|Acer, Inc|UM.WW3EE.005||1920 x 1080|||1||350 mW|18.10 W|K222HQL Widescreen LCD MonitorPower Cord1 x VGA Cable|||Twisted Nematic Film (TN Film)||||K222HQL|K222HQL Widescreen LCD Monitor|K|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||No|60 Hz|450 mW||No|||-5°to25°|||65°|||Yes||2.70 kg|3.10 kg|508 mm|508 mm
|9H.LAXLB.HBE, M352388, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|BenQ|250 cd/m²|||Black|16.7 Million Colours|||1,000:1|||213 mm|||Yes|||['Senseye 3', 'Security Lock']||TCO Certified Displays 5.2|Yes|Yes|Yes|Yes||502 mm||170°|['110 V AC', '220 V AC']||BenQ Corporation|9H.LAXLB.HBE||1920 x 1080|Wall Mountable||1|||42 W||||Twisted Nematic Film (TN Film)|PC|||BL2405HT|BL2405HT Widescreen LCD Monitor|BL|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||||300 mW||||||||160°|Yes|100 x 100|Yes||5.10 kg|||579 mm
|LS27C45UDS/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9||Samsung|300 cd/m²|USB Hub|UL: UL 60950 1CSA: CSA C22.2 No.. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC: FCC Part 15, Subpart B Class ACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||56.7 mm|224 mm||Yes|Yes|||['MagicRotation', 'Off Timer', 'Eco Saving', 'MagicTune', 'MagicBright 3', 'MagicAngle']||['EPEAT Gold', 'TCO Certified Displays', 'ENERGY STAR']|Yes||No||378.1 mm|532.80 mm||170°|['220 V AC', '110 V AC']|3 Year|Samsung|LS27C45UDS/EN||1920 x 1080|Wall Mountable||1|||30 W|S27C450D Widescreen LCD MonitorD-sub CableUSB CablePower CordQuick Installation GuideInstallation CDElectronic Manual||||PC|||S27C450D|S27C450D Widescreen LCD Monitor|450|LCD Monitor|Yes|Plastic|5 ms|Full HD|"68.6 cm (27"")"||||No||300 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||4.55 kg|6.20 kg|639 mm|639 mm
|LH32EDCPLBC/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Samsung||Speaker||Black|16.7 Million Colours|||||93.7 mm||||No||||||||Yes||434.5 mm||||['220 V AC', '110 V AC']|3 Year|Samsung|LH32EDCPLBC/EN||1920 x 1080|||1||500 mW|77 W||||||||ED32C|LFD Display||LCD Monitor||||Full HD|"81.3 cm (32"")"||||Yes|60 Hz|500 mW||||||Yes|||Yes|200 x 200|Yes||6 kg||736 mm|
