3d compatibility|<page title>|ac adapter included|ac power in|annual energy consumption|anschlüsse|aspect ratio|audio input|audio output|auflösung empfohlen|backlight type|bezel width bottom|bezel width side|bezel width top|bildformat|blickwinkel horizontal|blickwinkel vertikal|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|camera included|card reader integrated|certification|colour|colour of product|common interface ci|common interface plus ci|compatible memory cards|compatible with vesawall mounting system|compliance industry standards|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h|dimensions w x d x h with stand|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displaygröße|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|eigenschaften|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan connection|farbe allgemein|farbe herstellerspezifisch|feet colour|full hd|gewicht netto|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height with stand|helligkeitleuchtstärke|horizontal scan range|input frequency|input voltage|io ports|kontrastverhältnis|lcd paneltechnologie bzw tm |led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|megapixel|microphone in|mobile highdefinition link mhl|netzteil|nonoperating altitude|number of colours|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating relative humidity range|operating temperature range tt|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption|power consumption active|power consumption average|power consumption economy mode|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|prüfzeichenzertifikatezulassungen|quantity|quick start guide|reaktionszeit|relative humidity|response time|rms rated power|rotating|safety|screen saving functions|separate hv sync|signalart|standby led|storage relative humidity hh|storage relative humidity range|storage temperature range tt|storage temperature tt|strahlungsnorm|supported graphics resolutions|supported video modes|svideo in|svideo inputs quantity|swivel|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|user guide on cdrom|vertical scan range|vesa bohrung|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported|wireless lan connection
|273E3LHSB/00 - Philips E-line 273E3LHSB - LED - Xpcpro.com||||DVI-D mit HDCP, D-Sub 15 pol., HDMI mit HDCP||||1.920 x 1.080|||||Wide 15:9/16:9/16:10|178 °|170 °|||||||||||||||||||||||||||||||||||||||||"68.6 cm 27 """|||||||||||||||||8,2 kg||||||||||||||300 cd/qm|||||1200 :1|Standard-TFT||||||||||||||||||||||||||||||||||||||||||||||||||||||4 ms|||||||||||||||||||||||||||||||||||||||||||||||||||
N|S26361-K1485-V160 - Fujitsu B20T-6 LED proGREEN  - Xpcpro.com|||||16:9|Y|Y||||||||||N||Y||Kensington||||CE 2004/108/EEC, EN 60950, RoHS, WEEE, IT-EcoB20T-6, TÜV GS, TCO 5.2, EPEAT, ISO9241-307||Black|||||||||2000000:1|1000:1||60 mm|168 mm|||||LCD|250 cd/m²|"20 """|50.8 cm|16.77 M|1600 x 900 pixels|Y||TNFilm|||||Y|1|||||Unspecified|Y|Gold||||||||||N|Y||||3.5 mm|||294 mm|Y|321 mm||30 - 82 kHz|50/60 Hz|100 - 240 V||||||||||70000 h||||||||19||Y|ARA, CHI SIMPL, CHI TR, CZE, DAN, DEU, DUT, ENG, ESP, FIN, FRE, ITA, JPN, NOR, POL, POR, RUS, SWE, TUR|Y|||||5 - 35 °C||6100 g|||||||Y||0.2766 x 0.2766 mm||||||||0.36 W||0.36 W|16.6 W|||||||Y|||5 ms|3 W||||Y||||||||1280 x 1024 SXGA, 1280 x 768 WXGA, 1440 x 900 WXGA, 640 x 480 VGA, 800 x 600 SVGA||||||-170 - 170 °||Y||N|Y|-5 - 35 °|N|||||56 - 76 Hz||100 x 100 mm|1|||442.8 mm|249.1 mm|170 °|170 °||Y|2600 g|4200 g|475 mm|475 mm|||
N|"P1X19QV0E11-A3 - Neovo X19,  LCD monitor 19"",  - Xpcpro.com"||Y|- kWh||5:4||||||||||||N||N||Kensington||||||Black, White|||||||1||3000:1|||175 mm||||||LCD|300 cd/m²|"19 """||- M|1024 x 1024 pixels|||||||||1|||||-|-|-||||||N|||||N|||||||419 mm|N||||||||||||||||||||||||1 pcs|||Y|||||||||||||||||Horizontal|Y||||||||- W|- W||||||||||3 ms||||Y|||||||||1280 x 1024 SXGA||1||||||||N|||N|||||||Unspecified mm||||||170 °|160 °||Y|7900 g||444 mm||||
|"UM.FB6EE.009 - Acer B246HLymdr LED monitor 24"" - Xpcpro.com"||||DVI-I mit HDCP, D-Sub 15 pol.||||1.920 x 1.080|||||Wide 15:9/16:9/16:10|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"61 cm 24 """||||||Pivot drehbar 90°, höhenverstellbar, Speaker, LED Backlight||||||||darkgrey|||7,6 kg||||||||||||||250 cd/qm|||||1000 :1|TN Film|||||||||||intern||||||||||||||||||||||||||||||||||||||||FCC, ISO 9241-307, CE, TÜV-GS|||5 ms||||||||digital/analog||||||TCO 06||||||||||||||||||||100 x 100 mm|||||||||||||||||
|T2252MTS-B3 - Iiyama T2252MTS-B3 54,7CM 21,5IN LED - Xpcpro.com||||D-Sub 15 pol., USB, DVI-D, 2x DVI-D mit HDCP||||1.920 x 1.080||||||170 °|160 °|||||||||||||||||||||||||||||||||||||||||"54.6 cm 21.5"""|||||||||||||schwarz||||5.100 kg||||||||||||||220 cd/qm|||||1000 :1|TN|||||||||||intern|||||||||||||||||||||||||||||||||||||||||||2 ms||||||||||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
|X2485WS-B1 - Iiyama ProLite X2485WS LED monitor - Xpcpro.com|||||16:10||||||||||||N||Y||Kensington||||||Black|||||||||3000:1|1000:1||216.5 mm||||||LCD|300 cd/m²|"24.1 """||16.77 M|1920 x 1200 pixels|||IPS||||1||1||||||Y|||||||N|||||Y|||||||449 mm|N|||30 - 94 kHz|50/60 Hz|100 - 240 V|||||||||||||||||2 pcs|||||||||||||||||||||0.270 x 0.270 mm|||||||||||36 W||||||||||5 ms|1.5 W||||Y||||||||||||||||||N||-5 - 22 °|N|||||50 - 75 Hz||100 x 100 mm|1|||518.4 mm|324 mm|178 °|178 °||Y|4600 g||561 mm||||
N|"60003587 - NEC MultiSync EA234WMi  LED monitor 23"" - Xpcpro.com"|||||16:9||||W-LED||||||||N||Y||Kensington|Audio 3.5mm, USB|||||Black|||||||||25000:1|1000:1||218 mm||31.5 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"23 """|58.4 cm|16.77 M|1920 x 1080 pixels|Y||TFT||||1|Y|1|||||Unspecified|Y|Gold||||||||||Full HD|Y||1||||1|380.4 mm|Y|||||||||||||Y|||||||||2|||Y||||||||||||||||||0.265 x 0.265 mm||Y|||||||16 W|0.5 W|22 W|||||||Y|||6 ms|1 W||||||||||||1280 x 960, 1400 x 900, 1680 x 1056, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1280 x 768 WXGA, 1360 x 768 WXGA, 1366 768, 1400 x 1050 SXGA, 1440 x 900 WXGA, 1600 x 1200 UXGA, 1920 x 1080 HD 1080, 640 x 480 VGA, 800 x 600 SVGA||||||-170 - 170 °||Y||N|Y|-5 - 30 °|N|1||||||100 x 100 mm|1|||||178 °|178 °||Y|6400 g||543.8 mm||||
N|VA2445M-LED - ViewSonic VA2445m-LED, LED monitor - Xpcpro.com||Y|||16:9||||W-LED|||||||N|N||Y|N|Kensington|AC, Audio 3.5mm, VGA|||||Black|||||||||10000000:1|1000:1||50.4 mm|211.2 mm|24 - 82 kHz|50 - 75 Hz||||250 cd/m²|"23.6 """|||1920 x 1080 pixels|||||||||1|||||Unspecified|Y|||N||||||||Full HD||||||1||350.9 mm|N|350.9 mm|||50/60 Hz|100 - 240 V||||||||Y||30000 h|||||||2||||||||10 - 90 %|0 - 40 °C|||5430 g|123 mm|440 mm|628 mm|||||||||||||||||22 W|||||||Y|||5 ms|4 W||||||||||||1920 x 1080 HD 1080|1080p||||||||||Y|-5 - 20 °|N|||||||100 x 100 mm|1|||||170 °|160 °||Y|3720 g|400.9 g|571.4 mm|571.4 mm|||N
N|X2380HS-B1 - Iiyama ProLite X2380HS-1, LED monitor - Xpcpro.com|||||16:9||||||||||||N||Y||Kensington|AC, DVI, VGA|||CE, TUV-GS, TÜV-Bauart, VCCI-B, CU, TCO 6||Black|||||||||10000000:1|1000:1||213.5 mm||24 - 80 kHz|56 - 75 Hz|||LCD|300 cd/m²|"23 """||16.77 M|1920 x 1080 pixels||||||||Y|1|||||Unspecified|Y|||||||||||Full HD|Y||1|||||388.5 mm|||||50/60 Hz|100 - 240 V|||||||||||||||||2|||Y||||||||||||||||||0.2652 x 0.2652 mm||Y||||||||0.5 W|26 W||||||||||5 ms|4 W||||||||||||1920 x 1080 HD 1080||||||||||N|Y||N|||||||100 x 100 mm|1|||509.18 mm|286.41 mm|178 °|178 °||Y|5800 g||548.5 mm||||
N|"UM.EV6EE.008 - Acer V226WLbmd LED monitor 22"" 1680 - Xpcpro.com"|||||16:10||||||||||||N||Y|||AC, VGA|||TCO||Black|||||||||100000000:1|||207 mm||||||LED|250 cd/m²|"22 """||16.77 M|1680 x 1050 pixels|||IPS|||||||||||Unspecified||Gold||||||||||N|Y|||||||419.1 mm||||||110 - 220 V|||||||||||||||||2 pcs|||||||||||||||||||||||||||||3.5 W||4.5 W|24.2 W||Y||||||||5 ms|4 W||||||||||||1680 x 1050 WSXGA||||||||||N|||N||||||||1|||||170 °|160 °|||3090 g|3520 g|505.7 mm||||
N|"60003294 - NEC MultiSync EA223WM, LED monitor 22"", - Xpcpro.com"||Y|- kWh||16:10||||||||||||||Y||Kensington|AC, Audio 3.5mm, DVI, USB, VGA|N||EPEAT Gold; CE; TCO 5.2; TÜV; TÜV GS; GEEA/Energy Label; Energy Star 5.0; FCC B; PCT/Gost; UL/C-UL / CSA; ISO 9241-307; MPR III; RoHS||Black||||||||Y|25000:1|1000:1||- mm|218 mm|31.5 - 82.3 kHz|56 - 75 Hz|||LED|250 cd/m²|"22 """||16.77 M|1680 x 1050 pixels|Y||TNFilm||||1||1|-||||Unspecified|Y|||||||N|||||Y||-|Y||1||- mm|130 mm|384 mm|||||||||||Y||||||||||2 pcs||1 pcs|Y||Y|||20 - 80 %|5 - 35 °C||||||||||||0.282 x 0.282 mm||Y|||||25 W|||0.5 W|12 W||Y||||||||5 ms|2 W||||||||||||1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1280 x 768 WXGA, 1280 x 960, 1366 768, 1400 x 1050 SXGA, 1440 x 900 WXGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 640 x 480 VGA, 800 x 600 SVGA||||-170 - 170 °||||||N||-5 - 30 °|N|5||||||100 x 100 mm|1|||||170 °|160 °||Y|- g|5600 g|- mm|503.5 mm||Y|
N|B2888UHSU-B1 - Iiyama ProLite B2888UHSU-B1  LED - Xpcpro.com||Y|||16:9||||||||||||N||Y|N|Kensington|AC, Audio 3.5mm, DisplayPort, DVI, HDMI, USB|||CE, TÜV-Bauart, VCCI-B, PSE, CU||Black|||||||||5000000:1|1000:1||||24 - 140 kHz|24 - 76 Hz|||LED|300 cd/m²|"28 """||1070 M|3840 x 2160 pixels|||TN||||2|Y|1|||||Unspecified|Y|||||||||||4K Ultra HD|Y||1||||1||Y|412 mm|||50/60 Hz|100 - 240 V|||||||||||||||||2|9||Y|CHI SIMPL, CHI TR, DEU, DUT, ENG, FRE, JPN, POL, RUS||||||||||||||Y|||0.16 x 0.16 mm||Y||||||||0.5 W|34.5 W|||||||Y|||1 ms|6 W||||Y||||||||2560 x 1440, 3840 x 2160, 1920 x 1080 HD 1080|1080p, 2160p|||||-45 - 45 °||Y||N|Y|0 - 17 °|N||2|||||100 x 100 mm|1|||341.28 mm|620.93 mm|170 °|160 °||Y||||||Y|
|"I2360PHU - AOC i2360Phu LED monitor 23"" 1980 x - Xpcpro.com"|||||16:9||||W-LED||||||||N||Y||||||TCO 5.0, TÜV-GS||Black|||||||||20000000:1|1000:1||||||||LED|250 cd/m²|"['58.4 cm', '23 ""']"|||1920 x 1080 pixels|||IPS||||||1|||||Unspecified|Y|Gold||||||||||Full HD|||1||||||Y||||||||||||||||||||||2|||||||||||||||||||Y|||||||||||||||||||||||5 ms|2 W||||||||||||1920 x 1080 HD 1080|||||||||||Y|-5 - 15 °|N|4||||||100 x 100 mm|1||||||||Y|||||||
No|60003293 - NEC MultiSync EA223WM, LED monitor, - Xpcpro.com||Yes|||16:10||||||||||||||Yes||Kensington|AC, Audio (3.5mm), DVI, USB, VGA|No||EPEAT Gold; CE; TCO 5.2; TÜV; TÜV GS; GEEA/Energy Label; Energy Star 5.0; FCC B; PCT/Gost; UL/C-UL / CSA; ISO 9241-307; MPR III; RoHS||White||||||||Yes|25000:1|1000:1|||218 mm|31.5 - 82.3 kHz|56 - 75 Hz|||LED|250 cd/m²|"558.8 mm (22 "")"||16.77 M|1680 x 1050 pixels|Yes||TN+Film||||1||1|||||Unspecified|Yes|||||||No|||||Yes|||Yes|||||130 mm|384 mm|||||||||||Yes||||||||||2 pcs||1 pcs|Yes||Yes|||20 - 80 %|5 - 35 °C||||||||||||0.282 x 0.282 mm||Yes|||||25 W|||0.5 W|12 W||Yes||||||||5 ms|2 W||||||||||||1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1280 x 960, 1366 х 768, 1400 x 1050 (SXGA+), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)||||-170 - 170 °||||||No||-5 - 30 °|No|5||||||100 x 100 mm|1|||||170 °|160 °||Yes||5600 g||503.5 mm||Yes|
N|"22MB35PU-B - LG FLATRON 22MB35PU-B LED Monitor 22"" - Xpcpro.com"|||||16:9||||W-LED||||||||N||Y||Kensington|Audio 3.5mm, DVI, VGA|||||Black||||||Y|||5000000:1|1000:1||224.2 mm||||||LCD|250 cd/m²|"21.5 """|54.6 cm|16.77 M|1920 x 1080 pixels|||TN|||||Y|2|||||Unspecified||||||||||||Full HD|Y|||||||463.9 mm||||30 - 83 kHz|47-63 Hz|90 - 264 V|||||||||||||||||2||||DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR|Y|||||||||||Y|||Y||0.248 x 0.248 mm||Y||||||0.3 W||0.3 W|24 W||||||||||5 ms|2 W||||Y||||||||1920 x 1080 HD 1080|||||||||Y|N|Y|20 - 5 °|N|2||||56 - 75 Hz||100 x 100 mm|1|||||170 °|160 °||Y|3600 g||509.2 mm||||
N|"DR2200A1E0100 - Neovo DR-22 LED monitor colour 22"" - Xpcpro.com"|||||16:9||||||||||||N||Y||||||FCC, CE, RoHS, WEEE, REACH, GOST-R||White|||||||||2000000:1||Y|155 mm||||||LED|250 cd/m²|"21.5 """|||1920 x 1080 pixels||||||||Y|1|||||Unspecified||||||||||||Full HD|||1||3.5 mm||1|369 mm|N|||30 - 82 kHz|||||||||||||||||||2|||||||10 - 90 %|||0 - 40 °C||9000 g|212 mm|476 mm|602 mm||||||0.2482 x 0.2482 mm||||||||1 W||3 W|25 W||||||||||3 ms|3 W|||||||5 - 95 %|||-20 - 60 °C||1920 x 1080 HD 1080|||1|||||||||||||||56 - 75 Hz||75 x 75, 100 x 100 mm|1|||||170 °|160 °||Y|6300 g|6900 g|513 mm||||
|271S4LPYEB/00 - Philips 271S4LPYEB/00 68.6CM 27IN - Xpcpro.com|||||16:9||||||||||||||||||||||||||||||||1000:1|||||||||300 cd/m²|||||Y||||||||||597.6 x 336.15 mm||||||||||Black||||||||||||||150 mm|639 mm||||||||||||||30.000 h||||||||||||||20 - 80 %|||0 - 40 °C|750 x 234 x 490 mm||||||||||0.311 x 0.311 mm||||21.3 W||||0.1 W||0.3 W|||||||||||5 ms|||||||||||-20 - 60 °C||||||||||||||||||||||||||||||||||||||
N|"Q2770PQU - AOC Style Q2770PQU LED monitor 27"" 2560 - Xpcpro.com"|||||16:9||||||||||||N||Y||Kensington|DisplayPort, DVI, VGA|||||Black|||||||||80000000:1|1000:1||558 mm||||||LED|300 cd/m²|"27 """||16.77 M|2560 x 1440 pixels|||||||1|Y|1||||||||||||||||||Y||1|||||245 mm|Y|||30 - 99000 kHz|50/60 Hz|100 - 240 V||||||||Y||||||||||16||Y||||10 - 85 %|||0 - 40 °C|||486 mm|286 mm|759 mm||||||0.233 x 0.233 mm||||||||||0.5 W|65 W||||||||||5 ms||||||||5 - 93 %|||-25 - 55 °C||2560 x 1440, 1920 x 1080 HD 1080||||||||||N|||N|||||50 - 76000 Hz||100 x 100 mm|1|||597.89 mm|336.31 mm|178 °|178 °||Y|||642.2 mm||||
N|LS24C65UPC/EN - Samsung S24C650PL LED monitor - Xpcpro.com|||49.6 kWh||16:9|Y|Y||||||||||N||Y|||Audio 3.5mm, USB, VGA|||||Black|||||||||Mega Contrast|1000:1||55.45 mm|224 mm|||||LED|250 cd/m²|"23.6 """||16.77 M|1920 x 1080 pixels|||PLS||||1|N||||||B||||||||||||Full HD|||1|||||330.5 mm|Y||||50/60 Hz|100 - 240 V||||||||Y|||||||||2|||Y|||||10 - 80 %|10 - 40 °C|||6900 g|406 mm|185 mm|632 mm||||Y|-1 - 95 °|0.2715 x 0.2715 mm||||||||||0.3 W|35 W|Y||||||Y|||5 ms|2 W||||||||||||1920 x 1080 HD 1080||||||-45 - 45 °||Y||N|Y|-3 - 25 °|N|2||||||100 x 100 mm|1|||521.28 mm|293.22 mm|178 °|178 °||Y|3750 g|5450 g|554.6 mm|554.6 mm|||
N|272P4QPJKEB/00 - Philips 272P4QPJKEB/00 68,6CM - Xpcpro.com|Y|Y|||16:9|Y|||W-LED||||||||Y||Y||Kensington|AC|||SMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL||Black|||||||||20000000:1|1000:1||64 mm|242 mm|||||LED|300 cd/m²|"['27 ""', '68.6 cm']"||16.77 M|2560 x 1440 pixels|Y||PLS||||1|Y||||||Unspecified|Y|Gold||N|||||||||Y||2||3.5 mm|1||405 mm|Y|58 mm||30 - 90 kHz|50/60 Hz|100 - 240 V|||||Y|Y||Y|||2 MP||||0 - 12192 m||2 pcs|||Y||Y|0 - 3658 m||20 - 80 %|0 - 40 °C|||11350 g|490 mm|234 mm|750 mm||||Y|0 - 90 °|0.233 x 0.233 mm||Y|||||||23 W|0.3 W|39.2 W||Y||PC monitor|||Y|||12 ms|4 W||RoHS, WEEE||Y||Y|||-20 - 60 °C|||2560 x 1440||||||-65 - 65 °||Y|Y|N|Y|-5 - 20 °|N||3|||56 - 75 Hz||100 x 100 mm||||||178 °|178 °||Y|5700 g|8500 g|639 mm|639 mm||Y|N
|E2481HS-B1 - Iiyama ProLite E2481HS-1,  LED - Xpcpro.com|||||16:9||||||||||||N||Y||Kensington||||||Black|||||||||5000000:1|1000:1||213.5 mm||||||LCD|250 cd/m²|"23.6 """||16.77 M|1920 x 1080 pixels|||TNFilm||||||1||||||Y|||||||Y|||||Y||1|||||402 mm|N|||24 - 80 kHz|50/60 Hz|100 - 240 V|||||||||||||||||2 pcs|||||||||||||||||||||0.2715 x 0.2715 mm|||||||||||22 W||||||||||2 ms|2 W||||Y||||||||||||||||||N||-4 - 21 °|N|||||56 - 75 Hz||100 x 100 mm|1|||||178 °|170 °||Y|3800 g||543.5 mm||||
|"60002933 - NEC MultiSync E231W - LED monitor  23"" - Xpcpro.com"|||||16:10||||||||||||||No||Not specified||No||||Black||||100 x 100 mm|||||Not specified|1000:1||213 mm||31.5 - 83 kHz|56 - 75 Hz|||Not specified|250 cd/m²|"58.4 cm (23 "")"|||1920 x 1080 pixels|||||||1||1||||||||||||||||||No|||||||381 mm||||||||||||||||||||||16.7 M||||||||||||||||||||||0.2655 x 0.2655 mm|||28 W||||||||||||||||||5 ms||||||||||||||||||||||||||No||||||||1|||||170 °|160 °|||6200 g||550.1 mm||||
|"22MB65PY-B - LG FLATRON 22MB65PY-B LED Monitor 22"" - Xpcpro.com"|||||16:10||||||||||||N||Y|||AC, Audio 3.5mm, DVI, VGA|||||Black|||||||||5000000:1|1000:1|||239 mm|30 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"22 """|55.88 cm|16.77 M|1680 x 1050 pixels|||TN||||1|Y|1|||||Unspecified|Y||||||Black||||||Y||||||||Y|379 mm|||47-63 Hz|90 - 264 V||||||||Y|||||||||2|14||Y|||||||||||||Y|||Y||0.282 x 0.282 mm||||||||0.3 W||0.4 W|21 W||||||||||5 ms|2 W||||||||||||||||||||||N|||N|1|||Y||||1|||473.86 mm|296.16 mm|170 °|160 °||Y||4700 g||506 mm|||
N|E1980SD-B1 - Iiyama ProLite E1980SD-B1 LED monitor - Xpcpro.com|||||5:4|||||||||||N|||Y|N||AC, Audio 3.5mm, DVI, VGA||N|CE, TÜV-GS, VCCI-B, TCO, CU||Black||||||||||1000:1||189 mm||||||LED|250 cd/m²|"19 """||16.77 M|1280 x 1024 pixels|||TNFilm||||||1|||||Unspecified|Y|||N||||||||N|Y|N||||||402 mm||||24 - 80 kHz|50/60 Hz|100 - 240 V||||||||Y|||||||||2 pcs|9||Y|CHI SIMPL, DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS|||||||||||||||||0.294 x 0.294 mm|Horizontal|||||||||1 W|16 W|||||||Y|||5 ms|2 W||||Y||||||||1280 x 1024 SXGA||||||||||N|Y|-4 - 21 °||||||56 - 75 Hz||100 x 100 mm|1|||376.32 mm|301.05 mm|170 °|160 °||Y|3200 g||411 mm||||N
|"UM.CB6EE.005 - Acer B196Lymdr LED monitor 19"", - Xpcpro.com"|||||5:4||||||||||||N||Y||Kensington||||CE, TÜV GS, ISO9241-307, TCO6.0||Grey|||||||||100000000:1|||221 mm||||||LCD|250 cd/m²|"['48 cm', '19 ""']"||16.77 M|1280 x 1024 pixels|||TNFilm|||||N||||||Unspecified|Y|||||||||||N|Y|||||||519.2 mm|Y|||||100 - 240 V|||||||||||||||||2 pcs|||||||||||||||||||||0.294 x 0.294 mm||||||||0.35 W||0.45 W|15.8 W||||PC monitor||||||5 ms|1 W||||||||||||||||||-60 - 60 °||Y||N|Y|-5 - 35 °|N|||||||100 x 100 mm|1|||376 mm|301 mm|170 °|160 °||Y|5330 g||406.4 mm||||
|60003543 - NEC SpectraView Reference 242 LED - Xpcpro.com||||HDMI mit HDCP, DVI-D, D-Sub 15 pol.||||1.920 x 1.200|||||Wide 15:9/16:9/16:10|||||||||||||||||||||||||||||||||||||||||||"61 cm 24"""|||||||||||||||||10,6 kg||||||||||||||340 cd/qm|||||1000 :1|||||||||||||||||||||||||||||||||||||||||||||||||||||||8 ms||||||||digital/analog||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
|E1780SD-B1 - Iiyama ProLite E1780SD-B1 LED monitor - Xpcpro.com||||DVI-D||||1.280 x 1.024|||||Normal 4:3/5:4|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"43.2 cm 17"""||||||LED Backlight, Pivot drehbar 90°|||||||schwarz||||4,4 kg||||||||||||||250 cd/qm|||||1000 :1|||||||||||||||||||||||||||||||||||||||||||||||||||||||5 ms||||||||digital/analog||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
N|"24MB65PM-B - LG 24MB65PM-B  LED monitor 24"" 1920 x - Xpcpro.com"|||||16:10||||||||||||N||Y||||||||Black||||||||||1000:1||239 mm||||||LED|250 cd/m²|"24 """|61 cm|16.77 M|1920 x 1200 pixels|||IPS|||||Y|1|||||Unspecified||||||||||||Full HD|Y||||||1|395 mm|||||||||||||||||||||||2||||||||||||||||Y|||Y||||Y|||||||||||||||||||5 ms|2 W||||||||||||1920 x 1200 WUXGA||||||15 - 68 °||Y|||Y||N|||||||||||||178 °|178 °||Y|5400 g||558 mm||||
N|"LS27D590PSX/EN - Samsung S27D590P LED monitor 27"" - Xpcpro.com"|||44 kWh||16:9||||||||||||N||N|||HDMI|||||Black|||||||||Mega Contrast|1000:1|Y|58.5 mm|169.2 mm|||||LED|300 cd/m²|"27 """||16.77 M|1920 x 1080 pixels|||AD-PLS|||||N||||||A|Y||||||||||||||2||||1|388.6 mm|N|465 mm|||50/60 Hz|100 - 240 V|||||||Y|Y|||||||||||||||||||||6760 g|439 mm|132 mm|689 mm||||N||||||||||||0.3 W|23 W|||||||Y|||5 ms|||||||||||||||||||||N||||-1 - 15 °|N||||||||1|||||178 °|178 °||N|4360 g|4960 g|619.5 mm|619.5 mm||Y|
|LS22C65UDC/EN - Samsung S22C650D LED monitor  - Xpcpro.com|||||16:9|||||||||||N|||||||||||Black||||||||||1000:1||185.42 mm||||||LED|250 cd/m²|"21.5 """||16.77 M|1920 x 1080 pixels|||AD-PLS||||1|Y||||||Unspecified|Y|Gold|||||||||||||1|||||375.92 mm|Y||||50/60 Hz|100 - 240 V|||||||||||||||||||||||||||||6169 g|||||||Y|-1 - 95 °|0.24825 x 0.24825 mm|||||||28 W|||0.3 W|38 W||||||||||5 ms|||||||||||||||||||-45 - 45 °||||||-3 - 25 °||2||||||100 x 100 mm|1|||||178 °|178 °||Y|3221 g|4763 g|576.58 mm||||
N|VG2239M-LED - ViewSonic VG2239m-LED,  LED monitor - Xpcpro.com||Y|||16:9|Y|||W-LED||||||||N||Y||Kensington||||||Black||||||||Y|20000000:1|1000:1||"['2.2 ""', '56.4 mm']"|239.6 mm|||||LCD|250 cd/m²|"22 """|||1920 x 1080 pixels|||||||||1||||||Y|Gold||||||Y||Y|||Y|||||||"['12 ""', '304.4 mm']"|['Y', '135 mm']|418 mm||24 - 82 kHz|50/60 Hz|100 - 240 V||||||||||30000 h|||||||2 pcs|||Y|||||10 - 90 %|['32 - 104 °F', '0 - 40 °C']||||187 mm|483 mm|581 mm||||Y|0 - 90 °||||||||||||22 W||||||||||5 ms|4 W||||||||||||1920 x 1080 HD 1080|||||0 - 360 °|||||N||-5 - 20 °|N|||||50 - 75 Hz||100 x 100 mm|1|||||170 °|160 °||Y|3200 g|4700 g|"['512.4 mm', '20.2 ""']"|512.4 mm|||
