<page title>|adjustable display angle|adjustable display height|adjustable display pivot|antiglare|aspect ratio|assembly required|backlight technology|be comfortable|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|customizable color|depth|depth with stand|diagonal screen size|dimensions|display orientation|displayport|dvi|ecolabel|features|full hd resolution|hd compatible|hdcp supported|hdmi|headphone jack|height|height with stand|horizontal viewable angle|input voltage|integrated speakers|item |manufacturer|manufacturer |maximum resolution|model name|monitor brightness|monitor color|mount type|multitouch screen|native resolution|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|panel technology|pixel pitch|platform supported|postconsumer recycled content|product line|product name|product series|product type|quantity|recycled|response time|screen mode|screen size|screen surface|screen type|signal input type|speakers|standard refresh rate|standby power consumption|stay versatile|superb performance|svideo|tilt angle|total recycled content|touchscreen|touchscreen type|tv tuner|typical response time|ultrawide viewing angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|viewable image size|viewing angle|wall mountable|warranty length|webcam|weight|weight with stand approximate|width|width with stand|work with ease stay entertained for hours
Speco Auria VMS 2 4 LCD Monitor by Office Depot|||||||||Speco||||Black||||||||"3"""||||||||||||||"5"""|||||432202|Speco Technologies|T56700||VMS-2|||||||1||||||||Auria|VMS-2 Portable LCD Monitor||LCD Monitor|||||"4"""||||Yes|||||||||||||||||||||||||2.20 lb||"6"""||
HP Business E231 23 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||HP|250 Nit|USB Hub|CE|Black|||||1,000:1|||"2"""|"9.54"""|||Portrait|Yes|Yes|ENERGY STAR; EPEAT Gold; TCO Certified Displays; EPA|Security Lock|||Yes|||"13"""|"18.50"""||110 V AC; 220 V AC||471179|Hewlett-Packard|RC0857|1920 x 1080|E231|||||||1||500 mW|36 W|||PC||Business|EliteDisplay E231 23-Inch LED Backlit Monitor|Advantage|LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare|||No|60 Hz|500 mW|||||||||||Yes|USB 2.0||160°|||Yes||170°||3-year limited||13.45 lb||"21.4"""|"21.42"""|
Asus PB238Q 23 LED LCD Monitor 169 6 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Asus|250 Nit|Speaker; USB Hub|UL/cUL; CB; CE; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSE; WHQL|Black|16.7 Million Colors||||80,000,000:1|||"2.3"""|"7.91"""||||Yes|Yes|ENERGY STAR; ErP; J-Moss (Japanese RoHS); RoHS; WEEE|Trace Free Technology; Splendid Video Intelligence Technology; Security Lock|||Yes|Yes||"12.7"""|"16.30"""||110 V AC; 220 V AC||771172|ASUS Computer International|PP9992|1920 x 1080|PB238Q|||Wall Mountable||||1|2|||In-plane Switching (IPS) Technology||PC|||PB238Q Widescreen LCD Monitor|PB|LCD Monitor|||6 ms|Full HD|"23"""||||Yes|75 Hz|500 mW|||||||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||178°||3-year limited||12.13 lb||"21.6"""|"21.61"""|
Asus VW199T P 19 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus||Speaker|UL/cUL; CB; CE; FCC; CCC; TUV-GS; TUV-ERGO; ISO9241-307; BSMI; GOST-R; C-Tick; VCCI; PSB; NOM; J-MOSS|Black|16.7 Million Colors||||10,000,000:1||||"8.27"""|||||Yes|ENERGY STAR; TCO '03; RoHS||||Yes||||"10.39"""||||855157|ASUS Computer International|DY3369|1440 x 900|VW199T-P|||Wall Mountable||||1|2|100 mW|26.90 W|||PC|||VW199T-P Widescreen LCD Monitor|VW|LCD Monitor|||5 ms|WSXGA|"19"""||||Yes|75 Hz|100 mW||||||||||||||160°|Yes|100 x 100|||170°||3-year limited||9.26 lb|||"17.48"""|
Compaq L5009tm 15 LCD Touchscreen Monitor 17 ms by Office Depot|||||||||Compaq|225 Nit||||||||400:1|||"2.2"""|||||||WEEE; RoHS; IT Eco Declaration|||||||"11"""|||110 V AC; 220 V AC||108843|Hewlett-Packard|2584544|1024 x 768|L5009tm||||||||||30 W||||||L5009tm Touchscreen LCD Monitor||LCD Touchscreen Monitor|||17 ms|XGA|"15"""|||||75 Hz|4 W||||||||||||||100°|Yes|75 x 75|Yes||120°||3-year limited||10.58 lb||"13.8"""||
HP P201m 20 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||HP|250 Nit|Speaker||Black|||||1,000:1|||"1.9"""|"5.95"""|||||Yes|ENERGY STAR; EPEAT Gold; TCO Certified Displays|Security Lock|||Yes|||"11.6"""|"14.14"""||110 V AC; 220 V AC||779807|Hewlett-Packard|QW9403|1600 x 900|P201m|||||||1|2||24 W||||||Promo ProDisplay P201m 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"20"""|Anti-glare|||Yes||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.70 lb||"19"""|"18.98"""|
Viewsonic Value VA2342 LED 23 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit||UL; cUL; FCC-B (ICES); CB; CCC; NOM; CE; TUV|Black|||||1,000:1|||"1.5"""|"7.90"""|||||Yes|China Energy Label (CEL); RoHS; WEEE; ENERGY STAR 5.0; EPEAT Silver|Security Lock|||Yes|||"13.1"""|"16.90"""||110 V AC; 220 V AC||695729|Viewsonic Corporation|PU9481|1920 x 1080|VA2342-LED|||Wall Mountable||||1|||22 W|||PC; Mac||Value|"VA2342-LED 23"" Full HD 1080p LED Monitor"||LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare||||60 Hz|||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||5 lb|5.60 lb|"21.6"""|"21.60"""|
AOC Value i2769Vm 27 LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||||AOC|250 Nit|Speaker||Black|16.7 Million Colors||No|No|1,000:1|||"5.1"""|||||Yes|No||Eco Mode; Security Lock; Mobile High-Definition Link (MHL)|||Yes|Yes|Yes|"17.7"""|||||446203|AOC|RG1050|1920 x 1080|i2769Vm|||||||1||500 mW|35 W|In-plane Switching (IPS) Technology||PC||Value|"i2769Vm 68.6cm (27"") IPS Monitor"||LCD Monitor|||5 ms||"27"""||||Yes||500 mW|||No|||||||||||178°|||Yes||178°||||11 lb||"24.5"""||
Dell S2440L 24 Widescreen LED Backlit Monitor Black by Office Depot||||no|16:9|||Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2440L panel up to 4° forward or 21° backward.|Dell|||||||||5,000:1 (static), 8 Million to 1 (dynamic contrast ratio)||Dell Display Manager helps keep you productive with fast access to software such as Auto Mode, which enables you to select your preferred color mode for each application.|||24 inches|"16.45""H x 22.34""W x 7.51""D"||||EPEAT Silver||Watch images come alive in cinematic quality with Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.|yes||||||178 degrees||no|897878|Dell, Inc.|C9VNT|1920 x 1080|S2440L|250 cd/m2|Black|||1920 x 1080|||||||0.277 mm||0%|||||||||||VA, Glossy|VGA, HDMI||||Connect to your laptop or desktop with VGA connectivity. The HDMI port enables you to explore thrilling HD entertainment options.|Images come alive with color-boosting Image Enhance, ultra-wide viewing and Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.|||0%|||No|6 ms|The stellar view pulls you in from nearly any perspective with an ultra-wide 178°/178° viewing angle.|||Connect to a laptop or desktop with VGA connectivity. Explore a world of HD entertainment options with an HDMI port.|||||24 inches||no|1-yr limited||||||"Be comfortable: Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2440L panel up to 4° forward or 21° backward.
Stay versatile: Connect to your laptop or desktop with VGA connectivity. The HDMI port enables you to explore thrilling HD entertainment options.
Organize your screen: Tile your applications with Easy Arrange software so you can see them all clearly at a single glance. Even select your preferred desktop design layout."
HP W2072a 20 LED Backlit LCD Monitor Black by Office Depot||||no|16:9||||HP|||||||||600:1 typical; 3,000,000:1 dynamic|||||20 inches|"14.04"" x 18.79"" x 6.7"""||||EPEAT Silver|||yes||||||||Yes|303379|Hewlett-Packard|A3M50AA#ABA|1600 x 900 at 60Hz|W2072a|200 cd/m2|black|||1600 x 900|||||||0.277 mm||0%|||||||||||flat panel LCD|DVI-D (digital) with HDCP; VGA 15-pin D-sub; audio||||||||0%|||No|5 ms|||||||||20 inches||yes|1-yr limited||||||
Acer B226WL 22 LED LCD Monitor 1610 5 ms by Office Depot|Yes|Yes|Yes||16:10||LED||Acer|250 Nit|Speaker||Black|16.7 Million Colors||||100,000,000:1|||"8.7"""||||||Yes|TCO '06||||Yes|||"21"""|||110 V AC; 220 V AC||179614|Acer, Inc|QX5327|1680 x 1050|B226WL|||||||1|2|350 mW|24.20 W|Twisted Nematic Film (TN Film)|||||B226WL Widescreen LCD Monitor|B|LCD Monitor|||5 ms|WSXGA+|"22"""|Anti-glare|||Yes|60 Hz|450 mW||||||||||||||160°|||Yes||170°||||6.81 lb|12.68 lb|"19.9"""||
NEC Display MultiSync EX231W BK 23 LED LCD Monitor with VUKUNET free CMS by Office Depot|Yes||||16:9||LED||NEC Display|250 Nit|||Black|16.7 Million Colors||||25,000:1; 1,000:1|||"1.9"""|"8.46"""||||Yes|Yes|ENERGY STAR; TCO Displays 5.0; MPR III; EPEAT Gold; RoHS||||Yes|||"12.5"""|"20.13"""||110 V AC; 220 V AC||225994|NEC Display Solutions|S7936425|1920 x 1080|EX231W-BK|||||||1|||32 W|||PC||MultiSync|MultiSync EX231W-BK Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"23"""|||||75 Hz|370 mW|||||||||||Yes|USB 2.0||170°|Yes|100 x 100|||176°||3-year limited||6.17 lb|9.26 lb|"21.3"""|"21.27"""|
Asus VN279QL 27 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Asus|300 Nit|Speaker|EAC logo; BSMI; CB; CCC; CE; CEL Level 1; C-Tick; CU; FCC; ISO-9241-307; J-MOSS; PSE; TUV-GS; UkrSepro; UL/cUL; VCCI; WHQL|Black|16.7 Million Colors||||100,000,000:1||||"8.88"""|||Landscape/Portrait|Yes|Yes|WEEE; RoHS; TCO Certified Displays 6.0; ENERGY STAR|Ultra Slim; MultiScreen; Splendid Video Intelligence Technology; Security Lock; CrystalBrite; Mobile High-Definition Link (MHL); SmartContrast; Trace Free Technology; Game Mode; SmartErgoBase; QuickFit; VividPixel Technology|||Yes|Yes|Yes||"20.71"""||||390511|ASUS Computer International|11217349|1920 x 1080|VN279QL|||Wall Mountable||||1|2||35 W|AMVA+||PC|||VN279QL Widescreen LCD Monitor|VN|LCD Monitor|||5 ms|Full HD|"27"""||||Yes||500 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||13.45 lb|||"24.38"""|
Dell E2214H 215 Widescreen HD LED Monitor Black by Office Depot||||yes|16:9||||Dell|||||||||1000:1|||||21.5 inches|"15.62""H x 20.20""W x 6.52""D"||||ENERGY STAR; EPEAT Gold|||yes||||||170 degrees||no|614908|Dell, Inc.|GP54V|1920 x 1080|E2214H|250 cd/m2|Black|||1920 x 1080|||||||0.248 mm||0%|||||||||||TN (TFT active matrix LCD)|DVI-D (digital) with HDCP; VGA 15-pin D-sub||||||||0%|||No|5 ms|||||||||21.5 inches||no|3-yr limited||||||
Planar Professional PS4650 46 Edge LED LCD Monitor 169 650 ms by Office Depot|||||16:9||Edge LED||Planar|500 Nit||FCC Class A; UL; CE||16.7 Million Colors||Yes|Yes|4,000:1|||"2.6"""||||||Yes||Video Wall; Landscape/Portrait Viewable; Picture in Picture||||Yes||"24.4"""|||110 V AC; 220 V AC||588559|Planar Systems, Inc|KE4557|1920 x 1080|PS4650|||||||1|||160 W|||PC||Professional|Professional PS4650 Widescreen LCD Monitor|PS|LCD Monitor|||6.50 ms|Full HD|"46"""|||||120 Hz||||Yes|||||||||||178°|Yes|400 x 200|Yes||178°||3-year limited||57.32 lb||"41.7"""||
HP Business Z22i 215 LED LCD Monitor 169 8 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit|USB Hub||Black|||||1,000:1|||"2"""|"9.34"""||||Yes|Yes|TCO Certified Edge; ENERGY STAR; EPEAT Gold; REACH|Security Lock|||Yes|||"12.2"""|"18.12"""||110 V AC; 220 V AC||779069|Hewlett-Packard|RY4452|1920 x 1080|Z22i|||||||1|||31 W|In-plane Switching (IPS) Technology||PC||Business|Z Display Z22i 21.5-inch IPS LED Backlit Monitor (ENERGY STAR)|Performance|LCD Monitor|||8 ms|Full HD|"21.5"""|Anti-glare|||||500 mW|||||||||||Yes|USB 2.0||178°|||Yes||178°||3-year limited|||12.84 lb|"20.1"""|"20.05"""|
DoubleSight Displays DS 2200WA 215 LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||||DoubleSight Displays|250 Nit||UL|Piano Black|16.7 Million Colors||||1,000:1|||"9.3"""||||||Yes|ENERGY STAR|||||||"18.5"""|||110 V AC; 220 V AC||988553|DoubleSight Displays, LLC|KE8226|1920 x 1080|DS-2200WA|||||||2|2||50 W||||||DS-2200WA Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""||||Yes|75 Hz|2 W||||||||||||||160°|Yes|75 x 75|||170°||3-year limited||24 lb||"40"""||
AOC Professional e2260Swda 215 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||AOC|250 Nit|Speaker||Black|16.7 Million Colors||||1,000:1|||"7.3"""|||||No|Yes|ENERGY STAR|Security Lock|||Yes|No||"14.7"""|||||626338|AOC|PP5900|1920 x 1080|e2260Swda|||Wall Mountable||||1||||||PC||Professional|"LED Monitor - e2260Swda Professional 54.7cm (21.5"")"||LCD Monitor|||5 ms|Full HD|"21.5"""||||Yes||||||||||||||||160°|Yes|100 x 100|Yes||170°||1-year limited||||"20.1"""||
Viewsonic VP2770 LED 27 LED LCD Monitor 12 ms by Office Depot|Yes|Yes|Yes||||LED||Viewsonic|300 Nit|USB Hub|CB; UL; cUL; FCC-B; TUV-S(ULAR); NOM; GS; CE; GOST-R+Hygienic; CCC|Black|1.07 Billion Colors||||1,000:1|||"2.2"""|"13.69"""|||Landscape/Portrait|Yes|Yes|ENERGY STAR; RoHS; EPEAT Silver; WEEE; TCO '06; EPEAT Gold; ErP; REACH; China Energy Label (CEL); CECP||||Yes|Yes||"15"""|"18.49"""||110 V AC; 220 V AC||695972|Viewsonic Corporation|PU9484|2560 x 1440|VP2770-LED|||Wall Mountable||||1|||40 W|Super In-plane Switching (S-IPS) Technology||PC; Mac|||VP2770-LED Widescreen LCD Monitor|VP|LCD Monitor|||12 ms|WQHD|"27"""|Anti-glare||||75 Hz||||||||||||Yes|USB 3.0||178°|Yes|100 x 100|Yes||178°||||12.79 lb|18.59 lb|"25.3"""|"25.30"""|
Acer V236HL 23 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"2"""|"8.15"""|||||Yes|TCO Certified Displays 6.0||||Yes|||"12.8"""|"16.10"""||110 V AC; 220 V AC||474562|Acer, Inc|TC8982|1920 x 1080|V236HL|||||||1||||Twisted Nematic Film (TN Film)|||||V236HL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare||||60 Hz|||||||||||||||160°|||Yes||170°||||||"21.4"""|"21.42"""|
Viewsonic VG2039m LED 20 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|||16:9||LED||Viewsonic|250 Nit|Speaker; USB Hub|UL/cUL; FCC-B; SVHC list; ISO 9001; ISO 14001; TUV NORD||||||1,000:1|||"0.1"""|"0.39"""||||Yes|Yes|RoHS; REACH; EPEAT Silver; ENERGY STAR|MultiScreen; Security Lock; Eco Mode|||Yes||Yes|"0.4"""|"0.59"""||110 V AC; 220 V AC||794027|Viewsonic Corporation|RR5229|1600 x 900|VG2039m-LED|||Wall Mountable||||1|2||17 W|||PC; Mac|||"20"" (19.5"" Viewable) Ergonomic LED Monitor"||LCD Monitor|||5 ms|HD+|"20"""|Anti-glare|||Yes|60 Hz||||||||||||Yes|||160°|Yes|100 x 100|Yes||170°||3-year limited||5.80 lb|8.10 lb|"0.7"""|"0.72"""|
Viewsonic CDP4635 T 46 LCD Touchscreen Monitor 169 8 ms by Office Depot|||||16:9||||Viewsonic|400 Nit|Speaker|FCC; ICES003; UL; cUL; CE; CB; C-Tick; BSM; TUV NORD; ISO 9001; ISO14001||||Yes|Yes|4,000:1|Taiwan||"4.7"""|"13"""|||||Yes||Tempered Glass; Video Wall||||Yes||"25.4"""|"26.80"""||110 V AC; 220 V AC||488396|Viewsonic Corporation|S8531984|1920 x 1080|CDP4635-T|||Wall Mountable|Yes||Yes||||220 W|||PC; Mac|||"CDP4635-T 46"" Full HD 1080p Commercial Display Intel OPS Ready Touch Display"||LCD Touchscreen Monitor|||8 ms|Full HD|"46"""|Anti-glare|||Yes|||||Yes|||Yes|Optical||||Yes|||178°|Yes|400 x 400|Yes||178°||3-year limited||57.30 lb|58.10 lb|"43"""|"43"""|
Elo 1000 Series 1515L Touch Screen Monitor by Office Depot|||||4:3||||Elo|230 Nit|||Dark Gray|16.2 Million Colors||||450:1||||"6.90"""||||||China RoHS||||||||"12.20"""||220 V AC||665533|Elo Touch Solutions, Inc|V21394|1024 x 768|1515L|||Desk Mountable||||||||||Mac; Sun|||1000 Series 1515L Touch Screen Monitor|1000|LCD Touchscreen Monitor|||21.50 ms|XGA|"15"""|Anti-glare||||75 Hz|||||||Yes|Surface Acoustic Wave||||||||||||||3-year limited||10.60 lb|||"13.80"""|
Viewsonic VG2239M TAA 22 LED LCD Monitor by Office Depot|Yes|Yes|Yes||||LED||Viewsonic||USB Hub; Speaker|TAA||||||20,000,000:1|Mexico||||||||Yes|TCO; ENERGY STAR; EPEAT Gold||||||||||||610849|Viewsonic Corporation|PL0834|1920 x 1080|VG2239M-TAA|||||||1|||||||||VG2239M-TAA Widescreen LCD Monitor|VG39m-TAA|LCD Monitor||||Full HD|"22"""||||Yes|||||||||||||Yes||||Yes||Yes||||3-year limited||14.80 lb||||
Viewsonic VA2249S 215 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit||CE; CB; BSMI; PSB; C-Tick; UL/cUL; FCC-B (including ICES003); Gost-R/Hygienic; UkrSepro; CCC; China Energy; TUV-S(ULAR); NOM; ISO9241-3||||||20,000,000:1|||"1.9"""|"7.50"""|||||Yes|ENERGY STAR; China Energy Label (CEL); CECP; REACH; ErP; EPEAT Silver; WEEE; RoHS; TCO Certified Displays 6.0|Eco Mode; Security Lock|||Yes|||"12.5"""|"14.40"""||110 V AC; 220 V AC||560494|Viewsonic Corporation|TQ8460|1920 x 1080|VA2249S|||Wall Mountable||||1|||26 W|In-plane Switching (IPS) Technology||PC; Mac|||High-Performance Monitor with SuperClear Technology||LCD Monitor|||5 ms|Full HD|"21.5"""|Anti-glare||||75 Hz|||||5°to19°||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||6.80 lb|8.10 lb|"20.1"""|"20.10"""|
Viewsonic VA2251m 22 CCFL LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||CCFL||Viewsonic|250 Nit|Speaker|UL/cUL; FCC-B,; Mexico Energy; NOM; ISO 9001; ISO 14001; CE; CB; TAA|Black|||||1,000:1|Mexico||"2.4"""|"6.50"""|||||Yes|ENERGY STAR; EPEAT Silver; WEEE; RoHS|Security Lock|||Yes|||"12.2"""|"14.60"""||110 V AC; 220 V AC||793964|Viewsonic Corporation|PF9398|1920 x 1080|VA2251m|||Wall Mountable||||1|2||26 W|||PC; Mac|||"22"" Full HD 1080p LED Monitor Great Value and Picture Perfect"||LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|||Yes|75 Hz|||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.05 lb|7.72 lb|"20.1"""|"20.10"""|
Acer V176L 17 LED LCD Monitor 54 5 ms by Office Depot|Yes|No|No||5:4||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"2.2"""|"7.52"""|||||Yes|EPEAT Gold; TCO Certified Displays 6.0||||Yes|||"12.2"""|"15.53"""||110 V AC; 220 V AC||373024|Acer, Inc|RX0027|1280 x 1024|V176L|||||||1||350 mW|13 W|Twisted Nematic Film (TN Film)|||||V176L LCD Monitor|V|LCD Monitor|||5 ms|SXGA|"17"""|Anti-glare||||75 Hz|450 mW||||||||||||||160°|||Yes||170°||||4.85 lb|5.73 lb|"14.5"""|"14.53"""|
Viewsonic TD2220 22 LED LCD Touchscreen Monitor 5 ms by Office Depot|||||||LED||Viewsonic|200 Nit|USB Hub|TUV NORD; ISO 9001; ISO 14001; CE; CB; BSMI; PSB; SASO; C-Tick; e-Standby; KC; UL/cUL; FCC-B (including ICES003); UL CoC; Gost-R/Hygienic; UkrSepro; CCC; SVHC list||||||1,000:1|||"2.6"""|"9.45"""|||||Yes|EPEAT Silver; ENERGY STAR; TCO Certified Displays 5.2; ErP; China Energy Label (CEL); WEEE; RoHS|||||||"12.2"""|"14.37"""||110 V AC; 220 V AC||696017|Viewsonic Corporation|QC3953|1920 x 1080|TD2220||||Yes||||||43 W|||PC|||"22"" (21.5"" Viewable) Full HD 1080p Optical Touch Monitor"||LCD Touchscreen Monitor|||5 ms|Full HD|"22"""|Anti-glare||||76 Hz|||||||Yes|Optical||||Yes|||160°|Yes|100 x 100|Yes||170°||3-year limited||8.73 lb|10.85 lb|"20.1"""|"20.11"""|
Asus VS207D P 195 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|||FCC; GOST-R; BSMI; CB; CE; C-Tick; UL/cUL; VCCI; WHQL|Black|16.7 Million Colors||||80,000,000:1|||"7.3"""|||||||ENERGY STAR; WEEE; EPEAT Gold; ErP; TCO Certified Displays 6.0; RoHS|Splendid Video Intelligence Technology; Security Lock||||||"14"""|||||417421|ASUS Computer International|QY7874|1600 x 900|VS207D-P|||Wall Mountable||||1||500 mW|25 W|||PC|||VS207D-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|HD+|"19.5"""|||||75 Hz|500 mW||||||||||||||160°|Yes|75 x 75|Yes||170°||3-year limited||5.71 lb||"18.4"""||
Viewsonic TD2740 27 LED LCD Touchscreen Monitor 169 12 ms by Office Depot|Yes||||16:9||LED||Viewsonic|260 Nit|USB Hub; Speaker; Webcam; Microphone|CE; CB; FCC-B w/ ICES003; US NRTL w/ CA; cULus\cTUVus; cETLus/cBVus; Mexico Energy; ISO9241-3:2008|Glossy Black|||||3000:1||||"2"""||||Yes|||Mobile High-Definition Link (MHL); Security Lock||||Yes|Yes||"16.50"""||110 V AC; 220 V AC||667495|Viewsonic Corporation|RR5232|1920 x 1080|TD2740||||Yes||||||52 W|||PC|||TD2740 Touchscreen LCD Monitor||LCD Touchscreen Monitor|||12 ms|Full HD|"27"""|Anti-scratch|||Yes|75 Hz|||||||Yes|Projected Capacitive||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||178°||3-year limited|||19.40 lb||"26.50"""|
Asus VE198TL 19 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|||16:9||LED||Asus|250 Nit|Speaker||Black|16.7 Million Colors||||10,000,000:1||||"7.17"""|||||Yes||Security Lock; Splendid Video Intelligence Technology; Cable Management|||Yes||||"14.41"""||||708148|ASUS Computer International|QV8895|1440 x 900|VE198TL|||Wall Mountable||||1|2|1 W|25 W|||PC|||VE198TL Widescreen LCD Monitor||LCD Monitor|||5 ms|WXGA+|"19"""||||Yes|75 Hz|1 W||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.05 lb|||"17.52"""|
Planar Helium PCT2785 27 Edge LED LCD Touchscreen Monitor 169 12 ms by Office Depot|Yes||||16:9||Edge LED||Planar|264 Nit|Speaker; Webcam; Microphone; USB Hub|UL/cUL; FCC; CE; TUV|Black|16.7 Million Colors||||5,000:1|||"2"""|||||Yes||RoHS|||||Yes|Yes|"16.5"""|||110 V AC; 220 V AC||380782|Planar Systems, Inc|PQ7368|1920 x 1080|PCT2785||||Yes|||||||||PC||Helium|"Helium PCT2785 27"" Widescreen Multi-Touch Monitor"||LCD Touchscreen Monitor|||12 ms|Full HD|"27"""||||Yes||||||||Yes|Projected Capacitive||||Yes|||178°|Yes|100 x 100|||178°||3-year limited|||19.40 lb|"26.5"""||
Acer V206HQL 195 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|200 Nit|||Black|16.7 Million Colors||||100,000,000:1||||"7.52"""|||||Yes|EPEAT Gold; MPR II||||Yes|||"10.9"""|"14.26"""||110 V AC; 220 V AC||630811|Acer, Inc|TD0087|1600 x 900|V206HQL|||||||1||350 mW|16.20 W|Twisted Nematic Film (TN Film)|||||V206HQL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|HD+|"19.5"""|Anti-glare|||Yes|60 Hz|450 mW||||||||||||||65°|||Yes||90°||||||"18.2"""|"18.24"""|
HP Essential P201 20 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit|||Black|||||1,000:1|||"1.9"""|"5.95"""|||||Yes|TCO Certified Displays; ENERGY STAR; EPEAT Gold|Security Lock|||Yes|||"11.6"""|"14.14"""||110 V AC; 220 V AC||779789|Hewlett-Packard|QW9402|1600 x 900|P201|||||||1|||22 W|||||Essential|ProDisplay P201 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"20"""|Anti-glare|||||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.72 lb||"19"""|"18.98"""|
DoubleSight Displays DS 309W 30 CCFL LCD Monitor 1610 6 ms by Office Depot|||||16:10||CCFL||DoubleSight Displays||Speaker|FCC|Black|1.07 Billion Colors||||1,000:1|||"3.5"""|||||Yes|Yes||Picture in Picture; Split Screen|||Yes|Yes||"18.5"""|||110 V AC; 220 V AC||988499|DoubleSight Displays, LLC|QQ1302|2560 x 1600|DS-309W|||||||1|2||120 W|In-plane Switching (IPS) Technology|||||DS-309W LCD Monitor||LCD Monitor|||6 ms|WQXGA|"30"""||||Yes||1.20 W||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||17 lb|21 lb|"27"""||
Viewsonic VA1938wa LED 19 LED LCD Monitor 169 5 ms by Office Depot|||||16:9||LED||Viewsonic|250 Nit||CB; SVHC; EuP; CE; Nemko ERGO; GOST-R+Hygienic; UkrSepro; BSMI; PSB; C-Tick; SASO|Black|16.7 Million Colors||||1,000:1||||"7.08"""||||||WEEE; RoHS; REACH; TCO Displays 5.0; EPEAT Silver||||||||"13.42"""||110 V AC; 220 V AC||866407|Viewsonic Corporation|LE1214|1366 x 768|VA1938wa-LED|||Wall Mountable||||1|||22 W|||PC; Mac|||VA1938wa-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|WXGA|"19"""|Anti-glare||||75 Hz|1 W||||||||||||||160°|Yes|100 x 100|Yes||170°|||||6.28 lb||"17.34"""|
