<page title>|aspect ratio|brightness|builtin speakers|component|contrast ratio|display colors|displayport|dvi|dvid duallink|hdmi|ips|led|manufacturer|minidisplay port|model|part|recommended resolution|refresh rate|response time|screen size|svideo|vga|viewing angle|widescreen
"Samsung S23C570H 23.0"" Monitor (S23C570H) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infinite DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S23C570H|1920 x 1080||5 ms|"23"""||1|178° H x 178° V|Yes
"HP E4U30AA#ABA 60Hz 19.0"" Monitor (E4U30AA#ABA) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||3,000,000:1|16700000|1|1|||Yes|Yes|HP|||E4U30AA#ABA|1280 x 1024|60Hz|8 ms|"19"""||1|178° H x 178° V|No
"NEC PA231W-BK-SV 23.0"" Monitor (PA231W-BK-SV) - PCPartPicker Canada"|16:9|270 cd/m²|No||1000:1|1070000000|1|2|||No|Yes|NEC|||PA231W-BK-SV|1920 x 1080||8 ms|"23"""||1|178° H x 178° V|Yes
"ViewSonic VA2037A-LED 20.0"" Monitor (VA2037A-LED) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||||||No|Yes|ViewSonic|||VA2037A-LED|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"Acer V226WLbd 60Hz 22.0"" Monitor (UM.EV6AA.002) - PCPartPicker Canada"|16:10|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||V226WLbd|UM.EV6AA.002|1680 x 1050|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"Acer V226WLbmd 60Hz 22.0"" Monitor (UM.EV6AA.001) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||V226WLbmd|UM.EV6AA.001|1680 x 1050|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"HP D7P92A8#ABA 60Hz 27.0"" Monitor (D7P92A8#ABA) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||5,000,000:1||1|1||1|Yes|Yes|HP|||D7P92A8#ABA|2560 x 1440|60Hz|8 ms|"27"""||1||Yes
"LG E2211PB-BN 22.0"" Monitor (E2211PB-BN) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||5,000,000:1|||1|||No|Yes|LG|||E2211PB-BN|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"Gateway FHX2303LAbd 60Hz 23.0"" Monitor (UM.VW3AA.A01) - PCPartPicker Canada"|16:9|200 cd/m²|No||100,000,000:1 (600:1)|16700000||1|||No|Yes|Gateway||FHX2303LAbd|UM.VW3AA.A01|1920 x 1080|60Hz|5 ms|"23"""||1|110° H x 70° V|Yes
"Asus SD222-YA 60Hz 21.5"" Monitor (SD222-YA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||||||No|Yes|Asus|||SD222-YA|1920 x 1080|60Hz||"21.5"""||1|178° H x 178° V|Yes
"Dell E2015HV 60Hz 19.5"" Monitor (E2015HV) - PCPartPicker Canada"|16:9|200 cd/m²|No||600:1|16700000|||||No|Yes|Dell|||E2015HV|1600 x 900|60Hz|5 ms|"19.5"""||1||Yes
"ViewSonic VA2248m-LED 22.0"" Monitor (VA2248m-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 10,000,000:1 (1,000:1)|||1|||No|Yes|ViewSonic|||VA2248m-LED|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"NEC PA272W-SV 85Hz 27.0"" Monitor (PA272W-SV) - PCPartPicker Canada"|16:9|340 cd/m²|Yes||1000:1|1070000000|1|1||1|Yes|Yes|NEC|1||PA272W-SV|2560 x 1440|85Hz|6 ms|"27"""|||178° H x 178° V|Yes
"Asus VS207D-P 19.5"" Monitor (VS207D-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||80,000,000:1|16700000|||||No|Yes|Asus|||VS207D-P|1600 x 900||5 ms|"19.5"""||1|170° H x 160° V|Yes
"Asus PB298Q 60Hz 29.0"" Monitor (PB298Q) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||80,000,000:1|16700000|1|1||1|Yes|Yes|Asus|||PB298Q|2560 x 1080|60Hz|5 ms|"29"""|||178° H x 178° V|Yes
"Acer S231HLBbid 60Hz 23.0"" Monitor (UM.VS1AA.B01) - PCPartPicker Canada"|16:9|250 cd/m²|No||100,000,000:1 (1,000:1)|16700000||1||1|No|Yes|Acer||S231HLBbid|UM.VS1AA.B01|1920 x 1080|60Hz|5 ms|"23"""||1|176° H x 170° V|Yes
"HP D7P94A4#ABA 60Hz 30.0"" Monitor (D7P94A4#ABA) - PCPartPicker Canada"|16:10|350 cd/m²|Yes||1000:1||||||Yes|Yes|HP|||D7P94A4#ABA|2560 x 1600|60Hz|8 ms|"30"""||1||Yes
"Asus MX299Q 29.0"" Monitor (MX299Q) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||80,000,000:1|16700000|1|1||1|Yes|Yes|Asus|||MX299Q|2560 x 1080||5 ms|"29"""|||178° H x 178° V|Yes
"Acer V226HQLAbd 60Hz 21.5"" Monitor (UM.WV6AA.A01) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (3000:1)|16700000||1|||No|Yes|Acer||V226HQLAbd|UM.WV6AA.A01|1920 x 1080|60Hz|8 ms|"21.5"""||1||Yes
"Acer G246HYL bmjj 60Hz 23.8"" Monitor (UM.QG6AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000||1||1|Yes|Yes|Acer||G246HYL bmjj|UM.QG6AA.001|1920 x 1080|60Hz|6 ms|"23.8"""||1|178° H x 178° V|Yes
"Samsung ED32C 32.0"" Monitor (ED32C) - PCPartPicker Canada"|16:9|330 cd/m²|No||4000:1|16700000||1||1|No|Yes|Samsung|||ED32C|1366 x 768||8 ms|"32"""||1|178° H x 178° V|Yes
"NEC AS221WM-BK 22.0"" Monitor (AS221WM-BK) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1|||1|||No|No|NEC|||AS221WM-BK|1680 x 1050||5 ms|"22"""||1|176° H x 176° V|Yes
"Acer S231HLbid 23.0"" Monitor (ET.VS1HP.001) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 12,000,000:1 (1000:1)|16700000||1||1|No|Yes|Acer||S231HLbid|ET.VS1HP.001|1920 x 1080||5 ms|"23"""||1|170° H x 160° V|Yes
"Planar 997-6958-00 60Hz 19.0"" Monitor (997-6958-00) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|Planar|||997-6958-00|1280 x 1024|60Hz|5 ms|"19"""||1||No
"Samsung S24C450D 24.0"" Monitor (S24C450D) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Samsung|||S24C450D|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"Acer UM.BV6AA.002 75Hz 17.0"" Monitor (UM.BV6AA.002) - PCPartPicker Canada"|5:4|250 cd/m²|No||100,000,000:1|16700000|||||No|Yes|Acer|||UM.BV6AA.002|1280 x 1024|75Hz|5 ms|"17"""||1||No
"Samsung S24C650PL 60Hz 23.6"" Monitor (S24C650PL) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1 / Mega Infinity|16700000|1|||1|No|Yes|Samsung|||S24C650PL|1920 x 1080|60Hz|5 ms|"23.6"""||1|178° H x 178° V|Yes
"Dell U2713H 60Hz 27.0"" Monitor (U2713H) - PCPartPicker Canada"|16:9|350 cd/m²|No||DC 2,000,000:1 (1000:1)|1070000000|1|1||1|Yes|Yes|Dell|1||U2713H|2560 x 1440|60Hz|6 ms|"27"""|||178° H x 178° V|Yes
"NEC AS222WM-BK 60Hz 21.5"" Monitor (AS222WM-BK) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|||1|||No|Yes|NEC|||AS222WM-BK|1920 x 1080|60Hz|5 ms|"21.5"""||1|176° H x 170° V|Yes
"Asus VW199T-P 19.1"" Monitor (VW199T-P) - PCPartPicker Canada"|16:10||Yes||ASCR 10,000,000:1|16700000||1|||No|Yes|Asus|||VW199T-P|1440 x 900||5 ms|"19.1"""||1|170° H x 160° V|Yes
"NEC EA223WM-BK 22.0"" Monitor (EA223WM-BK) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||1000:1|16700000|1|1|||No|Yes|NEC|||EA223WM-BK|1680 x 1050||5 ms|"22"""||1|178° H x 178° V|Yes
"Asus VN279Q 27.0"" Monitor (VN279Q) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||100000000:1|16700000|1|||1|No|Yes|Asus|||VN279Q|1920 x 1080||5 ms|"27"""||1|178° H x 178° V|Yes
"HP Smartbuy Z30i 60Hz 30.0"" Monitor (D7P94A8#ABA) - PCPartPicker Canada"|16:10|350 cd/m²|No||DCR 5000000:1(1000:1)||1|1||1|Yes|Yes|HP||Smartbuy Z30i|D7P94A8#ABA|2560 x 1600|60Hz|8 ms|"30"""||1|178° H x 178° V|Yes
"AOC e2050Swd 60Hz 19.5"" Monitor (e2050Swd) - PCPartPicker Canada"|16:9|200 cd/m²|No||20,000,000:1|16700000||1|||No|Yes|AOC|||e2050Swd|1600 x 900|60Hz|5 ms|"19.5"""||1|90° H x 50° V|Yes
"Acer V173 DJObd 75Hz 17.0"" Monitor (UM.BV3AA.D02) - PCPartPicker Canada"|5:4|250 cd/m²|No||ACM 20000:1 (1000:1)|16700000||1|||No|No|Acer||V173 DJObd|UM.BV3AA.D02|1280 x 1024|75Hz|5 ms|"17"""||1||No
"AOC E2260SWDN 60Hz 21.5"" Monitor (E2260SWDN) - PCPartPicker Canada"|16:9|200 cd/m²|No||20,000,000:1|16700000||1|||No|Yes|AOC|||E2260SWDN|1920 x 1080|60Hz|5 ms|"21.5"""||1|90° H x 60° V|Yes
"NEC P242W-BK-SV 24.0"" Monitor (P242W-BK-SV) - PCPartPicker Canada"|16:10|350 cd/m²|No||1000:1||1|1||1|Yes|Yes|NEC|||P242W-BK-SV|1920 x 1200||8 ms|"24"""||1|178° H x 178° V|Yes
"V7 LED236W3-8N 23.6"" Monitor (LED236W3-8N) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||||1|No|Yes|V7|||LED236W3-8N|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"AOC E2425SWD 60Hz 24.0"" Monitor (E2425SWD) - PCPartPicker Canada"|16:9|250 cd/m²|No||20,000,000:1|16700000||1|||No|Yes|AOC|||E2425SWD|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Asus ROG SWIFT PG278Q 144Hz 27.0"" Monitor (90LM00U0-B01370) - PCPartPicker Canada"|16:9|350 cd/m²|No|||16700000|1||||No|No|Asus||ROG SWIFT PG278Q|"90LM00U0-B01370
(or) PG278Q"|2560 x 1440|144Hz|1 ms|"27"""|||170° H x 160° V|Yes
"Philips 246V5LHAB/27 60Hz 24.0"" Monitor (246V5LHAB/27) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||||5|No|Yes|Philips|||246V5LHAB/27|1920 x 1080|60Hz|5 ms|"24"""|||170° H x 160° V|Yes
"Samsung S24B150BL 23.6"" Monitor (S24B150BL) - PCPartPicker Canada"|16:9|200 cd/m²|No||Mega Infinite DCR (700:1)|16700000||1|||No|Yes|Samsung|||S24B150BL|1920 x 1080||5 ms|"23.6"""||1|90° H x 65° V|Yes
"Lenovo 60A0MAR1US 75Hz 19.5"" Monitor (60A0MAR1US) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|Lenovo|||60A0MAR1US|1600 x 900|75Hz|5 ms|"19.5"""||1||Yes
"Planar 997-6473-00 60Hz 21.5"" Monitor (997-6473-00) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1|||No|Yes|Planar|||997-6473-00|1600 x 900|60Hz|5 ms|"21.5"""||1||Yes
"HP Z24i 60Hz 24.0"" Monitor (D7P53A8#ABA) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1||1|1|||Yes|Yes|HP||Z24i|D7P53A8#ABA|1920 x 1080|60Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"Samsung S24C650DW 60Hz 24.0"" Monitor (S24C650DW) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||1000:1|16700000|1|1|||No|Yes|Samsung|||S24C650DW|1920 x 1200|60Hz|5 ms|"24"""||1||Yes
"Samsung NC191-T 19.0"" Monitor (NC191-T) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1|16700000||1|||No|Yes|Samsung|||NC191-T|1280 x 1024||5 ms|"19"""|||170° H x 160° V|No
"Acer B246HLymdr 60Hz 24.0"" Monitor (UM.FB6AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||B246HLymdr|UM.FB6AA.001|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"NEC PA272W 85Hz 27.0"" Monitor (PA272W) - PCPartPicker Canada"|16:9|340 cd/m²|Yes||1000:1|1070000000|1||1|1|Yes|Yes|NEC|1||PA272W|2560 x 1440|85Hz|6 ms|"27"""|||178° H x 178° V|Yes
"AOC E2260SD 60Hz 22.0"" Monitor (E2260SD) - PCPartPicker Canada"|16:10|250 cd/m²|No||20,000,000:1|16700000||1|||No|Yes|AOC|||E2260SD|1680 x 1050|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"Asus MX239H 23.0"" Monitor (MX239H) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000||||2|Yes|Yes|Asus|||MX239H|1920 x 1080||5 ms|"23"""||1|178° H x 178° V|Yes
"HP C4D30AA#ABA 60Hz 21.5"" Monitor (C4D30AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||||1|1|Yes|Yes|HP|||C4D30AA#ABA|1920 x 1080|60Hz|7 ms|"21.5"""||1|178° H x 178° V|Yes
"Samsung S27C350H 27.0"" Monitor (S27C350H) - PCPartPicker Canada"|16:9|300 cd/m²|No||Mega Infinite DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S27C350H|1920 x 1080||5 ms|"27"""||1|170° H x 160° V|Yes
"Asus VS197D-P 18.5"" Monitor (VS197D-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||ASCR 50000000:1|16700000|||||No|Yes|Asus|||VS197D-P|1366 x 768||5 ms|"18.5"""||1|170° H x 160° V|Yes
"Planar 997-6502-00 24.0"" Monitor (997-6502-00) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1|16700000||1|||No|No|Planar|||997-6502-00|1920 x 1080||5 ms|"24"""||1||Yes
"LG 22MB35PU-B 60Hz 22.0"" Monitor (22MB35PU-B) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DFC 5,000,000:1 (1000:1)|||1|||No|Yes|LG|||22MB35PU-B|1920 x 1080|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"BenQ EW2440L 60Hz 24.0"" Monitor (EW2440L) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||3000:1|16700000||||2|No|Yes|BenQ|||EW2440L|1920 x 1080|60Hz|4 ms|"24"""||1|178° H x 178° V|Yes
"ViewSonic TD2420 23.6"" Monitor (TD2420) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||1000:1|||1||1|No|Yes|ViewSonic|||TD2420|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"LG IPS224V-PN 21.5"" Monitor (IPS224V-PN) - PCPartPicker Canada"|16:9||No||1000:1|16700000|||||Yes|Yes|LG|||IPS224V-PN|1920 x 1080||14 ms|"21.5"""||1||Yes
"AOC I2421VWH 60Hz 24.0"" Monitor (I2421VWH) - PCPartPicker Canada"|16:9|250 cd/m²|No||20,000,000:1|16700000||1||1|Yes|Yes|AOC|||I2421VWH|1920 x 1080|60Hz|5 ms|"24"""||1|178° H x 178° V|Yes
"HP C9V75AA#ABA 60Hz 23.0"" Monitor (C9V75AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||1||1||No|Yes|HP|||C9V75AA#ABA|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"Asus VK278Q 27.0"" Monitor (VK278Q) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ASCR 10,000,000 :1|16700000|1|1||1|No|Yes|Asus|||VK278Q|1920 x 1080||2 ms|"27"""||1|170° H x 160° V|Yes
"Philips 19B4LPCB/27 60Hz 19.0"" Monitor (19B4LPCB/27) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1|16700000||1|||No|Yes|Philips|||19B4LPCB/27|1280 x 1024|60Hz|5 ms|"19"""||1|170° H x 160° V|No
"HP P221 60Hz 21.5"" Monitor (C9E49A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 3,000,000:1 (1000:1)|||1|||No|Yes|HP||P221|C9E49A8#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"LG 27MB85R-B 60Hz 27.0"" Monitor (27MB85R-B) - PCPartPicker Canada"|16:9|350 cd/m²|No||10,000,000:1||1|1||1|Yes|Yes|LG|1||27MB85R-B|2560 x 1440|60Hz|5 ms|"27"""|||178° H x 178° V|Yes
"Asus VK248H-CSM 24.0"" Monitor (VK248H-CSM) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ASCR 50000000:1|16700000||1||1|No|Yes|Asus|||VK248H-CSM|1920 x 1080||2 ms|"24"""||1|170° H x 160° V|Yes
"HP LV1911 60Hz 18.5"" Monitor (A5V72AA#ABA) - PCPartPicker Canada"|16:9|200 cd/m²|No||600:1|16700000|||||No|Yes|HP||LV1911|A5V72AA#ABA|1366 x 768|60Hz|5 ms|"18.5"""||1|90° H x 50° V|Yes
"Acer HN274Hbmiiid 120Hz 27.0"" Monitor (ET.HH4HP.001) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ACM 10,000,000:1|16700000||1||3|No|Yes|Acer||HN274Hbmiiid|ET.HH4HP.001|1920 x 1080|120Hz|2 ms|"27"""||1|170° H x 160° V|Yes
"Lenovo L2021 20.0"" Monitor (4449HB1) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|No|Lenovo||L2021|4449HB1|1600 x 900||5 ms|"20"""||1|178° H x 170° V|Yes
"Eizo FS2333-BK 60Hz 23.0"" Monitor (FS2333-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||Yes|Yes|Eizo|||FS2333-BK|1920 x 1080|60Hz||"23"""||1|178° H x 178° V|Yes
"Asus VT207N 19.5"" Monitor (VT207N) - PCPartPicker Canada"|16:9|250 cd/m²|No||100000000:1|16700000||1|||No|No|Asus|||VT207N|1600 x 900||5 ms|"19.5"""||1|170° H x 160° V|Yes
"BenQ GW2760HS 60Hz 27.0"" Monitor (GW2760HS) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 20,000,000:1 (3000:1)|16700000|1|1||1|No|Yes|BenQ|||GW2760HS|1920 x 1080|60Hz|4 ms|"27"""||1|178° H x 178° V|Yes
"LG 24EN33VW-B 60Hz 23.6"" Monitor (24EN33VW-B) - PCPartPicker Canada"|16:9|200 cd/m²|No||1,000,000:1|||1||1|No|Yes|LG|||24EN33VW-B|1920 x 1080|60Hz|5 ms|"23.6"""||1|170° H x 160° V|Yes
"Dell S2240T 60Hz 21.5"" Monitor (S2240T) - PCPartPicker Canada"|16:9||No||8,000,000:1 (3,000:1)|16700000||1||1|No|Yes|Dell|||S2240T|1920 x 1080|60Hz|12 ms|"21.5"""||1|178° H x 178° V|Yes
"3M M2767PW 27.0"" Monitor (98-0003-3787-7) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||5000:1|16700000|1|||1|No|No|3M||M2767PW|98-0003-3787-7|1920 x 1080||25 ms|"27"""||1|178° H x 178° V|Yes
"LG D2343PB-BN 23.0"" Monitor (D2343PB-BN) - PCPartPicker Canada"|16:9|250 cd/m²|No||5,000,000:1|||1||1|No|Yes|LG|||D2343PB-BN|1920 x 1080||5 ms|"23"""||1||Yes
"LG 25UM55-P 60Hz 25.0"" Monitor (25UM55-P) - PCPartPicker Canada"|21:9|250 cd/m²|No||DCR 5,000,000:1 (1000:1)|16700000|1|||2|Yes|Yes|LG|||25UM55-P|2560 x 1080|60Hz|14 ms|"25"""|||178° H x 178° V|Yes
"Acer S242HLbid 24.0"" Monitor (ET.FS2HP.001) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM (12,000,000:1) 1,000:1|16700000||1||1|No|Yes|Acer||S242HLbid|ET.FS2HP.001|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"Samsung MD32C 60Hz 32.0"" Monitor (MD32C) - PCPartPicker Canada"|16:9|350 cd/m²|No|1|5000:1|||1||1|No|Yes|Samsung|||MD32C|1920 x 1080|60Hz|8 ms|"32"""||1|178° H x 178° V|Yes
"BenQ EW2420 24.0"" Monitor (EW2420) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 20,000,000:1 (3,000:1)|||1||2|No|Yes|BenQ|||EW2420|1920 x 1080||25 ms|"24"""||1|178° H x 178° V|Yes
"AOC e2343Fi 60Hz 23.0"" Monitor (e2343Fi) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||50,000,000:1 (dynamic)|16700000||||1|No|Yes|AOC|||e2343Fi|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"Asus VS247H-P 23.6"" Monitor (VS247H-P) - PCPartPicker Canada"|16:9|300 cd/m²|No||50000000:1 (ASCR)|16700000||1||1|No|Yes|Asus|||VS247H-P|1920 x 1080||2 ms|"23.6"""||1|170° H x 160° V|Yes
"Hannspree HL249DPB 23.6"" Monitor (HL249DPB) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||Active Contrast 30,000,000:1 (1000:1)|16700000||1|||No|Yes|Hannspree|||HL249DPB|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"Asus PA238QR 60Hz 23.0"" Monitor (PA238QR) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DCR 50,000,000:1 (1000:1)|16700000|1|1||1|Yes|Yes|Asus|||PA238QR|1920 x 1080|60Hz|6 ms|"23"""||1|178° H x 178° V|Yes
"Eizo EV2316WFS-BK 60Hz 23.0"" Monitor (EV2316WFS-BK) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|1|||1|No|Yes|Eizo|||EV2316WFS-BK|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"Planar PL1711M-WH 17.0"" Monitor (997-5509-00) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1|16700000||1|||No|No|Planar||PL1711M-WH|997-5509-00|1280 x 1024||5 ms|"17"""||1|170° H x 160° V|No
"LG M2280D-PU 22.0"" Monitor (M2280D-PU) - PCPartPicker Canada"|16:9|250 cd/m²|No|1|DC 5,000,000:1|16700000||1||2|No|Yes|LG|||M2280D-PU|1920 x 1080||5 ms|"22"""|1||170° H x 170° V|Yes
"Samsung T28D310NH 60Hz 27.5"" Monitor (T28D310NH) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DCR Mega Infinity (1000:1)|||||2|No|Yes|Samsung|||T28D310NH|1366 x 768|60Hz|6 ms|"27.5"""|||178° H x 178° V|Yes
"Acer T272HL bmidz 60Hz 27.0"" Monitor (UM.HT2AA.001) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ACM 100,000,000:1 (5,000:1)|16700000||1||1|No|No|Acer||T272HL bmidz|UM.HT2AA.001|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Lenovo LT2423 60Hz 24.0"" Monitor (60A8KAR2US) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|||||1|No|Yes|Lenovo||LT2423|60A8KAR2US|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"AOC E2460SD-TAA 60Hz 24.0"" Monitor (E2460SD-TAA) - PCPartPicker Canada"|16:9|250 cd/m²|No||20,000,000:1|16700000||1|||No|Yes|AOC|||E2460SD-TAA|1920 x 1080|60Hz|5 ms|"24"""||1||Yes
"NEC MD301C4 30.0"" Monitor (MD301C4) - PCPartPicker Canada"|16:10|350 cd/m²|No||1000:1|1070000000|2|2|||Yes|No|NEC|||MD301C4|2560 x 1600||7 ms|"30"""|||178° H x 178° V|Yes
"NEC MD242C2 60Hz 24.0"" Monitor (MD242C2) - PCPartPicker Canada"|16:10|180 cd/m²|No||1000:1||1|1||1|Yes|No|NEC|||MD242C2|1920 x 1200|60Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"Planar 997-7244-00 60Hz 17.0"" Monitor (997-7244-00) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|Yes|Planar|||997-7244-00|1280 x 1024|60Hz|5 ms|"17"""||1||No
"Samsung LE32C 60Hz 32.0"" Monitor (LE32C) - PCPartPicker Canada"|16:9|350 cd/m²|No||3000:1|||1||2|No|Yes|Samsung|||LE32C|1366 x 768|60Hz|8 ms|"32"""||1|178° H x 178° V|Yes
"Acer B193LAJObmdh 75Hz 19.0"" Monitor (UM.CB3AA.A02) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||ACM 100,000,000:1 (1,000:1)|16700000||1|||No|Yes|Acer||B193LAJObmdh|UM.CB3AA.A02|1280 x 1024|75Hz|5 ms|"19"""||1|170° H x 160° V|No
"HP 23xi 60Hz 23.0"" Monitor (23xi) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||10,000,000:1|||1||1|Yes|Yes|HP|||23xi|1920 x 1080|60Hz|7 ms|"23"""||1|178° H x 178° V|Yes
"Hannspree HT231DPBU 23.0"" Monitor (HT231DPBU) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80000000:1|16700000||1|||No|No|Hannspree|||HT231DPBU|1920 x 1080||5 ms|"23"""||1|170° H x 160° V|Yes
"Dell U2913WM 60Hz 29.0"" Monitor (U2913WM) - PCPartPicker Canada"|21:9|300 cd/m²|No||DC 2,000,000:1 (1000:1)|16700000|2|1||1|Yes|Yes|Dell|||U2913WM|2560 x 1080|60Hz|8 ms|"29"""||1|178° H x 178° V|Yes
"Asus PA248Q 24.1"" Monitor (PA248Q) - PCPartPicker Canada"|16:10|300 cd/m²|No||ASCR 80,000,000:1|16700000|1|1||1|Yes|Yes|Asus|||PA248Q|1920 x 1200||6 ms|"24.1"""||1|178° H x 178° V|Yes
"AOC i2367Fh 60Hz 23.0"" Monitor (I2367FH) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||50,000,000:1|16700000||||2|Yes|Yes|AOC||i2367Fh|I2367FH|1920 x 1080|60Hz|5 ms|"23"""||1|178° H x 178° V|Yes
"BenQ XL2430T 144Hz 24.0"" Monitor (XL2430T) - PCPartPicker Canada"|16:9|350 cd/m²|No||12,000,000:1||1|1||2|No|Yes|BenQ|||XL2430T|1920 x 1080|144Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"HP F4M97A8#ABA 60Hz 17.0"" Monitor (F4M97A8#ABA) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|Yes|HP|||F4M97A8#ABA|1280 x 1024|60Hz|5 ms|"17"""||1||No
